"muni6","municipality_name","health_region_22","official_macroregion_5","source_reference"
"231210","Santana do Cariri","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231220","Santa Quitéria","11ª Região Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231230","São Benedito","13ª Região Tianguá","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231240","São Gonçalo do Amarante","2ª Região Caucaia","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231250","São João do Jaguaribe","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231260","São Luís do Curu","2ª Região Caucaia","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231270","Senador Pompeu","8ª Região Quixadá","Sertao_Central","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231280","Senador Sá","11ª Região Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231290","Sobral","11ª Região Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231300","Solonópole","8ª Região Quixadá","Sertao_Central","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231310","Tabuleiro do Norte","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231320","Tamboril","15ª Região Crateús","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231325","Tarrafas","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231330","Tauá","14ª Região Tauá","Sertao_Central","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231335","Tejuçuoca","2ª Região Caucaia","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231340","Tianguá","13ª Região Tianguá","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231350","Trairi","6ª Região Itapipoca","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231355","Tururu","6ª Região Itapipoca","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231360","Ubajara","13ª Região Tianguá","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231370","Umari","17ª Região Icó","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231375","Umirim","6ª Região Itapipoca","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231380","Uruburetama","6ª Região Itapipoca","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231390","Uruoca","11ª Região Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231395","Varjota","11ª Região Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231400","Várzea Alegre","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"231410","Viçosa do Ceará","13ª Região Tianguá","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
