state,wave_id,wave_order,is_recurrence,onset_week,onset_year,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_4_median,Re_early_8_median,S_prop,S_prop_q025,S_prop_q975,susceptibility_source,susceptibility_time_resolution,temp_pre6_2,precip_pre6_2,temp_pre4_1,precip_pre4_1,temp_pre8_4,precip_pre8_4,weeks_since_previous_wave,previous_wave_total_cases
MT,MT_wave_05,1,FALSE,2016-12-11,2016,2.4129964511132727,1.6229526567563086,3.6965186315819887,2.692217373492233,2.2971795436688547,0.981127854069238,0.9615468570445684,0.9979307663857624,M0_mean_preserving_annual_shape,weekly_at_onset,25.952786459327513,255.93056253594108,25.879878767780117,193.1296694627876,26.23096699188062,218.18495445231378,NA,NA
MT,MT_wave_06,2,TRUE,2017-12-17,2017,3.665110571912772,2.6090741879831874,5.3110364660060085,4.301280011189625,3.0809289119863688,0.9621243026901356,0.9316183737793744,0.9918878931305066,M0_mean_preserving_annual_shape,weekly_at_onset,25.931165815519062,288.7811763418911,25.657512313099144,255.71375994209302,26.30163510632482,222.21478179400322,77,2929
MT,MT_wave_13,4,TRUE,2024-01-07,2024,4.164370458958377,2.9539918874472675,6.138342002533675,4.930372596966729,3.538769952149478,0.8826681661918541,0.8122015568233354,0.9595997424976004,M0_mean_preserving_annual_shape,weekly_at_onset,28.27418255959504,153.0974055737513,27.62656970393141,182.69468175671398,28.893252532976916,110.84865696604696,1288,247
MT,MT_wave_14,5,TRUE,2024-12-01,2024,2.682665377483171,1.8960105261756035,3.93450242144236,1.5333428668811775,2.614360091694623,0.8650194277399966,0.7934260254343819,0.9337476821598952,M0_mean_preserving_annual_shape,weekly_at_onset,26.381513089920855,228.7187693808163,26.047144317350245,184.09912836018844,27.826646674880518,185.55425442984512,56,19449
PA,PA_wave_04,1,FALSE,2016-04-24,2016,1.2813233515141416,0.8901547870763602,1.9367427862611688,1.5517121891944146,1.2399379287794905,0.9879957569744036,0.9701228259250476,0.9978965429600928,M0_mean_preserving_annual_shape,weekly_at_onset,26.030206650470348,430.5673990754163,26.08794904772705,341.112294304884,25.965017650510987,500.6709567321851,NA,NA
PA,PA_wave_05,2,TRUE,2017-10-22,2017,1.398212521532649,0.9773479483995852,2.073467813253369,1.6449643434085697,1.329589812179295,0.9343790327826828,0.8789027156852487,0.9637484898372858,M0_mean_preserving_annual_shape,weekly_at_onset,28.487577038816404,51.45675303190622,28.297172650292662,42.994112176984615,28.574657735405342,37.51209546908003,14,8315
PB,PB_wave_03,1,FALSE,2016-02-07,2016,2.1902915892568937,1.5236389058431274,3.2433923760561076,2.277624474409375,2.067319080394655,0.9897708442621728,0.9726722333793918,0.9984413387167064,M0_mean_preserving_annual_shape,weekly_at_onset,25.7490775790213,160.8157552407613,25.498738370079895,132.17138170359172,26.187628471787537,105.8437119468372,NA,NA
PB,PB_wave_04,2,TRUE,2016-12-18,2016,2.139522639709502,1.3815081606487838,3.408095176940552,2.5989575010317307,1.894717895395692,0.9593493844152652,0.9237665192099545,0.9840570224802786,M0_mean_preserving_annual_shape,weekly_at_onset,27.056372665810056,15.551763292993858,27.217262848818496,11.200928571836329,26.62943570267238,20.864888077857305,14,7712
PB,PB_wave_05,3,TRUE,2017-12-31,2017,1.2166451451471605,0.7851600119738364,1.9310313684066915,1.4322267349620663,1.3398232736927396,0.9422231550266548,0.9057411905632112,0.9728957441737012,M0_mean_preserving_annual_shape,weekly_at_onset,26.78771464622794,24.137252695053636,26.90072461290549,23.719911070864864,26.56806584059444,17.47110496036155,14,1368
PB,PB_wave_06,4,TRUE,2018-12-30,2018,1.7353128570605485,1.1274166982187386,2.6837155457480852,1.9968104871156211,1.4716046525031918,0.9283605356685332,0.8881463765910345,0.964964376950853,M0_mean_preserving_annual_shape,weekly_at_onset,26.59533576813873,49.07761766040824,26.58869997739284,37.060369118057565,26.838232497033108,38.76633374231737,14,621
PB,PB_wave_07,5,TRUE,2020-03-08,2020,1.1764244407012772,0.7569301923822344,1.848170554260973,1.1118515375856095,1.3119027116874205,0.911983167937521,0.8658816369477349,0.9551011204842276,M0_mean_preserving_annual_shape,weekly_at_onset,26.910023330296262,117.36725733465391,26.79150275704142,128.72513678966962,27.051796438769955,88.8226829697324,42,1137
