state,week_start,year,Tmean,PRCP
MG,2024-10-27,2024,21.847246779168557,42.491208632508425
MG,2024-11-03,2024,21.642891582825882,72.12122603729411
MG,2024-11-10,2024,21.794597783518398,52.552409322098725
MG,2024-11-17,2024,22.487876610625584,44.93490108633094
MG,2024-11-24,2024,22.706963782801513,10.779428131664359
MG,2024-12-01,2024,23.69060357563808,46.33136303242901
MG,2024-12-08,2024,23.96793459857033,23.78598036119839
MG,2024-12-15,2024,23.147693065358002,58.67284717055611
MG,2024-12-22,2024,22.369235408469944,80.96673950822445
MG,2024-12-29,2024,22.049412091497807,84.21606199022112
MG,2025-01-05,2025,22.547950107237973,77.29621846435585
MG,2025-01-12,2025,22.147232528952824,60.27080501642126
MG,2025-01-19,2025,25.02746187289047,11.951306239309746
MG,2025-01-26,2025,23.19101315806176,65.44113062520469
MG,2025-02-02,2025,23.564887162729537,17.56708277456137
MG,2025-02-09,2025,23.801656453573052,5.726025655766784
MG,2025-02-16,2025,25.35951137461417,1.3650064881751853
MG,2025-02-23,2025,24.485642586135242,3.4793027213773646
MG,2025-03-02,2025,23.99156933289671,2.9328361565454224
MG,2025-03-09,2025,25.340938756042643,15.612927606870572
MG,2025-03-16,2025,23.39616937740145,41.475253750797506
MG,2025-03-23,2025,23.01439171873404,32.22940081917932
MG,2025-03-30,2025,23.60272390156147,26.33139533840298
MG,2025-04-06,2025,21.509289683230502,9.609017352545099
MG,2025-04-13,2025,21.865159009482753,37.242360661219955
MG,2025-04-20,2025,21.475372182694777,17.183074645400595
MG,2025-04-27,2025,20.743494198591886,11.171533166081606
MG,2025-05-04,2025,20.405242793050707,1.2180840152325725
MG,2025-05-11,2025,19.52134930386219,2.643252898815218
MG,2025-05-18,2025,19.52805352139395,0.9810034481400205
MG,2025-05-25,2025,19.596484244619255,3.0170502030854744
MG,2025-06-01,2025,20.433561772065595,2.4562539229236013
MG,2025-06-08,2025,18.019424506070305,3.442690638876273
MG,2025-06-15,2025,17.866093422034016,0.4295997335150311
MG,2025-06-22,2025,19.284112755732576,3.5197175929716007
MG,2025-06-29,2025,18.182122401177597,1.046020272348341
MG,2025-07-06,2025,16.950640876423485,1.087676494073932
MG,2025-07-13,2025,17.710494995322254,0.35322624155923343
MG,2025-07-20,2025,19.475876078528973,1.431256777716017
MG,2025-07-27,2025,18.415573750708017,0.9137910301120711
MG,2025-08-03,2025,19.099560904416872,0.5175393618346323
MG,2025-08-10,2025,18.408030590871054,1.0057565696524013
MG,2025-08-17,2025,20.531064748747966,0.22181342232732537
MG,2025-08-24,2025,21.120557278600675,6.929164221710368
MG,2025-08-31,2025,19.90836066803812,2.4991890294834924
MG,2025-09-07,2025,22.71569627334885,1.111821766751617
MG,2025-09-14,2025,22.813516079578108,2.709779473122341
MG,2025-09-21,2025,21.699025205216582,11.744474485428583
MG,2025-09-28,2025,22.16426727431212,0.6267999061268121
MG,2025-10-05,2025,23.309409576221356,9.18155391362324
MG,2025-10-12,2025,23.879814459558105,19.265240777042443
MG,2025-10-19,2025,18.814047269901057,12.412281615633395
MG,2025-10-26,2025,23.574143225391147,27.42615311209938
MG,2025-11-02,2025,23.474847671392073,35.407299456829584
MG,2025-11-09,2025,21.889965002368875,13.763944612663723
MG,2025-11-16,2025,23.11397560543769,24.435639457125955
MG,2025-11-23,2025,22.2126931936043,37.32587832535262
MG,2025-11-30,2025,23.458996941828484,50.92735202771951
MG,2025-12-07,2025,23.275199510565052,50.78086135379552
MG,2025-12-14,2025,22.188575537399473,78.89535934131443
MG,2025-12-21,2025,24.033800722718606,5.5863722054415295
MG,2025-12-28,2025,26.52840559513524,8.353724119606156
MS,2014-12-28,2014,27.65208422872996,17.542688655212235
MS,2015-01-04,2015,27.00726153300668,24.055436724543366
MS,2015-01-11,2015,28.299930541547027,10.039312128342724
MS,2015-01-18,2015,28.085793316327564,10.816545348079583
MS,2015-01-25,2015,25.460046701912237,59.85378481958345
MS,2015-02-01,2015,26.37912313631757,32.31877321864739
MS,2015-02-08,2015,26.07557451941604,40.17877613325006
MS,2015-02-15,2015,24.08968678661213,103.47446034254688
MS,2015-02-22,2015,26.316977051482468,21.939591943678177
MS,2015-03-01,2015,25.55303557116914,51.05913955402069
MS,2015-03-08,2015,24.992287825205025,37.72571148577901
MS,2015-03-15,2015,24.887881824753247,16.17398057249446
MS,2015-03-22,2015,24.65468151179656,28.110346047100453
MS,2015-03-29,2015,24.591391889310113,33.027389120298544
MS,2015-04-05,2015,23.78228905025517,12.277662259392647
MS,2015-04-12,2015,24.730257481197317,32.07304865580733
MS,2015-04-19,2015,24.906228316985366,17.024634337582842
MS,2015-04-26,2015,23.250197516280807,0.36608904718342794
MS,2015-05-03,2015,22.151480519009056,43.67476601196816
MS,2015-05-10,2015,20.67072126988733,22.667530445860216
MS,2015-05-17,2015,22.018443254900532,9.307624501044222
MS,2015-05-24,2015,21.608968116868187,30.163606593221907
MS,2015-05-31,2015,21.073327949235587,41.59483264573283
MS,2015-06-07,2015,22.917855255381863,1.4789163787921413
MS,2015-06-14,2015,19.65156002745872,10.84146391877226
MS,2015-06-21,2015,20.87440658915321,0.041363962646070014
MS,2015-06-28,2015,20.53184819805645,28.73718752659925
MS,2015-07-05,2015,18.478722105094256,33.25390705569175
MS,2015-07-12,2015,22.290736155082225,21.807557739350028
MS,2015-07-19,2015,19.771230450694087,3.7340223874370726
MS,2015-07-26,2015,22.21184885878345,0.03469446484963106
MS,2015-08-02,2015,24.17166947803408,0.005166678701053674
MS,2015-08-09,2015,24.636182211702643,0.018970661966370827
MS,2015-08-16,2015,23.076127069870996,0.7732365767939144
MS,2015-08-23,2015,24.808489293588575,11.379395062837531
MS,2015-08-30,2015,26.126526127884006,1.4108165490523392
MS,2015-09-06,2015,22.087816659388697,132.48282688569083
MS,2015-09-13,2015,24.994088871922813,0.9173808705765593
MS,2015-09-20,2015,28.23249393703874,15.240886252921133
MS,2015-09-27,2015,24.721400207831017,50.41920629672284
MS,2015-10-04,2015,26.053850816256787,29.39870996762654
MS,2015-10-11,2015,24.274096974642706,25.10874684502249
MS,2015-10-18,2015,29.1052739126717,8.099005668012694
MS,2015-10-25,2015,26.294653155953256,53.77952348821908
MS,2015-11-01,2015,24.266504461060553,56.718445804054454
