state,week_start,year,reported_cases,smoothed_cases,weekly_timing_unidentified,q025,q25,median,q75,q975
MS,2023-01-01,2023,3,1.3333333333333333,FALSE,0.9056109753074619,0.9339058492896595,0.9591042890620689,0.9780332666624842,0.9887163735739013
MS,2023-01-08,2023,1,3.3333333333333335,FALSE,0.9056227914145774,0.9339164883580515,0.9591043485505157,0.9780274283156274,0.988714627648427
MS,2023-01-15,2023,6,5.666666666666666,FALSE,0.9056132104752779,0.9339154046189713,0.9590931786981107,0.9779957198169543,0.9887048980147876
MS,2023-01-22,2023,10,10.666666666666666,FALSE,0.9055786783206048,0.9338932209689002,0.9590629571343772,0.9779736258585039,0.9886863016465927
MS,2023-01-29,2023,16,16,FALSE,0.9054906952298559,0.9338333421193791,0.9590075522671786,0.9779174252138729,0.9886476987417822
MS,2023-02-05,2023,22,23.666666666666664,FALSE,0.9053769437377595,0.9337032085355642,0.9588923061740562,0.9777725085482627,0.9885553927289507
MS,2023-02-12,2023,33,35.666666666666664,FALSE,0.9051122272774857,0.9335156200685256,0.958733981753651,0.9776022779518303,0.9884370494626082
MS,2023-02-19,2023,52,46.666666666666664,FALSE,0.9047550875359643,0.9333050429896955,0.9584773753285368,0.9774134679777291,0.9881522685108755
MS,2023-02-26,2023,55,61,FALSE,0.9043980342089795,0.9329763550725158,0.9580972078682883,0.9770118909369019,0.9878166954714764
MS,2023-03-05,2023,76,69.66666666666666,FALSE,0.9036738741157384,0.9325608119331324,0.95764414697122,0.9765657744803977,0.9874748793874972
MS,2023-03-12,2023,78,95.66666666666666,FALSE,0.9031848873021227,0.932112813074182,0.9571321070708645,0.9760209351682863,0.9870007230603488
MS,2023-03-19,2023,133,129,FALSE,0.9026005975033923,0.9314693893365573,0.9563845942924548,0.9754268332691995,0.9865050650175172
MS,2023-03-26,2023,176,168,FALSE,0.9016038857163516,0.930399033159359,0.9552090919753902,0.974498689145314,0.9858198874649041
MS,2023-04-02,2023,195,162.33333333333331,FALSE,0.9004209102740734,0.9292804682077398,0.9539110460401757,0.9731367930359092,0.9849181539113474
MS,2023-04-09,2023,116,131,FALSE,0.8992391610506313,0.9279725560458261,0.9527045018102582,0.9719088760470852,0.9841935472891108
MS,2023-04-16,2023,82,80.66666666666666,FALSE,0.8982931083283775,0.9270322090919408,0.9517121706068457,0.9708597687993441,0.9835880898058236
MS,2023-04-23,2023,44,53.33333333333333,FALSE,0.8976300035922278,0.9264959188403847,0.951041273399748,0.9703192314031034,0.9833197977445872
MS,2023-04-30,2023,34,40,FALSE,0.8970620079736251,0.9261898468702419,0.9506169656955161,0.9699845857111025,0.9831222874093479
MS,2023-05-07,2023,42,37.33333333333333,FALSE,0.8966327292738309,0.925958202647273,0.9503133134882505,0.9696957703048149,0.9828591817916841
MS,2023-05-14,2023,36,34,FALSE,0.8962236557497416,0.9257151336660836,0.950020839139885,0.9694965293287894,0.9826841466930881
MS,2023-05-21,2023,24,30,FALSE,0.8958588245825582,0.9255168600006051,0.9497245449101019,0.9692237763097853,0.9824743208932682
MS,2023-05-28,2023,30,22.666666666666664,FALSE,0.89554021918228,0.9253216660102804,0.9493567901762316,0.9690418527865434,0.9823539300409617
MS,2023-06-04,2023,14,20.666666666666664,FALSE,0.895347196400988,0.9252035275302627,0.9491870387595851,0.9688570302949047,0.9822549828560323
MS,2023-06-11,2023,18,15.333333333333332,FALSE,0.8952129891159755,0.9250495788675566,0.9489768665758245,0.9687059552473949,0.9821414751596601
MS,2023-06-18,2023,14,18.333333333333332,FALSE,0.89512061351994,0.9249493748223345,0.948859745450904,0.9686219307416454,0.9820497431819755
MS,2023-06-25,2023,23,15.999999999999998,FALSE,0.8949101659717656,0.9247638328666685,0.9487715303209048,0.9685115948804142,0.9819392052143181
MS,2023-07-02,2023,11,13.666666666666666,FALSE,0.8946937522293024,0.9245996615701676,0.9486306102029015,0.9683984731334154,0.9818831693409805
MS,2023-07-09,2023,7,7.666666666666666,FALSE,0.894618656270323,0.9244955932604448,0.9485414084432751,0.9683096729308017,0.9818123029381322
MS,2023-07-16,2023,5,7.999999999999999,FALSE,0.8945857827668985,0.9244628843011349,0.9484948922648844,0.9682506826853388,0.9817738614614255
MS,2023-07-23,2023,12,7.333333333333332,FALSE,0.894550325612131,0.9244128490939172,0.9484193790061586,0.9682030859590377,0.981761081589909
MS,2023-07-30,2023,5,7.666666666666666,FALSE,0.8945200603171474,0.9243809252137942,0.9483849613194038,0.9681667650917289,0.9817590046095179
MS,2023-08-06,2023,6,4.333333333333333,FALSE,0.8944872113365524,0.9243282145598806,0.9483460233040044,0.9681069699720346,0.9817194956978618
MS,2023-08-13,2023,2,3,FALSE,0.8944624392665586,0.9243072638057797,0.9483272034817907,0.9680987520226639,0.981688441987471
MS,2023-08-20,2023,1,1,FALSE,0.8944484846031633,0.9243060220860777,0.9483105565327437,0.9680996949192524,0.981667909172503
MS,2023-08-27,2023,0,1.9999999999999998,FALSE,0.8944611399338531,0.9243191765084725,0.948306924493654,0.9681042423514784,0.9816631470314354
MS,2023-09-03,2023,5,1.9999999999999998,FALSE,0.8944604868649456,0.9243265354560468,0.9482885535880077,0.9680997372555369,0.9816505052426574
MS,2023-09-10,2023,1,2.333333333333333,FALSE,0.8944647952978843,0.9243338901101472,0.9482807098452084,0.9680914684405747,0.9816378672465718
MS,2023-09-17,2023,1,1,FALSE,0.8944737913391627,0.9243427141392769,0.9482821362387925,0.9680804830784828,0.9816223659359604
MS,2023-09-24,2023,1,0.6666666666666666,FALSE,0.8944929201818852,0.9243576750771958,0.94828994584973,0.9680786011702853,0.9816174752013676
MS,2023-10-01,2023,0,0.3333333333333333,FALSE,0.8945145743451851,0.9243740249631139,0.9482993476418409,0.9680791590580882,0.9816152510306613
MS,2023-10-08,2023,0,0.3333333333333333,FALSE,0.8945387526032106,0.9243917631271432,0.9483103408514824,0.9680827386681352,0.9816156921547676
MS,2023-10-15,2023,1,0.6666666666666666,FALSE,0.8945629203474703,0.9244094935838866,0.94832132923012,0.9680863165614744,0.9816161329197151
MS,2023-10-22,2023,1,1,FALSE,0.8945845446018158,0.924425821242859,0.948330717547845,0.9680868712205101,0.9816139093619101
