state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
ES,ES_wave_09,0.9401362144822706,0.9545616540193189,0.9633890080143793,0.9722250650294821,0.9828560819177,4000
ES,ES_wave_10,0.9313373011533816,0.9461314565209338,0.9548290127968811,0.9629967443072919,0.9752679833154152,4000
ES,ES_wave_11,0.9192274988821826,0.9334908714899146,0.9397382204662403,0.9458293028358833,0.9560525013953629,4000
GO,GO_wave_15,0.9603326453677437,0.9724273597593858,0.9805782087289512,0.9894475595104973,0.9963778744475161,4000
GO,GO_wave_16,0.9514725935803925,0.9647824843702572,0.9722853559382171,0.9808622014226704,0.9899535788219526,4000
GO,GO_wave_17,0.9474575937332675,0.9609078691667539,0.9684540095019951,0.9763932662892317,0.9865515660674563,4000
GO,GO_wave_18,0.9337286523215892,0.9482707213690207,0.9544404278199722,0.9600774730825203,0.9694001526970639,4000
MA,MA_wave_02,0.9918939621368423,0.9947370286771678,0.9966378626456482,0.9979849635320073,0.9991246651596679,4000
MA,MA_wave_03,0.9686928268735341,0.9803497145760578,0.9856119246094863,0.9887606875840181,0.9930429115110271,4000
MA,MA_wave_04,0.9536545264338777,0.9685922095742263,0.9762720131486724,0.9814763565412064,0.9872715167027053,4000
MA,MA_wave_05,0.9509121441990387,0.9649475478520286,0.971552128744375,0.9764836377122281,0.9829631150112903,4000
MA,MA_wave_08,0.9441308912302002,0.9564931557238633,0.962018720206546,0.9666945662242741,0.9747859538019192,4000
MA,MA_wave_09,0.9353939425624214,0.9484009386737406,0.9542894844742248,0.9596026469678101,0.9684454448510083,4000
MA,MA_wave_10,0.9266636539328196,0.9410035759701989,0.9478301652852372,0.9535576472199533,0.9632490361444773,4000
MA,MA_wave_11,0.9215244003668043,0.9365036540442909,0.9435839851539738,0.9495271613802749,0.9595888169419275,4000
MG,MG_wave_05,0.9824305326323782,0.989379047603254,0.9942590615562874,0.9973281715829068,0.9991669087831471,4000
MG,MG_wave_06,0.9732063384855947,0.9821404303432293,0.9879895957523119,0.9929598715885046,0.9974140187549496,4000
MG,MG_wave_07,0.9642265934527227,0.9751886406752125,0.9824504877816982,0.9888965973848682,0.995333902629621,4000
MG,MG_wave_08,0.9561813827617108,0.9697444863603488,0.9785906490570552,0.9864736728111045,0.9938672092754457,4000
MG,MG_wave_09,0.9515839260750754,0.9660351911890448,0.9756355879265051,0.9846968499545101,0.9928748840530797,4000
MG,MG_wave_10,0.9408001309221875,0.958007278256096,0.9692606878378358,0.9808691043198986,0.9909824030564744,4000
MG,MG_wave_11,0.9366699062588019,0.954482359485391,0.9660748483567443,0.9784526631280521,0.989535472538467,4000
MG,MG_wave_12,0.9242859109410722,0.9436771523016279,0.9536409229230048,0.9635971289580036,0.976783543727587,4000
MG,MG_wave_13,0.9061710634212546,0.9254335704086161,0.9340668522161082,0.9420683707373314,0.9548787249921226,4000
MS,MS_wave_05,0.9811244330948264,0.9876829865188576,0.9931008605545347,0.996494360362409,0.9985913568015942,4000
MS,MS_wave_10,0.958966359569512,0.9714348422649626,0.9830161092669931,0.9908939588709214,0.9954828863760391,4000
MS,MS_wave_11,0.9515347679270006,0.9663541784555371,0.9793077587187138,0.9889239115841819,0.9943271967167158,4000
MS,MS_wave_12,0.9457771108042831,0.961390021321235,0.9737703789349799,0.9838471887139159,0.9907552434743483,4000
MS,MS_wave_13,0.9401150550853687,0.9569458899563219,0.9691717139768083,0.9803087051008907,0.9881918441364647,4000
MT,MT_wave_05,0.9902226071244898,0.9934271525641736,0.9952490262399412,0.9975680082468527,0.9994868067803531,4000
MT,MT_wave_06,0.9824406067174125,0.9876901094904422,0.9904014384479698,0.9938269507761953,0.9979833533410356,4000
MT,MT_wave_07,0.9693757819129665,0.9777891933620599,0.9817915361830946,0.9858172466316946,0.9929898441889251,4000
MT,MT_wave_13,0.9491005981933439,0.9623133963703532,0.9691940802425586,0.9775882225278366,0.9897290880170213,4000
MT,MT_wave_14,0.9434982767127865,0.9576016410520888,0.9642642434663062,0.9710485154212662,0.9829728683600227,4000
PA,PA_wave_04,0.9923227023491716,0.9951751282053567,0.9968640060009741,0.9983992704784777,0.9993542751673732,4000
PA,PA_wave_05,0.968115133783877,0.9788017196432838,0.9831165710799481,0.9863632084773251,0.990765549808854,4000
