UF,episode_id,q_scenario,identification_status,t_pre,t_pre_matched,S_pre_median,S_pre_lower,S_pre_upper,temperature_summary,precipitation_summary,R_climate_hat,R_climate_lower,R_climate_upper,R_climate_log_fit,R_climate_log_se,climate_in_training_support,Re_pred_median,Re_pred_lower,Re_pred_upper,episode_start,episode_end,total_cases,Re_obs_median,Re_obs_lower,Re_obs_upper,peak_cases
CE,CE_wave_06,0.05,conditional_fixed_q_sensitivity,2022-01-16,2022-01-16,0.740723524968687,0.7144997443891449,0.7620338944199662,26.792917790146674,119.68661714149901,2.2568909470951932,1.965379148282906,2.5916407790986935,0.8139881790319068,0.07056275588938006,YES,1.6687937566134816,1.4564527883949632,1.9154576944953277,2022-01-23,2023-12-17,52761,2.404426179398206,1.7235641397104933,3.4800158165489123,3521
CE,CE_wave_06,0.10,conditional_fixed_q_sensitivity,2022-01-16,2022-01-16,0.8657516925123415,0.8524009467358362,0.8775717251777432,26.792917790146674,119.68661714149901,2.2568909470951932,1.965379148282906,2.5916407790986935,0.8139881790319068,0.07056275588938006,YES,1.952891336036263,1.6979641801947511,2.2622442173488997,2022-01-23,2023-12-17,52761,2.404426179398206,1.7235641397104933,3.4800158165489123,3521
CE,CE_wave_06,0.15,conditional_fixed_q_sensitivity,2022-01-16,2022-01-16,0.9102502705365858,0.9013152366335792,0.9179446306219755,26.792917790146674,119.68661714149901,2.2568909470951932,1.965379148282906,2.5916407790986935,0.8139881790319068,0.07056275588938006,YES,2.049294319106523,1.7846570595221163,2.339368642596814,2022-01-23,2023-12-17,52761,2.404426179398206,1.7235641397104933,3.4800158165489123,3521
CE,CE_wave_06,0.20,conditional_fixed_q_sensitivity,2022-01-16,2022-01-16,0.9329405962623388,0.9244839943495797,0.9392694007196322,26.792917790146674,119.68661714149901,2.2568909470951932,1.965379148282906,2.5916407790986935,0.8139881790319068,0.07056275588938006,YES,2.1106159040472416,1.8437299183615263,2.4364939114063544,2022-01-23,2023-12-17,52761,2.404426179398206,1.7235641397104933,3.4800158165489123,3521
CE,CE_wave_07,0.05,conditional_fixed_q_sensitivity,2023-12-31,2023-12-31,0.6276177929671808,0.5976125610746921,0.6556719917754371,28.024714215493432,65.797123413822,2.1846034042404567,1.8186165433527128,2.6242431650933185,0.7814343037161479,0.09355011872250435,YES,1.3683385025262431,1.1343760574909176,1.6539875271694173,2024-01-07,2024-12-15,882,1.7160978478078874,1.1629213475499542,2.616985139099283,64
CE,CE_wave_07,0.10,conditional_fixed_q_sensitivity,2023-12-31,2023-12-31,0.8100246779245481,0.7940852093882166,0.8234070856404372,28.024714215493432,65.797123413822,2.1846034042404567,1.8186165433527128,2.6242431650933185,0.7814343037161479,0.09355011872250435,YES,1.769073648082572,1.4588663435019142,2.117237441231446,2024-01-07,2024-12-15,882,1.7160978478078874,1.1629213475499542,2.616985139099283,64
CE,CE_wave_07,0.15,conditional_fixed_q_sensitivity,2023-12-31,2023-12-31,0.8732519944711119,0.8619799124166769,0.8821435432914135,28.024714215493432,65.797123413822,2.1846034042404567,1.8186165433527128,2.6242431650933185,0.7814343037161479,0.09355011872250435,YES,1.9118764992284087,1.591078196491134,2.28956397867784,2024-01-07,2024-12-15,882,1.7160978478078874,1.1629213475499542,2.616985139099283,64
CE,CE_wave_07,0.20,conditional_fixed_q_sensitivity,2023-12-31,2023-12-31,0.905334009035041,0.8961542151254417,0.9122820849161848,28.024714215493432,65.797123413822,2.1846034042404567,1.8186165433527128,2.6242431650933185,0.7814343037161479,0.09355011872250435,YES,1.9726016553720611,1.6536301988548745,2.381586257148309,2024-01-07,2024-12-15,882,1.7160978478078874,1.1629213475499542,2.616985139099283,64
CE,CE_wave_08,0.05,conditional_fixed_q_sensitivity,2025-01-12,2025-01-12,0.6301432522372485,0.60055335262836,0.6575549107157834,26.508053974524003,229.00271615898325,2.480246885641438,2.1755648530948486,2.82759882105241,0.9083581058839227,0.0668723329019422,YES,1.56026792938815,1.3557169911071547,1.7902534641533718,2025-01-19,2025-12-28,676,1.3070673248567606,0.8334308999551633,2.0819756199966752,40
CE,CE_wave_08,0.10,conditional_fixed_q_sensitivity,2025-01-12,2025-01-12,0.8113318705745812,0.7956023555540644,0.8245246270961872,26.508053974524003,229.00271615898325,2.480246885641438,2.1755648530948486,2.82759882105241,0.9083581058839227,0.0668723329019422,YES,2.006775284508686,1.7594050593554058,2.3018155084741685,2025-01-19,2025-12-28,676,1.3070673248567606,0.8334308999551633,2.0819756199966752,40
CE,CE_wave_08,0.15,conditional_fixed_q_sensitivity,2025-01-12,2025-01-12,0.8741418026133738,0.8629186308351731,0.8829049864788532,26.508053974524003,229.00271615898325,2.480246885641438,2.1755648530948486,2.82759882105241,0.9083581058839227,0.0668723329019422,YES,2.172730665706802,1.9054037466597202,2.4754591672971875,2025-01-19,2025-12-28,676,1.3070673248567606,0.8334308999551633,2.0819756199966752,40
CE,CE_wave_08,0.20,conditional_fixed_q_sensitivity,2025-01-12,2025-01-12,0.9059873909335309,0.8968894864163698,0.9128443033814566,26.508053974524003,229.00271615898325,2.480246885641438,2.1755648530948486,2.82759882105241,0.9083581058839227,0.0668723329019422,YES,2.2459086295494006,1.9747409346749396,2.555645093727659,2025-01-19,2025-12-28,676,1.3070673248567606,0.8334308999551633,2.0819756199966752,40
MT,MT_wave_06,NA,case_based_partial_identification,2017-12-10,2017-12-10,0.9716696615831191,0.9630083432209318,0.9790694092942562,25.783603697593517,303.75335703752586,2.62770210755819,2.2774697531803048,3.0317936633071527,0.9661097409090346,0.07298197528388783,YES,2.5538896927089736,2.188833590821075,2.928683038962788,2017-12-17,2019-08-18,13419,3.665110571912772,2.6090741879831874,5.3110364660060085,1213
MT,MT_wave_13,NA,case_based_partial_identification,2023-12-31,2023-12-31,0.9032388530916609,0.8783088836106596,0.9268435774357365,26.82923160739207,253.69808820489953,2.546223188421176,2.2077673893393466,2.9365650369506326,0.934611158673759,0.07277009430591949,YES,2.2937317803581294,1.982235470055419,2.65166554786427,2024-01-07,2024-10-06,19449,4.164370458958377,2.9539918874472675,6.138342002533675,1178
MT,MT_wave_14,NA,case_based_partial_identification,2024-11-24,2024-11-24,0.7648310569256092,0.7045453566892327,0.8234846082397212,25.481513912924065,206.40422932397294,2.3987738275549035,2.128815045238282,2.7029665581484714,0.8749577016119189,0.06091438442945119,YES,1.8364964734648948,1.5866439927253897,2.1228569668823623,2024-12-01,2025-12-28,47331,2.682665377483171,1.8960105261756035,3.93450242144236,3858
RJ,RJ_wave_05,NA,partially_identified_case_only,2016-11-27,2016-11-27,0.994576160172904,0.9933826924184319,0.9955562290993363,27.84497779721084,167.88654910385105,2.3885107967043617,2.029016552295607,2.8116990073436074,0.8706700741241867,0.08322390584435414,YES,2.3764286704713324,2.012316574111251,2.8113870649490513,2016-12-04,2017-10-29,3725,2.8136932364933,1.9813716899667455,4.151052820508581,138
RJ,RJ_wave_06,NA,partially_identified_case_only,2017-12-24,2017-12-24,0.9774591377299062,0.9729667322396793,0.9814357960573413,24.70188091649769,292.33685479259543,2.565181342535171,2.2220693561094125,2.961273599313585,0.9420291749678085,0.07326034227904318,YES,2.5058376356227736,2.166480158085586,2.8944968973893928,2017-12-31,2018-09-09,27994,1.8000551227484034,1.262434719281696,2.655080127082135,1382
RJ,RJ_wave_07,NA,partially_identified_case_only,2018-12-23,2018-12-23,0.8594879389063645,0.8335251025132508,0.8841254909636396,27.078627499229437,147.48885742132035,2.322334667200188,2.0168626134818193,2.674073221660432,0.8425730017446511,0.07195400988780873,YES,1.9870108383895078,1.7154848620214744,2.28704673742448,2018-12-30,2020-12-20,81292,1.5210606445803867,1.0816079289492058,2.225350018678889,5711
RJ,RJ_wave_10,NA,partially_identified_case_only,2023-01-22,2023-01-22,0.5653033319564449,0.5192397874724489,0.6233725082003907,26.397735566125675,295.65046897905734,2.6292650150901844,2.270761166851771,3.044368831250342,0.966704345190012,0.07479043576976828,YES,1.4864281725813084,1.2479049572875367,1.7668733998695676,2023-01-29,2024-10-20,4476,1.159856998096124,0.7748620570879136,1.7668143777172278,197
RJ,RJ_wave_11,NA,partially_identified_case_only,2024-10-27,2024-10-27,0.5551582246481561,0.50793963558536,0.6145938892384732,24.920225001141517,157.5638739048365,2.279560350653608,2.0122218087037003,2.5824167941105785,0.8239825957118145,0.06364444217149991,YES,1.264000529955256,1.0800077923605154,1.4896870265069981,2024-11-03,2025-12-28,1836,1.7280692722759765,1.1966236875019838,2.5846316065683808,92
