year,age,share
2019,84,0.0016950882188248191
2019,85,0.0014390894942196628
2019,86,0.0012104644570188215
2019,87,0.0010570623128050387
2019,88,9.484435211847157e-4
2019,89,8.538400575154021e-4
2019,90,3.252591307721476e-4
2019,91,3.252591307721476e-4
2019,92,3.252591307721476e-4
2019,93,3.252591307721476e-4
2019,94,3.252591307721476e-4
2019,95,3.252591307721476e-4
2019,96,3.252591307721476e-4
2019,97,3.252591307721476e-4
2019,98,3.252591307721476e-4
2019,99,3.252591307721476e-4
2019,100,3.252591307721476e-4
2020,0,0.014283590371060329
2020,1,0.01435194124089045
2020,2,0.014414197128697504
2020,3,0.014162017247493058
2020,4,0.014280542880048794
2020,5,0.014300569249553162
2020,6,0.013838874361305745
2020,7,0.013807855256366916
2020,8,0.013973725838566129
2020,9,0.014099761359686004
2020,10,0.01422198751704146
2020,11,0.014508887027984457
2020,12,0.014775433652528994
2020,13,0.0149739559241375
2020,14,0.015294486675172069
2020,15,0.015237672735599898
2020,16,0.01509792350492812
2020,17,0.015533823558542194
2020,18,0.01604177500678611
2020,19,0.016541890049571795
2020,20,0.017304524675208204
2020,21,0.017908798607209536
2020,22,0.018274171011699536
2020,23,0.01826002194628884
2020,24,0.01799173389830914
2020,25,0.017785810577101196
2020,26,0.01758630875481041
2020,27,0.017418043715387847
2020,28,0.0173462099986874
2020,29,0.01731812954579541
2020,30,0.017284171788809744
2020,31,0.017279274035398348
2020,32,0.01719002608434628
2020,33,0.01698051107730331
2020,34,0.01668925800777241
2020,35,0.01637144823085528
2020,36,0.01601217080838835
2020,37,0.015662797731708904
2020,38,0.01534716473408573
2020,39,0.015052211139755108
2020,40,0.014721231848109565
2020,41,0.014371096898677237
2020,42,0.014005724494187237
2020,43,0.013614666094028593
2020,44,0.013217839228740974
2020,45,0.012816114610041961
2020,46,0.012390445419109466
2020,47,0.012058595415746342
2020,48,0.011864644380655136
2020,49,0.011756023093886885
2020,50,0.01163140247930808
2020,51,0.011506781864729275
2020,52,0.011343741095612201
2020,53,0.011112022939770911
2020,54,0.010828062080874752
2020,55,0.010549978526072265
2020,56,0.010284411452210008
2020,57,0.009936888637930423
