state,week_start,week_of_year,lag_spec,lagged_temp,lagged_precip,log_precip
TO,2021-03-28,12,sensitivity_A,26.025473352166642,210.3580085360989,5.3535534185877784
TO,2021-04-04,13,sensitivity_A,26.650141671776183,177.53698867437458,5.18479579921699
TO,2021-04-11,14,sensitivity_A,26.86108484844476,133.55279933161057,4.9019566820966665
TO,2021-04-18,15,sensitivity_A,25.86678291079912,78.58141241843785,4.376780553250905
TO,2021-04-25,16,sensitivity_A,25.392451160606385,109.40829321354538,4.704185250709563
TO,2021-05-02,17,sensitivity_A,25.7697830861368,105.96654362568053,4.672516109172941
TO,2021-05-09,18,sensitivity_A,26.031918998352488,114.59794862387946,4.750118210612654
TO,2021-05-16,19,sensitivity_A,26.41081009488788,94.73329635815851,4.56156616227495
TO,2021-05-23,20,sensitivity_A,26.92540528819562,47.348859624139415,3.8784426357708823
TO,2021-05-30,21,sensitivity_A,27.088777003238818,15.141075426711673,2.7813672917689902
TO,2021-06-06,22,sensitivity_A,26.98867784385134,2.9630060894550723,1.3770028507842238
TO,2021-06-13,23,sensitivity_A,27.012727847938137,1.259926442182665,0.815332265047721
TO,2021-06-20,24,sensitivity_A,26.83709173480505,1.314237555573245,0.8390802836463054
TO,2021-06-27,25,sensitivity_A,26.196105456341463,1.8376345353773487,1.0429707950323892
TO,2021-07-04,26,sensitivity_A,25.950540313833407,2.348308619339059,1.2084553285876936
TO,2021-07-11,27,sensitivity_A,26.45505569906709,2.265280138573805,1.1833455595297666
TO,2021-07-18,28,sensitivity_A,26.974372796904326,1.249846027855223,0.8108617818104029
TO,2021-07-25,29,sensitivity_A,27.12706534524724,0.7931258257855551,0.5839603682821028
TO,2021-08-01,30,sensitivity_A,26.999697677863466,0.687833615806526,0.5234458224805421
TO,2021-08-08,31,sensitivity_A,27.416822632716702,0.6774565433401566,0.517278683918699
TO,2021-08-15,32,sensitivity_A,27.742704813826617,0.7010043327761154,0.5312188606039641
TO,2021-08-22,33,sensitivity_A,28.484069572038557,0.5921624969532863,0.46509315316386296
TO,2021-08-29,34,sensitivity_A,29.052014549622243,0.3976779026334119,0.3348122185772166
TO,2021-09-05,35,sensitivity_A,29.230512883994862,4.690559184417684,1.7388085182511703
TO,2021-09-12,36,sensitivity_A,29.768661737281704,5.939954062208401,1.9372951552184772
TO,2021-09-19,37,sensitivity_A,29.835475457082495,6.646327617716591,2.0342254826058808
TO,2021-09-26,38,sensitivity_A,28.885867591308546,13.088538748170823,2.645361612098915
TO,2021-10-03,39,sensitivity_A,28.64580370959158,28.032866570462424,3.368428518268775
TO,2021-10-10,40,sensitivity_A,28.822066212365375,29.115107599262906,3.405026959435106
TO,2021-10-17,41,sensitivity_A,27.736740363609805,54.79424474531611,4.021670723302947
TO,2021-10-24,42,sensitivity_A,27.268996585584375,90.51998856728855,4.516557402711119
TO,2021-10-31,43,sensitivity_A,26.637195466777918,93.0376402731037,4.543695130557206
TO,2021-11-07,44,sensitivity_A,25.616308775320952,158.13098783328041,5.069727685915264
TO,2021-11-14,45,sensitivity_A,25.546227143666936,218.534917404488,5.391511296877432
TO,2021-11-21,46,sensitivity_A,26.136740637496167,245.4752072531838,5.50726140932974
TO,2021-11-28,47,sensitivity_A,26.23005786419288,267.8268864245846,5.594067627547922
TO,2021-12-05,48,sensitivity_A,25.690391006025997,272.370411930391,5.610827695793968
TO,2021-12-12,49,sensitivity_A,25.84270523059984,277.61461346088146,5.629829513167793
TO,2021-12-19,50,sensitivity_A,25.522715998545333,261.9962629502155,5.572139822762042
TO,2021-12-26,51,sensitivity_A,24.45952713268058,338.9236053937571,5.828720902345261
TO,2022-01-02,52,sensitivity_A,24.28521095920211,401.88449297217954,5.998649902928874
TO,2022-01-09,1,sensitivity_A,24.465509905160992,442.0309764572382,6.093639691883252
TO,2022-01-16,2,sensitivity_A,25.342729556938462,456.2501692492042,6.125230657416788
TO,2022-01-23,3,sensitivity_A,25.723053301714742,364.7800928573053,5.902032313637476
TO,2022-01-30,4,sensitivity_A,25.596642798982444,294.2472282979647,5.687813067388919
TO,2022-02-06,5,sensitivity_A,25.65222381568897,188.89394771741712,5.246465746417341
TO,2022-02-13,6,sensitivity_A,25.13891027657307,195.60067583778218,5.281174645335755
TO,2022-02-20,7,sensitivity_A,25.373226169261635,260.6653355447169,5.567066342011105
TO,2022-02-27,8,sensitivity_A,25.84097630285138,237.56307391312305,5.474633736216458
TO,2022-03-06,9,sensitivity_A,25.658124134362474,254.51686077690448,5.543288398765468
TO,2022-03-13,10,sensitivity_A,25.621527305294464,238.38208193261713,5.478060944594375
TO,2022-03-20,11,sensitivity_A,25.974450399135765,191.66500911189559,5.260952976741804
TO,2022-03-27,12,sensitivity_A,26.118443490167195,173.09235802702122,5.159585951652359
TO,2022-04-03,13,sensitivity_A,26.463464737385223,163.88195748960308,5.105229808719415
TO,2022-04-10,14,sensitivity_A,26.608882144950638,112.47182746531413,4.731554589946094
TO,2022-04-17,15,sensitivity_A,25.965622538780764,104.52525806211445,4.658950337172461
TO,2022-04-24,16,sensitivity_A,26.053853764871825,124.69092921554311,4.83382595082487
TO,2022-05-01,17,sensitivity_A,26.79038380892271,91.6598205591032,4.528934943434751
