state,week_start,week_of_year,lag_spec,lagged_temp,lagged_precip,log_precip,T_clim,logP_clim,n_years,T_anom,P_anom,T_anom_mean,T_anom_sd,P_anom_mean,P_anom_sd,z_T_anom,z_P_anom
MG,2025-07-20,29,primary,18.04567065009157,9.525704731785178,2.3538203352161937,18.85660800871513,2.0750518542253378,11,-0.810937358623562,0.27876848099085594,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.0582558152929233,0.5557338865536963
MG,2025-07-27,30,primary,18.533981608186416,6.436240334468138,2.0063653897333733,19.003610343782697,1.887476889978309,11,-0.46962873559628093,0.11888849975506433,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.6128554014541697,0.23700802831288262
MG,2025-08-03,31,primary,18.99700357788462,7.437897378669124,2.1327331518207875,19.310069696766913,1.8922828824865958,11,-0.3130661188822934,0.24045026933419167,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.40854455323245803,0.47934530555610605
MG,2025-08-10,32,primary,18.641055081998648,4.831970815809594,1.7633549905459613,19.713663859845564,2.002252675278148,11,-1.0726087778469164,-0.23889768473218664,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.3997313906186022,-0.4762501784742751
MG,2025-08-17,33,primary,19.346218748011967,4.303489905295886,1.6683650765573879,20.18338955200381,2.1396347204820305,11,-0.8371708039918424,-0.47126964392464266,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.092489897396716,-0.9394911142827834
MG,2025-08-24,34,primary,20.019884206073232,4.221569980874355,1.6527981192941457,20.324012209403044,2.217023868922661,11,-0.3041280033298115,-0.5642257496285155,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.3968805046341434,-1.1248020853010743
MG,2025-08-31,35,primary,20.51999423179559,4.090157161642447,1.6273087066363394,21.01045426017463,2.420526353648479,11,-0.4904600283790401,-0.7932176470121397,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.6400397905971758,-1.5813047597425258
MG,2025-09-07,36,primary,21.24820473999588,9.588064605636799,2.3597273861253094,21.81178580537534,2.6939693791390673,11,-0.5635810653794593,-0.3342419930137579,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-0.7354611715498108,-0.6663221077460402
MG,2025-09-14,37,primary,21.812524340321694,11.17346260500822,2.499258386252676,22.800927252669652,2.668787606875667,11,-0.9884029123479579,-0.16952922062299125,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.2898445468341464,-0.3379619257039475
MG,2025-09-21,38,primary,22.40941251938118,11.767745009925203,2.546922069480868,23.209710580913157,2.8300782349808604,11,-0.8002980615319757,-0.28315616549999234,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.044371761366846,-0.564480876014509
MG,2025-09-28,39,primary,22.225602853035603,13.471767913395144,2.672199711023767,23.3752415508334,2.9485740799778686,11,-1.1496386977977977,-0.2763743689541016,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.500253779768279,-0.5509611476045102
MG,2025-10-05,40,primary,22.39090068525002,24.994428976496405,3.2578822449276035,23.661211964904684,3.4262982460283458,11,-1.2703112796546634,-0.16841600110074229,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.6577289042503895,-0.3357426869668854
MG,2025-10-12,41,primary,23.117830436697194,18.69206466091285,2.98021574550385,23.923084536451412,3.6325502735720883,11,-0.8052540997542188,-0.6523345280682382,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.0508392846764205,-1.3004497543193365
MG,2025-10-19,42,primary,22.00109043522684,25.374429545052596,3.2723949629387303,23.705248102292828,4.022544910655592,11,-1.7041576670659886,-0.7501499477168614,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-2.2238891107565317,-1.495447923168968
MG,2025-10-26,43,primary,22.089334984950103,43.52784855534342,3.796114803667066,23.22411054282144,4.1237878059025155,11,-1.134775557871336,-0.3276730022354495,3.12402661833644e-17,0.7662961515586815,-1.1996683938569795e-17,0.5016222471506976,-1.4808577017686317,-0.6532266144428196
