week,week_start,calendar_year,entrants_total,entrants_susceptible,doses,effective,birth_cohort
1566,2045-01-01,2045,1860.6943759807639,1929.1044238008326,1674.6249383826876,1388.9551851365995,2033
1567,2045-01-08,2045,1860.679478961245,1929.178107234598,1674.6115310651205,1389.0082372089107,2033
1568,2045-01-15,2045,1860.6647348796944,1929.2519864743163,1674.598261391725,1389.061430261508,2033
1569,2045-01-22,2045,1860.6501422752551,1929.3259855587828,1674.5851280477295,1389.1147096023237,2033
1570,2045-01-29,2045,1860.6356996995771,1929.400104454322,1674.5721297296195,1389.168075207112,2033
1571,2045-02-05,2045,1860.6214057167315,1929.4742571676397,1674.5592651450584,1389.2214651607007,2033
1572,2045-02-12,2045,1860.6072589031205,1929.54845786201,1674.5465330128086,1389.2748896606474,2033
1573,2045-02-19,2045,1860.59325784739,1929.6226389687426,1674.533932062651,1389.328300057495,2033
1574,2045-02-26,2045,1860.5794011503424,1929.6967889575924,1674.5214610353082,1389.3816880494667,2033
1575,2045-03-05,2045,1860.5656874248484,1929.7708672229996,1674.5091186823636,1389.43502440056,2033
1576,2045-03-12,2045,1860.5521152957622,1929.8448832383963,1674.496903766186,1389.4883159316455,2033
1577,2045-03-19,2045,1860.5386833998316,1929.9187273073462,1674.4848150598484,1389.5414836612895,2033
1578,2045-03-26,2045,1860.5253903856158,1929.9924122888867,1674.4728513470543,1389.5945368479986,2033
1579,2045-04-02,2045,1860.5122349133956,1930.0659136955267,1674.4610114220561,1389.6474578607795,2033
1580,2045-04-09,2045,1860.4992156550911,1930.1392076653499,1674.449294089582,1389.700229519052,2033
1581,2045-04-16,2045,1860.4863312941748,1930.2122867784885,1674.4376981647574,1389.7528464805118,2033
1582,2045-04-23,2045,1860.4735805255848,1930.2851487075313,1674.4262224730264,1389.8053070694227,2033
1583,2045-04-30,2045,1860.4609620556446,1930.357763712228,1674.41486585008,1389.8575898728043,2033
1584,2045-05-07,2045,1860.448474601976,1930.4301233779067,1674.4036271417783,1389.909688832093,2033
1585,2045-05-14,2045,1860.4361168934145,1930.5022289936817,1674.3925052040731,1389.961604875451,2033
1586,2045-05-21,2045,1860.4238876699299,1930.5740551035456,1674.381498902937,1390.013319674553,2033
1587,2045-05-28,2045,1860.4117856825387,1930.6455788241706,1674.370607114285,1390.064816753403,2033
1588,2045-06-04,2045,1860.3998096932237,1930.7167986850236,1674.3598287239013,1390.1160950532171,2033
1589,2045-06-11,2045,1860.387958474853,1930.7876984864736,1674.3491626273676,1390.1671429102612,2033
1590,2045-06-18,2045,1860.3762308110952,1930.8582621941473,1674.3386077299856,1390.2179487797862,2033
1591,2045-06-25,2045,1860.3646254963421,1930.928473955356,1674.3281629467078,1390.2685012478564,2033
1592,2045-07-02,2045,1860.3531413356234,1930.998334090765,1674.3178272020612,1390.318800545351,2033
1593,2045-07-09,2045,1860.3417771445297,1931.0678123743664,1674.3075994300768,1390.368824909544,2033
1594,2045-07-16,2045,1860.3305317491308,1931.1368820867576,1674.2974785742178,1390.4185551024657,2033
1595,2045-07-23,2045,1860.3194039858986,1931.205453361768,1674.2874635873088,1390.467926420473,2033
1596,2045-07-30,2045,1860.3083927016248,1931.2735454717315,1674.2775534314624,1390.5169527396467,2033
1597,2045-08-06,2045,1860.2974967533453,1931.341106047805,1674.2677470780109,1390.5655963544198,2033
1598,2045-08-13,2045,1860.2867150082604,1931.4080068043704,1674.2580435074344,1390.6137648991469,2033
1599,2045-08-20,2045,1860.2760463436591,1931.4742587168196,1674.2484417092933,1390.6614662761103,2033
1600,2045-08-27,2045,1860.2654896468407,1931.5397804119468,1674.2389406821567,1390.7086418966019,2033
1601,2045-09-03,2045,1860.2550438150395,1931.6045277236592,1674.2295394335356,1390.7552599610349,2033
1602,2045-09-10,2045,1860.2447077553475,1931.6684740824865,1674.2202369798129,1390.8013013393904,2033
1603,2045-09-17,2045,1860.23448038464,1931.731658153324,1674.211032346176,1390.8467938703934,2033
1604,2045-09-24,2045,1860.2243606295012,1931.7939593104259,1674.201924566551,1390.8916507035067,2033
1605,2045-10-01,2045,1860.2143474261486,1931.8554472638793,1674.1929126835337,1390.9359220299932,2033
1606,2045-10-08,2045,1860.2044397203597,1931.9161305248315,1674.1839957483237,1390.979613977879,2033
1607,2045-10-15,2045,1860.1946364673986,1931.9760365877466,1674.1751728206589,1391.0227463431777,2033
1608,2045-10-22,2045,1860.1849366319418,1932.0353067197832,1674.1664429687476,1391.065420838244,2033
1609,2045-10-29,2045,1860.1753391880077,1932.0940837555297,1674.1578052692068,1391.1077403039815,2033
1610,2045-11-05,2045,1860.1658431188832,1932.1524498700196,1674.149258806995,1391.1497639064144,2033
1611,2045-11-12,2045,1860.1564474170532,1932.2106220363721,1674.140802675348,1391.191647866188,2033
1612,2045-11-19,2045,1860.1471510841272,1932.2686835493478,1674.1324359757145,1391.2334521555306,2033
1613,2045-11-26,2045,1860.1379531307705,1932.3267215701908,1674.1241578176935,1391.2752395305374,2033
1614,2045-12-03,2045,1860.1288525766342,1932.3848234928073,1674.115967318971,1391.3170729148214,2033
1615,2045-12-10,2045,1860.122276030827,1932.4444407231654,1674.1100484277442,1391.3599973206792,2033
1616,2045-12-17,2045,1860.1133674692926,1932.5028247152698,1674.1020307223635,1391.4020337949944,2033
1617,2045-12-24,2045,1860.1045534470557,1932.561466157549,1674.09409810235,1391.4442556334354,2033
1618,2045-12-31,2045,1860.0958330178735,1932.6203009275473,1674.086249716086,1391.4866166678341,2033
