muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
150475,25,15,8,6,4,0.125,0.8,0.24,12,0.8,0.125,0.24,recurrent
150480,23,16,8,7,3,0.13333333333333333,0.8,0.30434782608695654,14,0.8,0.13333333333333333,0.30434782608695654,recurrent
150490,16,13,7,6,3,0.10833333333333334,0.7,0.375,12,0.7,0.10833333333333334,0.375,recurrent
150495,6,4,3,3,1,0.03333333333333333,0.3,0.5,4,0.3,0.03333333333333333,0.5,intermediate
150497,235,22,6,184,2,0.18333333333333332,0.6,0.7829787234042553,8,0.6,0.18333333333333332,0.7829787234042553,sporadic
150500,119,13,5,114,1,0.10833333333333334,0.5,0.957983193277311,6,0.5,0.10833333333333334,0.957983193277311,sporadic
150503,23,11,5,11,3,0.09166666666666666,0.5,0.4782608695652174,7,0.5,0.09166666666666666,0.4782608695652174,recurrent
150506,223,31,7,186,1,0.25833333333333336,0.7,0.8340807174887892,15,0.7,0.25833333333333336,0.8340807174887892,sporadic
150510,300,39,8,219,2,0.325,0.8,0.73,12,0.8,0.325,0.73,intermediate
150520,35,18,8,17,3,0.15,0.8,0.4857142857142857,15,0.8,0.15,0.4857142857142857,recurrent
150530,26,15,4,12,4,0.125,0.4,0.46153846153846156,10,0.4,0.125,0.46153846153846156,recurrent
150540,7,7,5,2,0,0.058333333333333334,0.5,0.2857142857142857,6,0.5,0.058333333333333334,0.2857142857142857,recurrent
150543,44,8,4,41,1,0.06666666666666667,0.4,0.9318181818181818,5,0.4,0.06666666666666667,0.9318181818181818,sporadic
150548,100,23,6,70,2,0.19166666666666668,0.6,0.7,9,0.6,0.19166666666666668,0.7,intermediate
150549,12,7,3,9,1,0.058333333333333334,0.3,0.75,4,0.3,0.058333333333333334,0.75,sporadic
150550,613,62,9,254,4,0.5166666666666667,0.9,0.41435562805872755,15,0.9,0.5166666666666667,0.41435562805872755,recurrent
150553,2702,89,10,1817,2,0.7416666666666667,1,0.6724648408586232,15,1,0.7416666666666667,0.6724648408586232,intermediate
150555,62,12,4,49,2,0.1,0.4,0.7903225806451613,5,0.4,0.1,0.7903225806451613,sporadic
150560,13,9,5,5,2,0.075,0.5,0.38461538461538464,6,0.5,0.075,0.38461538461538464,recurrent
150563,6,4,3,3,1,0.03333333333333333,0.3,0.5,3,0.3,0.03333333333333333,0.5,intermediate
