week_start,variable,q025,q25,median,q75,q975
2019-08-25,posterior_predictive_cases,1,5,10,17,37.02500000000009
2019-09-01,posterior_predictive_cases,1,5,9,15,34
2019-09-08,posterior_predictive_cases,0,4,7,13,30
2019-09-15,posterior_predictive_cases,0,3,7,12,26.02500000000009
2019-09-22,posterior_predictive_cases,0,3,6,10,23
2019-09-29,posterior_predictive_cases,0,3,5,9,22
2019-10-06,posterior_predictive_cases,0,2,5,9,20
2019-10-13,posterior_predictive_cases,0,2,4,8,18
2019-10-20,posterior_predictive_cases,0,2,4,8,17
2019-10-27,posterior_predictive_cases,0,2,4,7,17
2019-11-03,posterior_predictive_cases,0,2,4,7,17
2019-11-10,posterior_predictive_cases,0,2,4,7,16
2019-11-17,posterior_predictive_cases,0,2,4,7,17
2019-11-24,posterior_predictive_cases,0,2,4,7,18
2019-12-01,posterior_predictive_cases,0,2,4,8,18
2019-12-08,posterior_predictive_cases,0,2,5,9,19
2019-12-15,posterior_predictive_cases,0,3,5,9,21
2019-12-22,posterior_predictive_cases,0,3,6,10,23
2019-12-29,posterior_predictive_cases,0,3,7,12,27
2020-01-05,posterior_predictive_cases,0,4,7,12,28
2020-01-12,posterior_predictive_cases,0,4,9,15,32
2020-01-19,posterior_predictive_cases,1,5,9,16,37
2020-01-26,posterior_predictive_cases,1,6,11,19,45
2020-02-02,posterior_predictive_cases,1,7,13,22,48
2020-02-09,posterior_predictive_cases,1,8,15,25,56.02500000000009
2020-02-16,posterior_predictive_cases,1,9,18,30,68
2020-02-23,posterior_predictive_cases,2,11,20,33,75.02500000000009
2020-03-01,posterior_predictive_cases,2,13,23,39,87
2020-03-08,posterior_predictive_cases,3,15,27,45,99
2020-03-15,posterior_predictive_cases,3,17,31,51,107.02500000000009
2020-03-22,posterior_predictive_cases,3,18,34,55,121.02500000000009
2020-03-29,posterior_predictive_cases,4,20,38,63,133
2020-04-05,posterior_predictive_cases,4,23,41,68,152
2020-04-12,posterior_predictive_cases,5,24,43,71,156
2020-04-19,posterior_predictive_cases,5,25,45,76,166
2020-04-26,posterior_predictive_cases,6,26,48,80,170
2020-05-03,posterior_predictive_cases,6,26,47,79.25,174
2020-05-10,posterior_predictive_cases,5,25,46,78,173.0250000000001
2020-05-17,posterior_predictive_cases,5,25,46,77,171.0250000000001
2020-05-24,posterior_predictive_cases,5,23,43,72,163
2020-05-31,posterior_predictive_cases,4,21,40,66.25,149
2020-06-07,posterior_predictive_cases,4,20,37,62,136
2020-06-14,posterior_predictive_cases,4,19,34,55,119
2020-06-21,posterior_predictive_cases,3,17,31,51,107
2020-06-28,posterior_predictive_cases,2,14,26,43,97
2020-07-05,posterior_predictive_cases,2,12,23,38,84.02500000000009
2020-07-12,posterior_predictive_cases,2,11,20,33,73
2020-07-19,posterior_predictive_cases,1,9,16,28,60
2020-07-26,posterior_predictive_cases,1,7,14,24,53
2020-08-02,posterior_predictive_cases,1,6,12,20,43
2020-08-09,posterior_predictive_cases,0.9750000000000085,5,10,17,38.02500000000009
2020-08-16,posterior_predictive_cases,0,4,9,15,32
2020-08-23,posterior_predictive_cases,0,3,7,12,28
2020-08-30,posterior_predictive_cases,0,3,6,11,23
2020-09-06,posterior_predictive_cases,0,2,5,9,20
2020-09-13,posterior_predictive_cases,0,2,4,8,17
2020-09-20,posterior_predictive_cases,0,2,4,7,15
2020-09-27,posterior_predictive_cases,0,2,3,6,14.025000000000091
2020-10-04,posterior_predictive_cases,0,1,3,5,13
2020-10-11,posterior_predictive_cases,0,1,3,5,11
2020-10-18,posterior_predictive_cases,0,1,2,5,11
2020-10-25,posterior_predictive_cases,0,1,2,4.25,11
2020-11-01,posterior_predictive_cases,0,1,2,4,10
2020-11-08,posterior_predictive_cases,0,1,2,4,10
2020-11-15,posterior_predictive_cases,0,1,2,4,10
2020-11-22,posterior_predictive_cases,0,1,2,4,10
2020-11-29,posterior_predictive_cases,0,1,2,4,11
2020-12-06,posterior_predictive_cases,0,1,3,5,12
2020-12-13,posterior_predictive_cases,0,1,3,5,12
2020-12-20,posterior_predictive_cases,0,1,3,5,13
2020-12-27,posterior_predictive_cases,0,2,4,6,14
2021-01-03,posterior_predictive_cases,0,2,5,8,19
2021-01-10,posterior_predictive_cases,0,3,6,10,22
2021-01-17,posterior_predictive_cases,0,3,7,12,28
2021-01-24,posterior_predictive_cases,0,5,9,16,34
2021-01-31,posterior_predictive_cases,1,6,12,20,45
2021-02-07,posterior_predictive_cases,1,8,15,25,53
2021-02-14,posterior_predictive_cases,2,10,19,32,70
2021-02-21,posterior_predictive_cases,2,12,23,39,88
2021-02-28,posterior_predictive_cases,3,16,31,52,115
2021-03-07,posterior_predictive_cases,5,20,38,62,138
2021-03-14,posterior_predictive_cases,5,26,46,77,167
2021-03-21,posterior_predictive_cases,6,32,57,93,205.0250000000001
2021-03-28,posterior_predictive_cases,9,39,69,115,245.0250000000001
2021-04-04,posterior_predictive_cases,10,46,84,138,296.0500000000002
2021-04-11,posterior_predictive_cases,10,54,97,158,341.0500000000002
2021-04-18,posterior_predictive_cases,12.975000000000009,61,110,183,403.0250000000001
2021-04-25,posterior_predictive_cases,15,65,123,206,446
2021-05-02,posterior_predictive_cases,17,77,138,225,480
2021-05-09,posterior_predictive_cases,19,82,149,244,525.0250000000001
2021-05-16,posterior_predictive_cases,20,86,157,260.25,541.0500000000002
2021-05-23,posterior_predictive_cases,19,89,161,264.25,573.0250000000001
2021-05-30,posterior_predictive_cases,20,92,169,270,578
2021-06-06,posterior_predictive_cases,21,89,164,269,573.0250000000001
2021-06-13,posterior_predictive_cases,20,90,163,270.25,588
2021-06-20,posterior_predictive_cases,18,86,156,256,562.0250000000001
2021-06-27,posterior_predictive_cases,18,81,147,244,521.0750000000003
2021-07-04,posterior_predictive_cases,18,79,143,236.25,497
2021-07-11,posterior_predictive_cases,15,70,130,219,464.0500000000002
2021-07-18,posterior_predictive_cases,15,64,117,194,402
2021-07-25,posterior_predictive_cases,13,62,108,178,388.0250000000001
2021-08-01,posterior_predictive_cases,12,53,96,163.25,351.0250000000001
2021-08-08,posterior_predictive_cases,9,48,89,148,326
2021-08-15,posterior_predictive_cases,8.975000000000009,43,78,131,286.0500000000002
2021-08-22,posterior_predictive_cases,8,39,73,121,258
2021-08-29,posterior_predictive_cases,8,37,67,110,243.0250000000001
2021-09-05,posterior_predictive_cases,6,33,62,99,223
2021-09-12,posterior_predictive_cases,7,30,56,95,206.0250000000001
2021-09-19,posterior_predictive_cases,5,28,50,88,190
2021-09-26,posterior_predictive_cases,5,28,50.5,86,191.0250000000001
2021-10-03,posterior_predictive_cases,5.9750000000000085,27,49,79.25,177
2021-10-10,posterior_predictive_cases,6,25,46,80,173.0250000000001
2021-10-17,posterior_predictive_cases,6,25,46,77,172
2021-10-24,posterior_predictive_cases,5,26,47,79,170
2021-10-31,posterior_predictive_cases,5,26,49,82,172
2021-11-07,posterior_predictive_cases,5,28,51,86,185
2021-11-14,posterior_predictive_cases,6,31,55,92,202.0250000000001
2021-11-21,posterior_predictive_cases,6,32,61,101,224
2021-11-28,posterior_predictive_cases,8,37,68,112,244.0250000000001
2021-12-05,posterior_predictive_cases,8,41,76,127,292
2021-12-12,posterior_predictive_cases,10,50,88,146,321.0250000000001
2021-12-19,posterior_predictive_cases,12,55,104,175,391
2021-12-26,posterior_predictive_cases,16,69,128,209,467
2022-01-02,posterior_predictive_cases,15,67,129,213,465.0500000000002
2022-01-09,posterior_predictive_cases,19,86,151,245,543.0750000000003
2022-01-16,posterior_predictive_cases,20.97500000000001,95,166,281,632.0250000000001
2022-01-23,posterior_predictive_cases,24,111,197,327.25,749.0500000000002
2022-01-30,posterior_predictive_cases,26,133,235,388.25,835.0250000000001
2022-02-06,posterior_predictive_cases,35,153,276,454,965.0500000000002
2022-02-13,posterior_predictive_cases,41,184.75,327,539,1169.0500000000002
2022-02-20,posterior_predictive_cases,50,208.75,389,645.25,1397.2250000000008
2022-02-27,posterior_predictive_cases,55.97500000000001,241,449,739.25,1597.1000000000004
2022-03-06,posterior_predictive_cases,63,293,526,858,1894.2000000000007
2022-03-13,posterior_predictive_cases,76.97500000000001,331.75,585,954,2126.1000000000004
2022-03-20,posterior_predictive_cases,88,373,674,1123.25,2429
2022-03-27,posterior_predictive_cases,101.97500000000001,431.75,763,1247.25,2708.2000000000007
2022-04-03,posterior_predictive_cases,104.97500000000001,461.75,843,1356,2952.4250000000015
2022-04-10,posterior_predictive_cases,116.97500000000001,505,898,1455.25,3147.1500000000005
2022-04-17,posterior_predictive_cases,115,536.75,971.5,1629,3478.225000000001
2022-04-24,posterior_predictive_cases,128.97500000000002,548.75,976.5,1619.25,3504.05
2022-05-01,posterior_predictive_cases,135.97500000000002,566,1018,1666,3612.0750000000003
2022-05-08,posterior_predictive_cases,144,566,1032.5,1680.25,3631.7500000000027
2022-05-15,posterior_predictive_cases,130.925,573,1036,1663.25,3556.250000000001
2022-05-22,posterior_predictive_cases,133.97500000000002,543.75,963,1607.25,3376.0750000000003
2022-05-29,posterior_predictive_cases,106,514,908,1502.5,3218.3750000000014
2022-06-05,posterior_predictive_cases,107.97500000000001,470,845,1384.25,3007.025
2022-06-12,posterior_predictive_cases,94,431,767.5,1254,2698.05
2022-06-19,posterior_predictive_cases,89,382,695,1162,2425.1750000000006
2022-06-26,posterior_predictive_cases,81.97500000000001,352,627,1045.5,2194.1000000000004
2022-07-03,posterior_predictive_cases,70,295.75,540,896,1874
2022-07-10,posterior_predictive_cases,55,254.75,448,750.5,1576.0500000000002
2022-07-17,posterior_predictive_cases,50,215,389.5,625,1353
2022-07-24,posterior_predictive_cases,46,182.75,329,533,1193.1500000000005
2022-07-31,posterior_predictive_cases,39,155,273,458,973
2022-08-07,posterior_predictive_cases,28,128,230,389,815
2022-08-14,posterior_predictive_cases,23,104,190,312,669
2022-08-21,posterior_predictive_cases,20,94,171,271.25,575.0750000000003
2022-08-28,posterior_predictive_cases,17,79,143,235,509.0250000000001
2022-09-04,posterior_predictive_cases,15,66,120,200,416.0250000000001
2022-09-11,posterior_predictive_cases,12,56,102,168,366.0500000000002
2022-09-18,posterior_predictive_cases,11,49,91,146,315
2022-09-25,posterior_predictive_cases,9,42.75,78,128,283
2022-10-02,posterior_predictive_cases,8,39,68,114,247
2022-10-09,posterior_predictive_cases,7,33,62,103,221
2022-10-16,posterior_predictive_cases,6,31,55,94,205
2022-10-23,posterior_predictive_cases,6,29,53,86,188
2022-10-30,posterior_predictive_cases,5,27,50,81,181
2022-11-06,posterior_predictive_cases,5,25,48,79,176
2022-11-13,posterior_predictive_cases,6,26,48,80,177.0250000000001
2022-11-20,posterior_predictive_cases,5,26,49,78,179
2022-11-27,posterior_predictive_cases,5,26,49,81,182
2022-12-04,posterior_predictive_cases,5,27,50,84,191
2022-12-11,posterior_predictive_cases,6,29,52,89,201
2022-12-18,posterior_predictive_cases,7,33,60,99,218
2022-12-25,posterior_predictive_cases,7,35,65,105.25,232
2023-01-01,posterior_predictive_cases,7.9750000000000085,34,64,107,242.0250000000001
2023-01-08,posterior_predictive_cases,9,40,73,123,263
2023-01-15,posterior_predictive_cases,9,42,77,130.25,278.0250000000001
2023-01-22,posterior_predictive_cases,10,47,89,146.25,322
2023-01-29,posterior_predictive_cases,10,52,94,157,347.0500000000002
2023-02-05,posterior_predictive_cases,12,60.75,109,182,402
2023-02-12,posterior_predictive_cases,14,64,116,196,441.0500000000002
2023-02-19,posterior_predictive_cases,15,72,128,220,495
2023-02-26,posterior_predictive_cases,17,81.75,147,242,534.0250000000001
2023-03-05,posterior_predictive_cases,20,87,157,255,585.0250000000001
2023-03-12,posterior_predictive_cases,20,96,174,285,621.1000000000004
2023-03-19,posterior_predictive_cases,22.97500000000001,103,185,309,671.0750000000003
2023-03-26,posterior_predictive_cases,25,108,202,325,725.0250000000001
2023-04-02,posterior_predictive_cases,26,120,213,353,749
2023-04-09,posterior_predictive_cases,25,117,216,363,781.0250000000001
2023-04-16,posterior_predictive_cases,30,126,226,377,831.1500000000005
2023-04-23,posterior_predictive_cases,26,120,218,366,812
2023-04-30,posterior_predictive_cases,28,123,221,361.25,778.0500000000002
2023-05-07,posterior_predictive_cases,25,119,212,348.25,765
