mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,97,-1226.001464445474,-4.259302007653645,-1.1508298906422498,-11.006930436044808,-1458.095375265514,0.0584640633203128,0.2124515717302859
low_q,98,-1222.8801823915032,-4.657059635467789,-1.14482801168111,-9.625618893111442,-1454.0798946808834,0.045778870827233205,0.25009704216162104
low_q,99,-1221.9791811036134,-4.443091131717324,-1.150505366490565,-9.482451412572644,-1452.964442013425,0.04283247418715981,0.23542711853972095
low_q,100,-1225.0501885625447,-4.905807518384364,-1.1438396497020418,-11.445106231886399,-1458.3715794835796,0.046594862293256385,0.26337453538786854
low_q,101,-1221.3768695715428,-4.231793222881095,-1.1442194585565963,-9.736246479022162,-1452.3731190253984,0.04625768440016197,0.2128978899272138
low_q,102,-1225.6255233810505,-4.290997782495452,-1.1470707178146304,-9.821031916878374,-1456.6992682133255,0.044391647886158896,0.21698606587427113
low_q,103,-1224.3936387937683,-4.372066274407871,-1.1579141675842766,-9.608381560423606,-1455.4389237461291,0.06168710064419829,0.16791787636615305
low_q,104,-1230.0537250050463,-4.210969257619354,-1.1493026073320667,-9.446454134817799,-1460.70104867235,0.05763702585908062,0.20381366695160386
low_q,105,-1223.6332518133386,-4.214347991767653,-1.148107103984534,-9.932104492956093,-1454.9280055574666,0.05693509667175734,0.190369412450768
low_q,106,-1223.8979461326055,-4.578640002377341,-1.156683649428385,-9.717353096459775,-1455.349898571494,0.04077523460991565,0.24360381632106465
low_q,107,-1231.6954549895727,-4.314958763901359,-1.1445132320153304,-10.215552588769281,-1463.291917277222,0.05430641343840204,0.22070190093675246
low_q,108,-1224.3858352415891,-5.039874518183751,-1.1438423199798047,-9.443355827460717,-1455.9532779635701,0.04659236232030234,0.2700765988483017
low_q,109,-1224.6537560978065,-4.415495149253815,-1.1528035135428498,-9.515820184686131,-1455.7968057277585,0.041987807343362306,0.23835954354481875
low_q,110,-1224.1268885536313,-4.764392859170044,-1.1493401971704253,-10.18012940002307,-1456.23456910282,0.04331218579478317,0.2534534417864146
low_q,111,-1225.7879909906699,-4.523265556727296,-1.1732202140194328,-9.817453260356393,-1457.1497917385616,0.06707591250635149,0.15712192447425813
low_q,112,-1225.8037943578856,-4.2622388059049285,-1.1436059279796262,-9.8221937761023,-1457.1292315931512,0.05338151324478129,0.21688068993845705
low_q,113,-1223.8458059345232,-4.599380200010472,-1.1672695410154268,-9.494405434057,-1455.1569572468404,0.038235933260660715,0.2503492645943927
low_q,114,-1223.1174752875327,-4.196581205317557,-1.1431676217217281,-9.665309955972145,-1453.9682754549606,0.05284020327127636,0.19619996109460325
low_q,115,-1226.4550776004505,-4.306828330697925,-1.1517797218119266,-10.61946115201064,-1458.4241887621852,0.05894729926820973,0.17674657099006688
low_q,116,-1224.3480761984094,-4.505928389446865,-1.1427000326076537,-9.582612848192923,-1455.5934652871313,0.05212910702217085,0.2415249033451319
low_q,117,-1222.3478652717645,-4.561984258628058,-1.153977819398369,-9.645980389991728,-1453.6518837717138,0.04159681194135897,0.24361893964634024
low_q,118,-1223.0001112086552,-4.363021390064972,-1.1441356537753402,-9.412403299696308,-1453.7156972722564,0.04632913049226657,0.23142909478961313
low_q,119,-1223.035390400445,-4.214831567789304,-1.1431733549321499,-9.472677691561586,-1453.6960001243342,0.047297913402556124,0.20958472025444116
low_q,120,-1226.7784464518456,-4.209296740353011,-1.1528146410525857,-9.69763148349918,-1457.8041257455618,0.05945153335442987,0.20581830812298407
low_q,121,-1227.0430561664243,-4.244004956564055,-1.1433531689958525,-9.774753168196046,-1458.1955449894444,0.04708981644737648,0.21029418371298542
low_q,122,-1227.8122355608245,-4.591168548603605,-1.142235143144969,-9.586996682413748,-1458.9776256826044,0.048971327523001804,0.24279722863995834
