mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,181,-1222.876032189855,-4.378079283819915,-1.1423652055657465,-9.929082123468017,-1454.373417720065,0.04860588512270113,0.22701955459429346
low_q,182,-1224.0211686042371,-4.222472271238331,-1.1518712916181235,-10.140505324705687,-1455.404153392952,0.058992800973221744,0.18397338046933767
low_q,183,-1221.432762840348,-4.229885196690844,-1.1423361581767972,-9.419562494089028,-1452.1421144985597,0.051355537007430306,0.21125201730301787
low_q,184,-1224.319293637623,-4.1977346188708395,-1.142754800999053,-9.337655721777315,-1454.9681409453556,0.047866509611834675,0.20071955542612596
low_q,185,-1222.1981324010187,-4.256263780990963,-1.1449323953501003,-9.61911966297291,-1453.123545131354,0.045702735990710064,0.21367263131900394
low_q,186,-1222.767941357753,-4.521298487541429,-1.1488714976616998,-10.186317259363177,-1454.4981387222767,0.043517503388243776,0.24085038103946899
low_q,187,-1224.5791283800256,-4.20666493506198,-1.1459386132878544,-9.712867427399484,-1455.5230123090419,0.05547975400268312,0.20901039942617372
low_q,188,-1223.1555413866831,-4.197114733325208,-1.1439186462745266,-9.906821627330272,-1454.2251185285998,0.05372366178426945,0.20005359250728943
low_q,189,-1225.6341242724038,-4.5879618556377295,-1.154528691415366,-9.43488444395772,-1456.609383970263,0.04142120683632599,0.24186893499823173
low_q,190,-1225.4085596008754,-5.2510864045769665,-1.1508266914275183,-9.513243648997491,-1457.1385011269997,0.0427069672991797,0.2774552130339745
