segmentation_definition,state,wave_id,onset_week,peak_week,end_week,wave_end_censored,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,n_candidate_peaks_in_segment,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reason_re6_not_eligible,candidate_wave,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,major_epidemic_primary,reason_not_major,wave_order,is_recurrence
permissive,AL,AL_wave_01,2015-03-29,2015-04-12,2015-06-28,FALSE,0,0.020956597419781814,0,2015-03-22,0,NA,NA,14,2,5,0.1571744806483636,2,2,4,2,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AL,AL_wave_02,2015-07-12,2015-07-26,2015-08-23,FALSE,0,0.010478298709890907,0,2015-06-28,0,0,2,7,2,2,0.06286979225934544,1,2,2,1,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AL,AL_wave_03,2015-11-29,2016-05-29,2017-02-19,FALSE,17.62912708216616,19.3439413416414,562,2015-08-23,0,0,7,65,26,9490,297.68658918918004,55,91,134,4,6,8,TRUE,TRUE,TRUE,FALSE,FALSE,4,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,1,FALSE
permissive,AL,AL_wave_04,2017-02-26,2017-03-26,2017-10-29,FALSE,0.5010718239484147,0.41755985329034556,16,2017-02-19,0.12526795598710366,0.3,2,36,4,298,9.332462721039223,36,59,83,4,6,8,TRUE,TRUE,TRUE,FALSE,FALSE,7,FALSE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,2,TRUE
permissive,AL,AL_wave_05,2017-11-05,2018-04-08,2018-05-20,FALSE,0.15624375024999,0.15624375024999,5,2017-10-29,0.04175598532903455,0.26724899563806537,2,29,22,76,2.37647449957574,7,15,20,4,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,fewer than 30 raw cases,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AL,AL_wave_06,2018-05-27,2018-07-22,2018-09-23,FALSE,0.28123875044998203,0.26040625041665,9,2018-05-20,0.020832500033331997,0.13333333333333333,4,18,8,95,2.96863125474981,18,26,41,4,6,8,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AL,AL_wave_07,2018-11-04,2019-07-07,2019-11-03,FALSE,2.3062270623902985,2.60749095792777,74,2018-09-23,0.062497500099995995,0.24,7,53,35,1528,47.62314493857137,24,27,29,4,6,7,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,3,TRUE
permissive,AL,AL_wave_08,2019-11-10,2020-05-03,2020-05-24,FALSE,0.27995320426661124,0.21774138109625318,9,2019-11-03,0.07271887133663102,0.33396900015291736,2,29,25,72,2.240634056923158,12,15,17,4,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AL,AL_wave_09,2020-05-31,2020-07-26,2020-11-22,FALSE,0.27995320426661124,0.24884729268143221,9,2020-05-24,0.062211823170358053,0.2857142857142857,2,26,8,89,2.7684261310809335,14,22,33,4,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,fewer than 30 raw cases,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
permissive,AL,AL_wave_10,2020-11-29,2021-02-28,2021-03-28,FALSE,0.21753864962572475,0.13466678310163913,7,2020-11-22,0,0,14,18,13,26,0.8080586218871286,2,3,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,too few nonzero raw incidence weeks; fewer than 30 raw cases,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,NA,NA
