state,week_start,reported_cases,population,incidence_raw,incidence_smooth
AC,2019-09-22,0,857919,0,0
AC,2019-09-29,0,857919,0,0
AC,2019-10-06,0,857919,0,0
AC,2019-10-13,0,857919,0,0
AC,2019-10-20,0,857919,0,0
AC,2019-10-27,0,857919,0,0.03885370685732958
AC,2019-11-03,1,857919,0.11656112057198874,0.03885370685732958
AC,2019-11-10,0,857919,0,0.03885370685732958
AC,2019-11-17,0,857919,0,0
AC,2019-11-24,0,857919,0,0.03885370685732958
AC,2019-12-01,1,857919,0.11656112057198874,0.11656112057198874
AC,2019-12-08,2,857919,0.23312224114397748,0.1554148274293183
AC,2019-12-15,1,857919,0.11656112057198874,0.11656112057198874
AC,2019-12-22,0,857919,0,0.03885370685732958
AC,2019-12-29,0,857919,0,0
AC,2020-01-05,0,863657,0,0.03859556899710572
AC,2020-01-12,1,863657,0.11578670699131717,0.11578670699131717
AC,2020-01-19,2,863657,0.23157341398263434,0.15438227598842288
AC,2020-01-26,1,863657,0.11578670699131717,0.11578670699131717
AC,2020-02-02,0,863657,0,0.1929778449855286
AC,2020-02-09,4,863657,0.4631468279652687,0.1929778449855286
AC,2020-02-16,1,863657,0.11578670699131717,0.1929778449855286
AC,2020-02-23,0,863657,0,0.07719113799421144
AC,2020-03-01,1,863657,0.11578670699131717,0.07719113799421144
AC,2020-03-08,1,863657,0.11578670699131717,0.07719113799421144
AC,2020-03-15,0,863657,0,0.03859556899710572
AC,2020-03-22,0,863657,0,0
AC,2020-03-29,0,863657,0,0
AC,2020-04-05,0,863657,0,0.03859556899710572
AC,2020-04-12,1,863657,0.11578670699131717,0.03859556899710572
AC,2020-04-19,0,863657,0,0.03859556899710572
AC,2020-04-26,0,863657,0,0.03859556899710572
AC,2020-05-03,1,863657,0.11578670699131717,0.15438227598842288
AC,2020-05-10,3,863657,0.34736012097395147,0.2315734139826343
AC,2020-05-17,2,863657,0.23157341398263434,0.30876455197684577
AC,2020-05-24,3,863657,0.34736012097395147,0.2315734139826343
AC,2020-05-31,1,863657,0.11578670699131717,0.1929778449855286
AC,2020-06-07,1,863657,0.11578670699131717,0.11578670699131717
AC,2020-06-14,1,863657,0.11578670699131717,0.07719113799421144
AC,2020-06-21,0,863657,0,0.07719113799421144
AC,2020-06-28,1,863657,0.11578670699131717,0.11578670699131717
AC,2020-07-05,2,863657,0.23157341398263434,0.2315734139826343
AC,2020-07-12,3,863657,0.34736012097395147,0.3473601209739515
AC,2020-07-19,4,863657,0.4631468279652687,0.30876455197684577
AC,2020-07-26,1,863657,0.11578670699131717,0.23157341398263434
AC,2020-08-02,1,863657,0.11578670699131717,0.07719113799421144
AC,2020-08-09,0,863657,0,0.03859556899710572
AC,2020-08-16,0,863657,0,0
AC,2020-08-23,0,863657,0,0.03859556899710572
AC,2020-08-30,1,863657,0.11578670699131717,0.03859556899710572
AC,2020-09-06,0,863657,0,0.03859556899710572
AC,2020-09-13,0,863657,0,0.03859556899710572
AC,2020-09-20,1,863657,0.11578670699131717,0.03859556899710572
AC,2020-09-27,0,863657,0,0.03859556899710572
AC,2020-10-04,0,863657,0,0
AC,2020-10-11,0,863657,0,0
AC,2020-10-18,0,863657,0,0
AC,2020-10-25,0,863657,0,0.03859556899710572
AC,2020-11-01,1,863657,0.11578670699131717,0.07719113799421144
AC,2020-11-08,1,863657,0.11578670699131717,0.27016898297974
AC,2020-11-15,5,863657,0.5789335349565857,0.27016898297974
AC,2020-11-22,1,863657,0.11578670699131717,0.2315734139826343
AC,2020-11-29,0,863657,0,0.03859556899710572
AC,2020-12-06,0,863657,0,0.07719113799421144
AC,2020-12-13,2,863657,0.23157341398263434,0.11578670699131717
