draw,scenario,coverage,VE_infection,vaccination_start,vaccination_end,target_age,cumulative_eligible,cumulative_doses,cumulative_effectively_protected,infections_no_vaccine,infections_vaccine,infections_averted,reported_cases_no_vaccine,reported_cases_vaccine,reported_cases_averted,NNV_infection,NNV_reported_case,infections_direct_only_arm,direct_only_effect,indirect_effect,NNV_total_infection,NNV_direct_only_infection,NNV_indirect_infection
322,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,780390.3341963524,2557387.1118020327,2038266.4213570748,519120.69044495793,127869.35559010164,101913.32106785374,25956.034522247897,1.7588049866443178,35.17609973288636,2471802.0884958603,85585.02330617234,433535.6671387856,1.7588049866443178,10.66812888229927,2.106013710591772
325,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,778937.0219028072,2565892.926925444,2040034.8494813775,525858.0774440665,128294.6463462722,102001.74247406889,26292.90387220333,1.7362708650642513,34.72541730128503,2480295.968577473,85596.95834797109,440261.11909609544,1.7362708650642513,10.666641392947056,2.0738421346390723
330,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248331,913032.0590248331,791607.8009953363,2390588.592297885,1846173.8556567854,544414.7366410997,119529.42961489427,92308.69278283928,27220.736832054987,1.6770891703961,33.541783407922,2310527.153106053,80061.4391918322,464353.29744926747,1.6770891703961,11.404142471597986,1.9662443747900502
332,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,790208.1534149266,2414592.695099878,1868201.4901517746,546391.2049481035,120729.63475499391,93410.07450758874,27319.560247405178,1.6710226130223926,33.42045226044785,2333545.9138942966,81046.7812055815,465344.423742522,1.6710226130223926,11.265494390318308,1.96205651650834
339,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248329,913032.0590248329,764132.7003690518,2800600.391076852,2374154.912955314,426445.4781215382,140030.0195538426,118707.7456477657,21322.27390607691,2.1410288204876124,42.820576409752256,2706076.0967625743,94524.29431427782,331921.18380726036,2.1410288204876124,9.659231689042297,2.750749586248196
342,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,793125.6551282322,2369547.743984555,1814544.1990944343,555003.5448901206,118477.38719922776,90727.20995472172,27750.177244506034,1.645092301537633,32.90184603075266,2290280.066683819,79267.67730073584,475735.8675893848,1.645092301537633,11.518340010908304,1.9191995416517262
355,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,783315.3328686281,2505195.545884048,1970887.2593313982,534308.2865526499,125259.77729420242,98544.36296656991,26715.414327632498,1.708811339827246,34.17622679654492,2421856.21605119,83339.32983285794,450968.956719792,1.708811339827246,10.955596365557232,2.024600685745523
374,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,797188.0079228877,2299554.85070419,1733598.1898610266,565956.6608431633,114977.7425352095,86679.90949305134,28297.833042158163,1.613254374751234,32.26508749502468,2222939.510399007,76615.34030518308,489341.3205379802,1.613254374751234,11.917091999956389,1.8658388750433936
383,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248341,913032.0590248341,769590.0273753841,2705959.3261958505,2216022.6886383425,489936.63755750796,135297.96630979254,110801.13443191713,24496.8318778754,1.86357171322519,37.271434264503796,2615620.06407664,90339.26211921033,399597.37543829763,1.86357171322519,10.106702640763334,2.284880019603173
390,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,791870.2627851373,2393358.5536069274,1842682.2573023308,550676.2963045966,119667.92768034637,92134.11286511655,27533.81481522983,1.658019539159184,33.16039078318368,2313155.352291033,80203.20131589426,470473.09498870233,1.658019539159184,11.383985228079586,1.9406679547674421
402,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,794415.9145131803,2332650.8076445498,1770552.9437514374,562097.8638931124,116632.5403822275,88527.64718757187,28104.893194655622,1.6243293520120081,32.48658704024016,2255101.853943661,77548.9537008889,484548.9101922235,1.6243293520120081,11.773621892391407,1.8842928749187113
404,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248336,913032.0590248336,784003.4230443874,2512724.5292055467,1991931.3758753939,520793.15333015285,125636.22646027734,99596.5687937697,26039.657666507643,1.7531568016717454,35.06313603343491,2428414.517494031,84310.01171151549,436483.14161863737,1.7531568016717454,10.82946189295959,2.0917922640470845
406,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,782337.5765302851,2528475.9470909447,1999889.200806889,528586.7462840558,126423.79735454725,99994.46004034445,26429.33731420279,1.7273078930628005,34.54615786125601,2443880.426539883,84595.52055106172,443991.22573299403,1.7273078930628005,10.792912592502208,2.056419149989936
408,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248338,913032.0590248338,786651.9328345753,2467085.210887869,1936778.648100219,530306.5627876499,123354.26054439344,96838.93240501096,26515.3281393825,1.721706128291756,34.43412256583512,2384430.4844075916,82654.72648027726,447651.83630737267,1.721706128291756,11.046338157597049,2.0396030686623066
412,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,799310.2006530103,2303367.673197359,1748646.369441605,554721.3037557539,115168.38365986795,87432.31847208025,27736.065187787695,1.645929321342317,32.91858642684634,2225355.014381785,78012.6588155739,476708.64494018,1.645929321342317,11.703639805217893,1.9152832001597233
422,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,779059.5787378674,2529046.6281547407,1983077.0169165093,545969.6112382314,126452.33140773705,99153.85084582547,27298.480561911572,1.6723129643683337,33.44625928736667,2445949.944556089,83096.68359865155,462872.92763957987,1.6723129643683337,10.987587223512849,1.972532858382623
