t,week_start,doses_median,infections_averted_median,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,frac_draws_denominator_above_tol
160,2018-01-21,413985.33487179276,730306.6162413365,0.5668651028514202,0.5220325556688866,0.6053766516959519,11.337302057028404,1
161,2018-01-28,416521.68546753656,730037.9556630673,0.570547986618597,0.5254534469186043,0.6092578883458875,11.410959732371943,1
162,2018-02-04,419057.0379930116,729720.5208827032,0.5742705981582876,0.5289097096602218,0.6131653602270796,11.485411963165753,1
163,2018-02-11,421591.3136035597,729347.5021793175,0.5780390238006659,0.5324084635145565,0.6171039280858752,11.560780476013317,1
164,2018-02-18,424124.56323187216,728925.7752402235,0.5818487784731841,0.53595522442714,0.6210765618433303,11.636975569463681,1
165,2018-02-25,426656.781428709,728464.7029656705,0.58569315653465015,0.5395641060207169,0.6250967498136025,11.713863130693003,1
166,2018-03-04,429187.9395305116,727977.273341849,0.5895622836887222,0.5432305356387424,0.6291565342426116,11.791245673774444,1
167,2018-03-11,431718.0045684051,727420.7807107134,0.5934914380029627,0.5469578875526964,0.6332563342623279,11.869828760059253,1
168,2018-03-18,434246.9863821686,726789.1401556599,0.5974868953045831,0.5507437058879224,0.6373915039376294,11.949737906091661,1
169,2018-03-25,436774.8829345367,726117.7349330623,0.6015207519662846,0.5545927768247754,0.641564444583664,12.030415039325693,1
170,2018-04-01,439301.688456884,725451.1681407206,0.6055565298188118,0.558496026829744,0.6457627111328559,12.111130596376235,1
171,2018-04-08,441827.34517339285,724766.7653354892,0.6096131478988603,0.5624610787943498,0.6499938799892945,12.192262957977206,1
172,2018-04-15,444351.8811635834,724062.4821150178,0.6136927366654221,0.5664752581060403,0.6542478437753824,12.273854733308443,1
173,2018-04-22,446875.27976117906,723281.2333013171,0.6178444287264093,0.5705353653583161,0.6585250470163088,12.356888574528185,1
174,2018-04-29,449397.539474439,722571.2155682156,0.6219422162512482,0.574622088083993,0.6628109203467328,12.438844325024965,1
175,2018-05-06,451918.65653268446,721875.7650338544,0.6260338472867827,0.5787322185493223,0.6671052551301124,12.520676945735655,1
176,2018-05-13,454438.6516421821,721183.5316522579,0.6301289962865458,0.5828533370342859,0.6714005129882337,12.602579925730918,1
177,2018-05-20,456957.4920393105,720479.6979783528,0.6342406226485635,0.5869763161960941,0.6756933506008064,12.684812452971268,1
178,2018-05-27,459475.22208287835,719762.2057877228,0.6383708733359101,0.5910771877798535,0.6799647828282007,12.767417466718204,1
179,2018-06-03,461991.85010449874,719010.4868387793,0.6425384197034779,0.5951550049408565,0.6842174953886226,12.850768394069558,1
180,2018-06-10,464507.3446366726,718305.2965197848,0.6466712053587211,0.5992072734054011,0.6884526734272611,12.933424107174423,1
181,2018-06-17,467021.7434808302,717637.0421232189,0.6507770917073823,0.6032374347299124,0.6926755830263787,13.015541834147644,1
182,2018-06-24,469535.0417229957,717009.2158010255,0.6548521732761505,0.607223468935066,0.6968655453375493,13.097043465523011,1
183,2018-07-01,472047.2461279877,716409.7944026757,0.6589067464184571,0.6111772894777202,0.701036893145568,13.178134928369143,1
