muni7,muni6,lon,lat
1504901,150490,-49.30925648872069,-1.355662418467381
1504950,150495,-46.899992060355,-2.392636152984933
1504976,150497,-49.230781480063136,-4.981041642049814
1505007,150500,-47.39214626856486,-1.1564397698268756
1505031,150503,-55.612368690968495,-8.060491662180432
1505064,150506,-50.27154990531274,-4.502839483653672
1505106,150510,-55.674898326926844,-0.1696776247300382
1505205,150520,-49.90233972242568,-2.2788619445545364
1505304,150530,-57.14991481537139,0.25497887388816937
1505403,150540,-47.139195190504886,-1.4959195328590418
1505437,150543,-51.43036322122371,-7.520278237365119
1505486,150548,-50.6316541830562,-3.684140547355114
1505494,150549,-48.37016938319757,-5.927246021101082
1505502,150550,-47.6028726219854,-3.203515876942812
1505536,150553,-50.48967141781046,-6.151823064305612
1505551,150555,-50.12365757296871,-7.736988263332363
1505601,150560,-47.27198173917468,-1.130709482581191
1505635,150563,-49.01178470704656,-6.541037966277046
1505650,150565,-54.50065877110544,-3.889762524895328
1505700,150570,-49.07730790209311,-1.1174997562680569
1505809,150580,-50.95578207999746,-2.5653773464070255
1505908,150590,-52.5477439337136,-2.184569336127972
1506005,150600,-53.660151500222916,-2.1201252776732495
1506104,150610,-47.13147475611694,-0.9526863739944138
1506112,150611,-47.01553007394059,-0.8600880137254259
1506138,150613,-50.19818914815905,-8.069315239073171
1506161,150616,-49.895025056810724,-7.34068139687881
1506187,150618,-48.46004942517932,-4.516931885417133
1506195,150619,-55.210688842228194,-4.241028070926111
1506203,150620,-47.35170188893534,-0.6839541776434823
1506302,150630,-48.6299878056019,-0.7966228381826673
1506351,150635,-48.25051680479473,-1.1943352647363086
1506401,150640,-49.31385969690767,-0.5833489577481398
1506500,150650,-48.129306662781694,-1.3652043588895657
1506559,150655,-46.92692487008396,-1.6566096620797048
1506583,150658,-50.314424315603006,-8.633837748639069
1506609,150660,-47.52164205744639,-1.3744846049702035
1506708,150670,-50.611242756969034,-9.364005532728134
1506807,150680,-55.23834584938353,-2.6793887547072908
1506906,150690,-47.33294672378567,-0.9133439490312341
1507003,150700,-48.18276867754301,-1.093256981433104
1507102,150710,-48.02573387619585,-0.8649214909099018
1507151,150715,-48.73060023489838,-5.657588782627965
1507201,150720,-47.77147791711315,-1.8825561151594834
1507300,150730,-52.25200880823392,-7.229483654479016
1507409,150740,-47.74684532193118,-1.2059984030748192
1507458,150745,-48.748222940124954,-6.18925155696936
1507466,150746,-47.96446660456533,-0.8704677651739274
1507474,150747,-47.21787290478645,-0.7838003071814575
1507508,150750,-48.69681697569725,-5.4473507083261
