uf_code,uf_name,year,<1,1-4,5-9,10-11,12-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
21,3,2019,118742,470639,593482,259773,815292,268897,673106,601734,588105,542850,456840,370253,323964,269209,218641,174664,127882,90656,58663,51789
21,3,2020,117959,469444,587909,247724,818283,254678,674011,603246,586595,552389,473307,380504,330568,276235,223963,179357,131701,92546,60327,53852
21,3,2021,117144,469702,579928,242980,805636,257656,664661,607787,583542,559971,488936,393242,336599,283425,229756,183817,135913,94677,61813,56077
21,3,2022,116214,469096,576790,238531,785704,268732,647468,615549,579473,565628,503450,408397,341855,290909,235971,188084,140499,97032,63153,58506
21,3,2023,115229,465820,579848,229457,766818,270450,638233,624322,575699,569172,516575,425135,347389,298417,242518,192354,145252,99666,64466,61030
21,3,2024,114199,462428,580462,226744,743315,269813,632846,630580,574247,570385,528039,442120,354757,305526,249253,196940,149895,102655,65894,63519
22,3,2015,48743,192414,259182,111872,365511,122492,287179,279904,262238,241599,202974,186393,165398,138226,114055,90461,66747,49308,28854,24141
22,3,2016,48065,190848,252216,111849,357524,123072,286905,276626,263461,246178,208177,188236,168833,141936,116800,93039,68440,50047,29745,24231
22,3,2017,47870,189277,246907,108682,350976,122600,288006,272445,264911,249185,214815,189540,172067,145884,119531,95588,70557,50471,30963,24351
22,3,2018,48565,189385,241507,104637,344602,121038,289713,268125,266051,251014,222177,190907,175035,149909,122339,98119,72959,50826,32287,24559
22,3,2019,48109,190397,238009,100812,334377,121624,290786,264919,265970,252388,229124,193239,177639,153786,125369,100658,75417,51466,33422,24936
22,3,2020,47662,189823,236899,97511,325377,120281,290434,263560,264157,253728,234938,197055,179878,157366,128689,103233,77791,52578,34243,25494
22,3,2021,47236,189477,234733,96699,318047,113644,291277,263658,261171,255056,239520,202211,181725,160714,132233,105830,80135,54058,34853,26227
22,3,2022,46774,188901,233041,96471,310744,108723,288707,265113,257286,256611,242557,208769,183055,163872,136005,108413,82468,55873,35255,27174
22,3,2023,46228,187169,233912,93993,303016,108379,282363,267164,253260,257860,244440,216034,184446,166782,139852,111065,84795,57920,35621,28220
22,3,2024,45619,185343,234543,91975,295521,108411,275367,268589,250328,257901,245879,222895,186781,169343,143561,113923,87131,60015,36199,29223
23,3,2015,132481,514451,679900,280490,952771,345088,831684,803507,733327,654129,572883,534512,469954,363864,299273,249259,182909,141873,82887,80025
23,3,2016,132145,515934,668505,281389,917890,344936,832912,806070,746110,668540,583432,539599,483695,379692,305989,255523,188889,144458,86528,80598
23,3,2017,130866,518351,658901,278559,888526,338964,836017,805944,758722,682056,596758,543146,495079,398168,313073,260691,196822,145451,91659,81011
23,3,2018,132989,521128,649600,273631,866328,327350,838245,804296,770228,694946,611973,546478,504322,417762,321239,265311,205706,145979,97272,81643
23,3,2019,132182,525849,643033,269207,849143,312506,835224,803135,779221,707765,627560,551502,511947,436154,331495,270254,214007,147663,102023,82988
23,3,2020,131236,525627,643343,263976,835301,299375,824514,803522,784859,720751,642514,559412,518399,451900,344330,276083,220871,151362,105292,85219
23,3,2021,130189,524789,644554,260070,824226,288973,805193,805194,787711,733590,656883,569955,523564,465329,359539,282547,226691,156678,107429,88262
23,3,2022,129000,524178,645761,257635,815043,279203,779668,808722,787889,746265,670383,583206,527241,476509,377243,289354,231571,163616,108432,92193
23,3,2023,127660,520256,650720,254796,803970,275405,750204,811380,786559,757850,683263,598316,530701,485647,396007,297163,235989,171323,109153,96546
23,3,2024,126187,515798,654698,253403,791476,276384,720925,808840,785704,766951,696083,613788,535811,493227,413633,306918,240706,178533,110784,100711
24,3,2015,49516,195340,257170,107177,342028,120572,299216,310193,289919,255189,224912,215328,189809,143617,110681,97582,69200,52992,30749,32624
