uf,state_name,ensemble_id,foi_pwmean,foi_equiv
MS,Mato Grosso do Sul,67,0.012956165761244129,0.012950554196693786
MT,Mato Grosso,67,0.01279407510082923,0.01278603940333205
GO,Goias,67,0.012744360612159661,0.012740568463208759
DF,Distrito Federal,67,0.015401748293397398,0.015399989553501333
RO,Rondonia,68,0.009149502907176702,0.009145640052069944
AC,Acre,68,0.008508833398585535,0.0085068124227032655
AM,Amazonas,68,0.010837354697013909,0.01082922272134255
RR,Roraima,68,0.015104724274373003,0.0150941766507091
PA,Para,68,0.010473635292463432,0.01045949402838605
AP,Amapa,68,0.008257414326813846,0.008238819386575507
TO,Tocantins,68,0.00935021523541191,0.009347101718295574
MA,Maranhao,68,0.011907452967941788,0.011897564441117949
PI,Piaui,68,0.013400461398228846,0.013383880266372432
CE,Ceara,68,0.012086734362128268,0.012073987125680362
RN,Rio Grande do Norte,68,0.011856883875505729,0.011848835693328843
PB,Paraiba,68,0.015602589138765976,0.015568475811497675
PE,Pernambuco,68,0.015459358990849298,0.015426388136871921
AL,Alagoas,68,0.009628874050175543,0.009613561233436308
SE,Sergipe,68,0.01072135253220404,0.01071440112562231
BA,Bahia,68,0.01302455352638606,0.012993991796678043
MG,Minas Gerais,68,0.02378033596484749,0.023758241013979227
ES,Espirito Santo,68,0.015058200708513348,0.01503835664258033
RJ,Rio de Janeiro,68,0.01812943106241124,0.018104094587536545
SP,Sao Paulo,68,0.02409385416450027,0.024085002657876657
PR,Parana,68,0.02492256098901014,0.02491805229795848
SC,Santa Catarina,68,0.024495472686081526,0.02449161645007679
RS,Rio Grande do Sul,68,0.025055890887601993,0.0250486856462712
MS,Mato Grosso do Sul,68,0.01442891858255829,0.014409523210998873
MT,Mato Grosso,68,0.01146981390124562,0.01145874873660792
GO,Goias,68,0.01426540230856604,0.014232412558930868
DF,Distrito Federal,68,0.025763401197403894,0.02576219068600396
RO,Rondonia,69,0.005559691159842429,0.005557541496488906
AC,Acre,69,0.005759875505231503,0.0057583748018071035
AM,Amazonas,69,0.00927735636260392,0.009272002446701974
RR,Roraima,69,0.015439861411756354,0.015426495411928145
PA,Para,69,0.007194169014437579,0.0071892260426823455
AP,Amapa,69,0.006017682016014998,0.006014419552315196
TO,Tocantins,69,0.005063674262147632,0.005061746284894539
MA,Maranhao,69,0.009948188566620086,0.009939402781826501
PI,Piaui,69,0.013451991617434583,0.013440236206929787
CE,Ceara,69,0.009612762808995519,0.00960655585504433
RN,Rio Grande do Norte,69,0.009431207241943396,0.00942766719067265
PB,Paraiba,69,0.008742360399411704,0.008740152241904931
PE,Pernambuco,69,0.008500361542108424,0.008497919473710858
AL,Alagoas,69,0.00696258901437327,0.006960889386100814
SE,Sergipe,69,0.00880082917097625,0.008798532906206136
BA,Bahia,69,0.007817989531449986,0.007814944396208735
MG,Minas Gerais,69,0.01049046029121701,0.010488395325441274
ES,Espirito Santo,69,0.011239078635944665,0.011235296746727297
RJ,Rio de Janeiro,69,0.009602801329272328,0.009599625480016093
SP,Sao Paulo,69,0.013494384426481515,0.013491236312578748
PR,Parana,69,0.011248106200548608,0.01124654496460092
SC,Santa Catarina,69,0.012110102776943209,0.012107284095173794
RS,Rio Grande do Sul,69,0.010984429376784725,0.010982632676862844
MS,Mato Grosso do Sul,69,0.007757957653116077,0.007755147337464067
MT,Mato Grosso,69,0.005842447495625992,0.005838968838908277
GO,Goias,69,0.006665817222773484,0.006663138925193673
DF,Distrito Federal,69,0.008436525784976303,0.008435691266563973
RO,Rondonia,70,0.008717493120382952,0.0087152863448682
AC,Acre,70,0.00703368443891501,0.0070305817835675955
AM,Amazonas,70,0.012029903475558478,0.01202501464504741
RR,Roraima,70,0.014726140341400554,0.014722730506525648
PA,Para,70,0.011538683593048145,0.011532707367467455
AP,Amapa,70,0.010715492941800265,0.010705594023510826
TO,Tocantins,70,0.01013017006706073,0.010127765762360233
MA,Maranhao,70,0.014370420640781355,0.01436420202866585
PI,Piaui,70,0.015757475613013935,0.01575252841727053
CE,Ceara,70,0.014226752563723306,0.014219310993022184
RN,Rio Grande do Norte,70,0.013490552561019548,0.013485128271324679
PB,Paraiba,70,0.013183713359917883,0.013175829716817432
PE,Pernambuco,70,0.012296948905274902,0.012291997029231966
