draw,cum_inf_A,cum_inf_B,cum_inf_C,peak_A,peak_B,peak_C,final_S_prop_A,final_S_prop_B,doses_B,infections_averted_B,pct_reduction_B,reported_cases_A,reported_cases_B
908,2536403.205528868,2012432.1302308193,2451390.691436924,118286.33661066374,75775.02460208438,114158.19547568825,0.7337359127986604,0.7053378296709162,913032.0590248333,523971.07529804856,20.65803552668176,126820.1602764434,100621.60651154097
911,2773941.5322342752,2355688.016851621,2679912.5806599273,139128.91415596227,90051.67613079604,134273.2108713011,0.7087452909852551,0.6705461535535256,913032.0590248337,418253.51538265403,15.07794993233946,138697.07661171377,117784.40084258106
914,2731464.984891065,2234252.23039082,2640937.7819159687,122233.11500567486,82878.10957094403,117968.12715392292,0.7133203124382957,0.6838474652114029,913032.0590248338,497212.75450024474,18.203153152266175,136573.24924455324,111712.61151954101
919,2360777.183022128,1810064.1089266858,2281129.999604165,107919.05148383709,67471.69654531199,104152.44472816693,0.7521524225737084,0.7253311244781675,913032.0590248334,550713.0740954422,23.327617619145734,118038.8591511064,90503.2054463343
928,2430560.432643301,1880957.3227392843,2349524.9204832795,112489.65737621274,72463.48183016237,108563.90742454455,0.7448653141928118,0.7185602673175859,913032.0590248333,549603.1099040166,22.61219686302176,121528.02163216505,94047.86613696422
936,2271233.837293681,1701183.7582559625,2195410.3774463166,97926.67005624624,61897.82742032955,94509.04546842253,0.7616113577531478,0.7364761638416858,913032.0590248331,570050.0790377187,25.098696121794724,113561.69186468406,85059.18791279814
942,2517245.1689380985,2008063.736654911,2432377.0067227003,123247.83708022868,77725.88455143105,118980.38192200361,0.7357183887614974,0.7054665679889615,913032.0590248335,509181.4322831875,20.227725076853996,125862.25844690493,100403.18683274556
981,2429408.680642398,1877216.1671329187,2348359.422935145,112178.51507837759,71460.13815356886,108263.56902910698,0.744974336591648,0.7189565731452454,913032.0590248333,552192.5135094794,22.729502776102102,121470.43403211991,93860.80835664594
993,2513969.0826967037,1987356.0208087682,2429693.705350068,118050.2233607412,75414.69290595829,113930.2642954382,0.7360727153068044,0.70777382086964,913032.0590248334,526613.0618879355,20.947475667562472,125698.45413483519,99367.80104043841
1028,2472694.2675743466,1937366.3743251574,2390287.712353789,109584.35778917142,71556.82653266021,105760.21731208706,0.7404771672988514,0.7130725146859577,913032.059024833,535327.8932491892,21.649578771998083,123634.71337871734,96868.31871625787
1037,2622834.0374975502,2108000.2141247513,2535457.8405640665,121458.20990173066,79535.21191627307,117219.78026785355,0.7246878991115937,0.6961518144749983,913032.0590248337,514833.823372799,19.628913458207318,131141.70187487753,105400.01070623758
