draw,cum_X_A,cum_X_B,cum_X_C,total_effect,direct_only,indirect,indirect_fraction
553,2616052.723096153,2124698.1745210993,2527684.6671017213,491354.54857505346,88368.05599443149,402986.49258062197,0.8201541916103104
554,2572966.5024076826,2044755.5435455213,2487033.7352002147,528210.9588621613,85932.76720746793,442278.19165469334,0.8373135472376816
577,2370313.629086391,1826316.7346456114,2290345.180497472,543996.8944407797,79968.4485889189,464028.4458518608,0.8529983361924792
588,2745020.156718161,2265522.8782474385,2653320.07443123,479497.2784707225,91700.08228693111,387797.1961837914,0.8087578670323357
626,2401771.3756621284,1854464.7775045848,2321196.299491683,547306.5981575437,80575.07617044542,466731.52198709827,0.8527789059337237
643,2349455.71032722,1793238.9689952892,2270948.66747656,556216.741331931,78507.04285066016,477709.6984812708,0.858855304026511
651,2403622.1171299145,1854590.0901135674,2323211.701698101,549032.027016347,80410.41543181334,468621.6115845337,0.8535414848769484
671,2313767.3090966693,1749394.2679240527,2236396.654682545,564373.0411726166,77370.65441412432,487002.3867584923,0.8629086636502539
673,2484314.6595392874,1948426.1326434202,2401615.4875082206,535888.5268958672,82699.17203106685,453189.35486480035,0.8456784053390701
682,2435776.8549688784,1891222.497597187,2354390.915814853,544554.3573716914,81385.93915402563,463168.41821766575,0.8505457939096522
686,2407648.796856642,1860529.9266149718,2327355.0214775577,547118.8702416699,80293.77537908405,466825.0948625859,0.8532425406134919
687,2394458.9596799854,1837701.7059032824,2314397.2552196113,556757.253776703,80061.70446037408,476695.54931632895,0.8561999795830515
691,2364630.0828342885,1813794.0553805127,2284996.542132433,550836.0274537758,79633.54070185544,471202.4867519203,0.855431495521527
692,2458542.371971342,1920248.5343131681,2376215.276516798,538293.8376581736,82327.09545454383,455966.7422036298,0.8470591901763085
693,2603392.674970533,2103734.867862869,2515783.3112555416,499657.8071076637,87609.36371499114,412048.4433926726,0.8246612732379192
714,2660674.148500385,2153081.3050199277,2571744.181354589,507592.84348045755,88929.9671457964,418662.87633466115,0.824800589117801
735,2307955.1051076343,1746637.3596803944,2230528.6005794206,561317.7454272399,77426.50452821376,483891.24089902616,0.8620629667261249
738,2262214.661810168,1696472.2041940095,2186426.0817060843,565742.4576161585,75788.58010408375,489953.8775120748,0.8660369588956954
739,2439554.412072502,1900988.6629280616,2357682.11670034,538565.7491444405,81872.29537216201,456693.4537722785,0.8479808723406131
740,2464657.3322308566,1941144.9711951774,2381304.431847185,523512.36103567923,83352.90038367175,440159.4606520075,0.8407814092130081
741,2240219.410665536,1665864.9234571806,2166074.8354760846,574354.4872083552,74144.57518945122,500209.912018904,0.8709079900292409
742,2433165.5146977715,1890705.8456231118,2351725.610613192,542459.6690746597,81439.90408457955,461019.76499008015,0.8498692000024598
749,2278308.0291417954,1704814.0835624104,2202930.545163977,573493.9455793849,75377.4839778184,498116.4616015665,0.8685644642653261
750,2544765.1109057153,2041336.3606482155,2458793.8819539957,503428.75025749975,85971.22895171959,417457.52130578016,0.8292286070119237
758,2679955.7226885348,2220297.9681034475,2589180.446134317,459657.7545850873,90775.27655421756,368882.47803086974,0.8025155114892897
760,2540863.5936857252,2005544.0978316353,2456403.7821409632,535319.49585409,84459.811544762,450859.684309328,0.8422254145442465
765,2385595.363198236,1829609.4766966356,2306015.39538868,555985.8865016005,79579.96780955605,476405.91869204445,0.8568669282051515
767,2511633.6111974767,1977275.7809465637,2427786.0120101855,534357.830250913,83847.59918729123,450510.2310636218,0.8430871703556403
770,2436542.442935759,1893600.525485069,2355127.8505290328,542941.9174506902,81414.59240672644,461527.32504396373,0.850049167710245
777,2374044.635951694,1826830.3991779876,2294408.3223721753,547214.2367737065,79636.31357951881,467577.9231941877,0.8544695875439158
805,2448877.2836637595,1909867.1390925685,2367190.864171962,539010.1445711909,81686.41949179769,457323.72507939325,0.8484510536313129
815,2309566.307543605,1750800.9991072628,2231812.9496853827,558765.3084363423,77753.35785822244,481011.95057811984,0.8608479147071448
844,2417872.6819957085,1873932.1673831246,2337009.272079389,543940.5146125839,80863.40991631942,463077.1046962645,0.8513377699509779
846,2607440.103588084,2093208.8101046614,2520809.919988264,514231.29348342284,86630.18359982036,427601.1098836025,0.8315345940676148
847,2474624.2492052806,1930407.4519162232,2392204.446512746,544216.7972890574,82419.8026925344,461796.994596523,0.8485533649400431
851,2479994.1681313724,1954639.6030302872,2396603.1465627183,525354.5651010852,83391.0215686541,441963.5435324311,0.8412671610598671
853,2338872.7710113,1771590.6934884675,2261356.851506515,567282.0775228324,77515.91950478498,489766.15801804746,0.8633555993108825
873,2394750.1489243684,1847753.9489765372,2314886.6657979814,546996.1999478312,79863.483126387,467132.7168214442,0.8539962743178036
880,2451259.6954069533,1902708.8263256417,2370159.4400137085,548550.8690813116,81100.25539324479,467450.61368806683,0.8521554518196865
885,2415222.6708824285,1866985.8941190268,2334664.945956205,548236.7767634017,80557.72492622351,467679.0518371782,0.8530603411872364
892,2543861.9719986343,2023734.0087986689,2458679.6548318276,520127.9631999654,85182.31716680666,434945.64603315876,0.8362281530822868
908,2536403.205528868,2012432.1302308193,2451390.691436924,523971.07529804856,85012.51409194386,438958.5612061047,0.8377534217063671
911,2773941.5322342752,2355688.016851621,2679912.5806599273,418253.51538265403,94028.95157434791,324224.5638083061,0.775186703479773
914,2731464.984891065,2234252.23039082,2640937.7819159687,497212.75450024474,90527.20297509618,406685.55152514856,0.8179306500974893
919,2360777.183022128,1810064.1089266858,2281129.999604165,550713.0740954422,79647.18341796286,471065.8906774793,0.8553744460329273
928,2430560.432643301,1880957.3227392843,2349524.9204832795,549603.1099040166,81035.51216002135,468567.59774399525,0.8525563070882669
936,2271233.837293681,1701183.7582559625,2195410.3774463166,570050.0790377187,75823.45984736457,494226.61919035413,0.8669880723894303
942,2517245.1689380985,2008063.736654911,2432377.0067227003,509181.4322831875,84868.16221539816,424313.27006778936,0.8333243185344636
981,2429408.680642398,1877216.1671329187,2348359.422935145,552192.5135094794,81049.2577072531,471143.25580222625,0.8532228240615911
993,2513969.0826967037,1987356.0208087682,2429693.705350068,526613.0618879355,84275.3773466358,442337.6845412997,0.839967172396932
1028,2472694.2675743466,1937366.3743251574,2390287.712353789,535327.8932491892,82406.55522055784,452921.3380286314,0.8460634010299954
