week_start,t,Inew_age12_diff,Inew_0_11_diff,Inew_65plus_diff,X_total_diff
2019-05-26,230,-0.12065791821938632,-0.6290587318536041,-0.37160848899102916,-3.737321916271185
2019-06-02,231,-0.1146614201253442,-0.6115869857142116,-0.36151364489313664,-3.6291341246061393
2019-06-09,232,-0.10694767323829169,-0.5832306657848392,-0.3449606542349386,-3.4567786496340887
2019-06-16,233,-0.09900522297740899,-0.5516159236221228,-0.32648138761106793,-3.265865669543473
2019-06-23,234,-0.09336190003595313,-0.531131227135333,-0.3145646502977826,-3.1412673846029975
2019-06-30,235,-0.08527761345560059,-0.49507663805655966,-0.293416075799918,-2.9251283502984506
2019-07-07,236,-0.07776840938514162,-0.4604913086827196,-0.27310305355331366,-2.7181173692061975
2019-07-14,237,-0.07091986465741584,-0.42806630599410767,-0.2540457649321084,-2.524346862502682
2019-07-21,238,-0.0650102777179411,-0.3997839183865466,-0.2374296713479822,-2.355467370633619
2019-07-28,239,-0.0570268883827314,-0.35711587306523995,-0.21223763321349054,-2.102241004625398
2019-08-04,240,-0.05200597034097587,-0.3314520045121725,-0.19713950011492898,-1.9496548911318428
2019-08-11,241,-0.047159344976360096,-0.30575039788486436,-0.18199084457317127,-1.797095326952899
2019-08-18,242,-0.043149747891273016,-0.2844828778733728,-0.16945821791667015,-1.6708195612609416
2019-08-25,243,-0.039315050798014894,-0.26346225289110237,-0.1570568192080799,-1.5462419327605517
2019-09-01,244,-0.03571740201414775,-0.24320112706936925,-0.14507975847174137,-1.4262476998679858
2019-09-08,245,-0.032317207356991506,-0.22348580373483884,-0.1334140542775053,-1.309681450925666
2019-09-15,246,-0.029753771808394447,-0.20890823977502038,-0.12478920821686756,-1.2232966851624951
2019-09-22,247,-0.027117080240807834,-0.19322013436110552,-0.11549711473850621,-1.1306310470928906
2019-09-29,248,-0.025027072965128294,-0.18091456762956426,-0.10821237002597783,-1.0578658373268297
2019-10-06,249,-0.023353478092538182,-0.17119935734399405,-0.10247039553049575,-1.000373363430441
2019-10-13,250,-0.021802319948168947,-0.16202063519147458,-0.09704711503034602,-0.9461483468944323
2019-10-20,251,-0.02041181458241459,-0.15372145521787317,-0.09213994974506434,-0.8971112247391488
2019-10-27,252,-0.019404784418570964,-0.14804501336538323,-0.08880239521816868,-0.863471396577097
2019-11-03,253,-0.018596478148629858,-0.14367683083567684,-0.08625130896109212,-0.8375571262118058
2019-11-10,254,-0.017864270764113233,-0.13973395100320118,-0.08394859107527708,-0.814132303730247
2019-11-17,255,-0.017392109988136895,-0.13769431904723817,-0.08278597099799434,-0.8018181306531176
2019-11-24,256,-0.017152380384178434,-0.13741235658044104,-0.08267882666712723,-0.7997513235927016
2019-12-01,257,-0.017326818109686615,-0.1404335034362454,-0.08456011997855484,-0.8169016379894032
2019-12-08,258,-0.01761862226715971,-0.14443858361959627,-0.08703645107819113,-0.8397533032028548
2019-12-15,259,-0.018081820924549907,-0.14990985680116964,-0.0903997589405332,-0.871096911023642
2019-12-22,260,-0.0190779486234407,-0.15993451568242278,-0.09651092366464553,-0.9288133630684285
2019-12-29,261,-0.020127768956329728,-0.17057026830746835,-0.10300880596510176,-0.9900899720724112
2020-01-05,262,-0.02171321199002385,-0.1859587247827541,-0.11240085367046504,-1.0789743375985381
2020-01-12,263,-0.02438168783661565,-0.21103136900757846,-0.12764677192718565,-1.2237826008913544
2020-01-19,264,-0.027429293989881032,-0.23989231433190383,-0.14520866693627,-1.3903989591087793
2020-01-26,265,-0.030621367083149664,-0.2705345778470658,-0.16389241283514622,-1.5672984821703437
2020-02-02,266,-0.03496391619522354,-0.3120046805881813,-0.18915904692108043,-1.806642879706061
2020-02-09,267,-0.040676021700513765,-0.36656672266010304,-0.222401915680976,-2.1214805416800573
2020-02-16,268,-0.046568542373116806,-0.42372631358804114,-0.2572794693532643,-2.4510952915096027
2020-02-23,269,-0.05298089830630737,-0.48670535981199237,-0.2957007013170241,-2.8136843000942804
2020-03-01,270,-0.06074238861197312,-0.5630831758096093,-0.3424134245739765,-3.2540576869226925
2020-03-08,271,-0.0685661754062874,-0.6414325431368582,-0.3903028970522229,-3.7046707391198197
2020-03-15,272,-0.0769416982311073,-0.72624988940089,-0.44217508523803417,-4.191998454599343
2020-03-22,273,-0.0849999876777634,-0.8092685796807473,-0.493055221950641,-4.6687370074707815
2020-03-29,274,-0.09318433218543021,-0.8947092300400499,-0.5454694342958959,-5.158891447589326
2020-04-05,275,-0.09959391951597496,-0.9641985581668564,-0.5881888613496074,-5.5563886973232
2020-04-12,276,-0.10614983886426543,-1.0359242517425287,-0.6323652770951611,-5.966685990551696
2020-04-19,277,-0.1102332251699476,-1.0842466193553832,-0.6622694095318735,-6.241613234292572
2020-04-26,278,-0.11341605811700184,-1.1240293682332094,-0.6870427265301657,-6.467573607872055
2020-05-03,279,-0.11558367399585734,-1.1541185834628322,-0.7058395851572214,-6.636985674086873
2020-05-10,280,-0.11584105736162265,-1.1651345791232188,-0.7130037057014107,-6.696772948597413
2020-05-17,281,-0.11412059696524324,-1.1559873235794953,-0.7078366697561478,-6.6407722390580375
2020-05-24,282,-0.11225709137626616,-1.144987198116894,-0.7015270560456202,-6.574234868417648
2020-05-31,283,-0.1092560441074486,-1.1218679571587984,-0.6878027528940578,-6.438441740031408
2020-06-07,284,-0.10310438412320266,-1.06566195203186,-0.6537499224564414,-6.112923070445959
2020-06-14,285,-0.09763769663222632,-1.0155801785061414,-0.623441931966056,-5.8230950822458
2020-06-21,286,-0.09231872769898786,-0.966215446433651,-0.5935306200507142,-5.537643940476983
2020-06-28,287,-0.0852081510864302,-0.8971431113054535,-0.5515002234068049,-5.13984261519829
2020-07-05,288,-0.07784488321825034,-0.8243681238788412,-0.5071554164916918,-4.721349455710424
2020-07-12,289,-0.07147261382070447,-0.7612492698129643,-0.46863370566854456,-4.3580241351616
2020-07-19,290,-0.06582937291725965,-0.7050182032376995,-0.43434813302452113,-4.034785935959292
2020-07-26,291,-0.059772307725598495,-0.6436063745904335,-0.39681313581076694,-3.682118723001963
2020-08-02,292,-0.054503665190379635,-0.5899165407571587,-0.3640186008229378,-3.374121364376151
2020-08-09,293,-0.04941248580906343,-0.537580951868982,-0.33196340616014197,-3.073716961027685
2020-08-16,294,-0.045639060885092064,-0.49901885874191265,-0.3083868728882848,-2.852363809834401
2020-08-23,295,-0.03919229946844416,-0.4306197638157414,-0.266318815078769,-2.4606559967314183
2020-08-30,296,-0.03582878988076965,-0.39552487838177797,-0.24481062946449583,-2.2595280444854495
2020-09-06,297,-0.032154473110704185,-0.3565791691054798,-0.22089012300371635,-2.036590523557379
2020-09-13,298,-0.02920415431459089,-0.32532664123358757,-0.20168595809413148,-1.857585106193028
2020-09-20,299,-0.026541024140169345,-0.2969790199286777,-0.18424472137355963,-1.6951966411333501
2020-09-27,300,-0.024386379772823652,-0.27405889099634706,-0.1701479815994773,-1.5638886697169312
2020-10-04,301,-0.022525147484284247,-0.25420948395664666,-0.15794455715840883,-1.4502316930703785
2020-10-11,302,-0.02089595714110981,-0.2367689270455422,-0.14723584296005932,-1.3505010582591694
2020-10-18,303,-0.01955306968961623,-0.22241408051518263,-0.1384330708966015,-1.2684397546097728
2020-10-25,304,-0.018475643669359165,-0.21093552499044677,-0.13141927829691546,-1.2029088132901506
2020-11-01,305,-0.017886898501144666,-0.20497816326373552,-0.12782014606115055,-1.1687588582086192
2020-11-08,306,-0.017298800827948435,-0.19899050459237344,-0.12417960520084925,-1.1343269169869359
2020-11-15,307,-0.017575988329196823,-0.20292530068133985,-0.12673827039807684,-1.1565169648418419
2020-11-22,308,-0.01768003569948995,-0.2048693782852311,-0.1280536642918495,-1.1673347634241793
2020-11-29,309,-0.018190595356332384,-0.21152531859583235,-0.1323300327118293,-1.2050739376887663
2020-12-06,310,-0.018791579862716734,-0.2192791119281523,-0.13729406017362322,-1.2490005199574767
2020-12-13,311,-0.019703796394647366,-0.23070560456024936,-0.14457568324069214,-1.313883843614235
2020-12-20,312,-0.020570627498602168,-0.2416668213936255,-0.15157413515348317,-1.3760669567849106
2020-12-27,313,-0.021778724328047838,-0.2567016865695315,-0.1611470499990908,-1.461458227799028
2021-01-03,314,-0.024117550757652317,-0.2851655001898834,-0.17919296396511442,-1.623400030507952
2021-01-10,315,-0.025404340123752256,-0.3013556793828691,-0.1895232336794308,-1.7152238690701154
2021-01-17,316,-0.027761089606339162,-0.3303716227638134,-0.20794282967010957,-1.8799846076055076
2021-01-24,317,-0.03019507001728261,-0.36045120765765404,-0.22707538318107012,-2.0508275095897943
2021-01-31,318,-0.03302507199070215,-0.39544327232484733,-0.24933633176758008,-2.2495376924478308
2021-02-07,319,-0.036352826282631145,-0.43660971156590733,-0.2755283091964138,-2.483266765442835
2021-02-14,320,-0.040150733907975855,-0.48371340771565485,-0.3054832216200971,-2.750431597212355
2021-02-21,321,-0.044489764074627125,-0.5375647368901255,-0.3397798823925484,-3.056053057676536
2021-02-28,322,-0.050393337795937576,-0.6107491062028529,-0.38630974472214064,-3.4710269740335775
2021-03-07,323,-0.055398610285385175,-0.6734043366458593,-0.4262485089584871,-3.8259871862744603
2021-03-14,324,-0.061435483680003955,-0.7490071961687335,-0.47442080512723095,-4.254088638883559
2021-03-21,325,-0.06732855010334582,-0.8232747444187964,-0.5217953569578526,-4.674209460776012
2021-03-28,326,-0.07326067762153787,-0.8983160411052182,-0.5697773460687259,-5.098848754398489
2021-04-04,327,-0.07842106722966413,-0.9643647516001295,-0.6120375551147745,-5.471601094117204
2021-04-11,328,-0.08375232319380999,-1.0328530874559192,-0.6558895698150593,-5.857849951637377
2021-04-18,329,-0.08788251191133689,-1.086831823112746,-0.6905611975052608,-6.1614536443012184
2021-04-25,330,-0.09272202219437986,-1.1498263736848031,-0.7310159277877375,-6.516000639850972
2021-05-02,331,-0.09702862910056709,-1.2064579920703267,-0.7674789689710906,-6.834303561577258
2021-05-09,332,-0.09952743445760781,-1.2408780890975635,-0.7897906285880225,-7.026177547583984
2021-05-16,333,-0.10333381918569273,-1.2917260376139552,-0.8226091434596441,-7.311040740448789
