"version","week_start","observed","expected","pearson_resid"
"v2",2018-07-22,20,19.3114918522242,0.140002376750933
"v2",2018-07-29,12,17.1365444900605,-1.12157583386178
"v2",2018-08-05,17,16.5184823804599,0.107444467813752
"v2",2018-08-12,17,15.3938462082115,0.373517796174777
"v2",2018-08-19,15,14.1170078213104,0.215933940806446
"v2",2018-08-26,13,12.8222042863787,0.045951502580261
"v2",2018-09-02,13,11.7640687424704,0.335476754021034
"v2",2018-09-09,10,10.5394527711021,-0.155784570310321
"v2",2018-09-16,10,9.7481493635929,0.0759704500237784
"v2",2018-09-23,6,8.98649889055688,-0.942443824865599
"v2",2018-09-30,6,8.76091201055438,-0.883567877369136
"v2",2018-10-07,8,8.84009410000477,-0.267522295024334
"v2",2018-10-14,14,9.35079952212156,1.43522207055656
"v2",2018-10-21,7,9.05804010224118,-0.646611596092796
"v2",2018-10-28,10,9.37691186007319,0.192051963025094
"v2",2018-11-04,9,9.38489869398779,-0.118579778906738
"v2",2018-11-11,9,9.36221002076234,-0.111739731355414
"v2",2018-11-18,12,9.39160257523148,0.803278157741148
"v2",2018-11-25,10,8.9225025687687,0.341368826943962
"v2",2018-12-02,9,8.41504478443555,0.191398643517101
"v2",2018-12-09,6,7.80504754880225,-0.615475058096874
"v2",2018-12-16,6,7.45651319664333,-0.509161407303489
"v2",2018-12-23,5,7.21555405347996,-0.788461362442495
"v2",2018-12-30,10,7.43401559188303,0.898482060584192
"v2.1",2015-03-01,2,0.876182759861349,1.19344038837791
"v2.1",2015-03-08,2,0.944514365424978,1.07906884602812
"v2.1",2015-03-15,1,1.04759267412549,-0.0461680690987644
"v2.1",2015-03-22,1,1.14192082008022,-0.131779780946579
"v2.1",2015-03-29,1,1.21704450668866,-0.195117287293687
"v2.1",2015-04-05,1,1.27705486102036,-0.243044172230796
"v2.1",2015-04-12,1,1.3033904086792,-0.263397484786079
"v2.1",2015-04-19,2,1.30196615606795,0.606356227500507
"v2.1",2015-04-26,3,1.25023019222982,1.55163219208755
"v2.1",2015-05-03,0,1.12655909540951,-1.05327740417712
"v2.1",2015-05-10,3,1.01986591606762,1.94716353407173
"v2.1",2015-05-17,0,0.858448950327393,-0.921110849917894
"v2.1",2015-05-24,1,0.727206750976495,0.31830725730993
"v2.1",2015-05-31,1,0.597428037058996,0.518711853897905
"v2.1",2015-06-07,0,0.479602528954902,-0.69026366526966
"v2.1",2015-06-14,1,0.388849424750044,0.977464156815668
"v2.1",2015-06-21,0,0.308480278761347,-0.554237116600488
"v2.1",2015-06-28,0,0.248171077751678,-0.497320858004397
"v2.1",2015-07-05,0,0.200402328952778,-0.447048359287462
"v2.1",2015-07-12,0,0.164261255727522,-0.404835150243703
"v2.1",2015-07-19,0,0.1366056765457,-0.369255803673188
"v2.1",2015-07-26,0,0.115578459247662,-0.339698799498726
"v2.1",2015-08-02,0,0.099263756143188,-0.314846957527735
"v2.1",2015-08-09,0,0.0873358391613116,-0.295349286879802
"v2.1",2015-08-16,0,0.0782984019971892,-0.279668176401321
"v2.1",2015-08-23,0,0.0723674610193346,-0.268878415333046
"v2.1",2015-08-30,0,0.0685067583761743,-0.261614905525748
"v2.1",2015-09-06,0,0.0669497608884517,-0.258627635855451
"v2.1",2015-09-13,0,0.0671001526369094,-0.258917688201213
"v2.1",2015-09-20,0,0.0688723533322413,-0.262311389170916
"v2.1",2015-09-27,0,0.0738140602362292,-0.271549813767272
"v2.1",2015-10-04,0,0.0808311988893249,-0.284150592294868
"v2.1",2015-10-11,0,0.0913703836871753,-0.302085850661905
"v2.1",2015-10-18,0,0.106650942592437,-0.326335632184917
