"version","quantity","week_start","q025","median","q975"
"v2","posterior_predictive_cases",2018-12-09,2,8,15
"v2","posterior_predictive_cases",2018-12-16,2,7,15
"v2","posterior_predictive_cases",2018-12-23,2,7,15
"v2","posterior_predictive_cases",2018-12-30,2,7,15
"v2","susceptible_proportion",2015-01-04,1,1,1
"v2","susceptible_proportion",2015-01-11,0.999995440787317,0.999999423971217,0.999999958552964
"v2","susceptible_proportion",2015-01-18,0.999993400677353,0.999998533681692,0.999999793132235
"v2","susceptible_proportion",2015-01-25,0.999991549820317,0.999997619990839,0.999999483997638
"v2","susceptible_proportion",2015-02-01,0.999989803558285,0.999996674728986,0.999999077071656
"v2","susceptible_proportion",2015-02-08,0.999987629619371,0.999995560571858,0.999998612874766
"v2","susceptible_proportion",2015-02-15,0.999983305519667,0.999993786477537,0.99999791757852
"v2","susceptible_proportion",2015-02-22,0.999979065337497,0.999991365223382,0.999996699819101
"v2","susceptible_proportion",2015-03-01,0.999976707364527,0.999989496652599,0.999995304399157
"v2","susceptible_proportion",2015-03-08,0.999971672983067,0.999987078451646,0.999994106504411
"v2","susceptible_proportion",2015-03-15,0.99996685438757,0.999984548796318,0.999992852403487
"v2","susceptible_proportion",2015-03-22,0.999961207099576,0.999981825499258,0.99999136990689
"v2","susceptible_proportion",2015-03-29,0.999954882411843,0.9999787323394,0.999989877577831
"v2","susceptible_proportion",2015-04-05,0.999948081701018,0.999975461895233,0.999988119857524
"v2","susceptible_proportion",2015-04-12,0.999941930954703,0.999972205891732,0.999986338290726
"v2","susceptible_proportion",2015-04-19,0.999934992128351,0.999968721011631,0.999984499373792
"v2","susceptible_proportion",2015-04-26,0.999928499913887,0.999965335615752,0.999982658884492
"v2","susceptible_proportion",2015-05-03,0.999921830091474,0.9999620374142,0.99998095922541
"v2","susceptible_proportion",2015-05-10,0.999916337373555,0.999959083807691,0.999979479192655
"v2","susceptible_proportion",2015-05-17,0.999911334383409,0.999956377574733,0.999978181959451
"v2","susceptible_proportion",2015-05-24,0.999907230633415,0.999954244306238,0.999976926629155
"v2","susceptible_proportion",2015-05-31,0.999903739756538,0.999952418201259,0.999976046820234
"v2","susceptible_proportion",2015-06-07,0.999900866854048,0.999950912953123,0.999975223232557
"v2","susceptible_proportion",2015-06-14,0.999898827097199,0.999949689175696,0.999974628519085
"v2","susceptible_proportion",2015-06-21,0.99989701511058,0.999948707710663,0.999974145696172
"v2","susceptible_proportion",2015-06-28,0.999895639919112,0.999947913154714,0.999973771919372
"v2","susceptible_proportion",2015-07-05,0.999894237102889,0.999947380615237,0.999973406202628
"v2","susceptible_proportion",2015-07-12,0.999893306226358,0.999946882140564,0.999973019117449
"v2","susceptible_proportion",2015-07-19,0.999892195738836,0.999946501112316,0.999972689239948
"v2","susceptible_proportion",2015-07-26,0.999891400479233,0.999946250078117,0.999972569935761
"v2","susceptible_proportion",2015-08-02,0.999890866025647,0.999946037863271,0.999972420883554
"v2","susceptible_proportion",2015-08-09,0.999890597659024,0.999945860186433,0.999972313800977
"v2","susceptible_proportion",2015-08-16,0.999890041696228,0.999945726483626,0.999972157710403
"v2","susceptible_proportion",2015-08-23,0.999889915766624,0.999945490190145,0.999972055361292
"v2","susceptible_proportion",2015-08-30,0.999889661213412,0.999945287920748,0.999971984250753
"v2","susceptible_proportion",2015-09-06,0.999889176934287,0.999945114919106,0.999971864108831
"v2","susceptible_proportion",2015-09-13,0.999888633669599,0.99994490815736,0.999971739404361
"v2","susceptible_proportion",2015-09-20,0.999888075191509,0.999944778776451,0.999971656533353
"v2","susceptible_proportion",2015-09-27,0.999887906886573,0.999944645554358,0.999971635159386
"v2","susceptible_proportion",2015-10-04,0.999887309297682,0.999944503746418,0.999971620996322
"v2","susceptible_proportion",2015-10-11,0.999886959474414,0.999944316297772,0.99997151001613
"v2","susceptible_proportion",2015-10-18,0.999886516528391,0.999944086959064,0.999971417636836
"v2","susceptible_proportion",2015-10-25,0.99988623050715,0.99994382240664,0.999971258977808
"v2","susceptible_proportion",2015-11-01,0.999885918774685,0.999943521815214,0.999971098339363
"v2","susceptible_proportion",2015-11-08,0.999885131173352,0.999943187001206,0.999970878237497
"v2","susceptible_proportion",2015-11-15,0.999884494497072,0.999942740140898,0.999970589444141
"v2","susceptible_proportion",2015-11-22,0.999882981281177,0.999942158134902,0.999970245537543
"v2","susceptible_proportion",2015-11-29,0.999881103176687,0.999941198221389,0.99996981092317
"v2","susceptible_proportion",2015-12-06,0.999878118662726,0.999939924070556,0.999969082665822
"v2","susceptible_proportion",2015-12-13,0.999875473752323,0.999938185861803,0.999968130530693
"v2","susceptible_proportion",2015-12-20,0.999871579068626,0.999935820108103,0.999966817331373
"v2","susceptible_proportion",2015-12-27,0.999866731160625,0.999932456629872,0.999965056173254
"v2","susceptible_proportion",2016-01-03,0.999859225653426,0.999927612036407,0.999962464084048
"v2","susceptible_proportion",2016-01-10,0.999848382350126,0.999920607060316,0.999958240537658
"v2","susceptible_proportion",2016-01-17,0.999831917778612,0.999910898551459,0.999952685358719
"v2","susceptible_proportion",2016-01-24,0.999810126407175,0.999897422773334,0.999945099791955
"v2","susceptible_proportion",2016-01-31,0.999780795947981,0.99987943627786,0.999934825183595
"v2","susceptible_proportion",2016-02-07,0.999737744768632,0.999851710195008,0.999919078213147
"v2","susceptible_proportion",2016-02-14,0.999683017126473,0.999817922749067,0.99989945449979
"v2","susceptible_proportion",2016-02-21,0.999601167478764,0.999767647048777,0.999870598271003
"v2","susceptible_proportion",2016-02-28,0.999477837291523,0.9996956990862,0.999826973542762
"v2","susceptible_proportion",2016-03-06,0.999280549986115,0.999573585102028,0.999756161305786
"v2","susceptible_proportion",2016-03-13,0.998956252198746,0.999370570089588,0.999642286506963
"v2","susceptible_proportion",2016-03-20,0.998484677981501,0.99908487778734,0.99947937195357
"v2","susceptible_proportion",2016-03-27,0.99783706956602,0.998692977372366,0.999243458533845
"v2","susceptible_proportion",2016-04-03,0.996947545062055,0.998148308275535,0.998937093674036
"v2","susceptible_proportion",2016-04-10,0.995662126579359,0.997362118343968,0.998488999937459
"v2","susceptible_proportion",2016-04-17,0.993873090851993,0.996250771209494,0.997844674469844
"v2","susceptible_proportion",2016-04-24,0.99127075285457,0.994657738231939,0.996921445222138
"v2","susceptible_proportion",2016-05-01,0.987520238189796,0.992300730367346,0.995576772807498
"v2","susceptible_proportion",2016-05-08,0.982258516180683,0.989038292638545,0.993638799020572
"v2","susceptible_proportion",2016-05-15,0.975486875488436,0.984879969867169,0.991255151368829
"v2","susceptible_proportion",2016-05-22,0.968350713532697,0.980516926383749,0.988662614796251
"v2","susceptible_proportion",2016-05-29,0.961079888448285,0.97595677703982,0.986007765468977
"v2","susceptible_proportion",2016-06-05,0.953692686990344,0.971332855816648,0.983185615876347
"v2","susceptible_proportion",2016-06-12,0.946810479479584,0.966944343134561,0.980540044973699
"v2","susceptible_proportion",2016-06-19,0.940471862849031,0.96296484892846,0.978156927996044
"v2","susceptible_proportion",2016-06-26,0.935058064372967,0.959462096788471,0.976222649531429
"v2","susceptible_proportion",2016-07-03,0.929953821708717,0.956338661727817,0.974421246567067
"v2","susceptible_proportion",2016-07-10,0.925572675136221,0.953621097952548,0.972823584098041
"v2","susceptible_proportion",2016-07-17,0.921782357340626,0.951085861805907,0.971374879782269
"v2","susceptible_proportion",2016-07-24,0.918472024413147,0.94904743869092,0.970207854625372
"v2","susceptible_proportion",2016-07-31,0.915619280345283,0.947312544388182,0.969112740247287
"v2","susceptible_proportion",2016-08-07,0.913268905524619,0.945833183790403,0.968238161155056
"v2","susceptible_proportion",2016-08-14,0.911308114169899,0.944607199113209,0.967511607091626
"v2","susceptible_proportion",2016-08-21,0.909590794832836,0.943564778694196,0.966862678875727
"v2","susceptible_proportion",2016-08-28,0.908324855640802,0.942697482505026,0.96632175613492
"v2","susceptible_proportion",2016-09-04,0.907273585300215,0.941944039067189,0.965904412032747
"v2","susceptible_proportion",2016-09-11,0.906306303565063,0.941384500305423,0.965567266316291
"v2","susceptible_proportion",2016-09-18,0.905359652688674,0.940841338494531,0.965234356371552
"v2","susceptible_proportion",2016-09-25,0.904663022612639,0.940409341451006,0.964923762324701
"v2","susceptible_proportion",2016-10-02,0.904001593797605,0.939983008922969,0.964645353226412
