state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible
MT,MT_wave_07,9/8/2019,2/2/2020,6/28/2020,FALSE,3,TRUE,0.276855924,0.34145564,10,8/18/2019,0.046921975,0.137417483,12,43,21,247,6.871540395,11,14,30,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,fewer than 30 raw cases
MT,MT_wave_08,7/5/2020,8/23/2020,9/20/2020,FALSE,NA,NA,0.055371185,0.046142654,2,6/28/2020,0,0,3,12,7,9,0.249170332,2,3,7,2,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
MT,MT_wave_09,11/8/2020,4/25/2021,9/12/2021,FALSE,NA,NA,0.10909084,0.154545356,4,9/20/2020,0,0,8,45,24,88,2.40123712,3,3,3,2,2,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
MT,MT_wave_10,9/19/2021,11/14/2021,12/5/2021,FALSE,NA,NA,0.08181813,0.063636323,3,9/12/2021,0.009090903,0.142857143,4,12,8,14,0.381817939,3,5,7,3,5,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,fewer than 30 raw cases
MT,MT_wave_11,12/26/2021,4/3/2022,12/18/2022,FALSE,NA,NA,0.349371548,0.277705589,13,12/5/2021,0.009090903,0.142857143,3,52,14,155,4.165583839,7,10,13,3,4,5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
MT,MT_wave_12,1/1/2023,4/2/2023,6/25/2023,FALSE,NA,NA,0.34406198,0.361706184,13,12/18/2022,0,0,36,26,13,142,3.758215472,5,10,16,2,4,6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
MT,MT_wave_13,1/7/2024,5/5/2024,10/6/2024,FALSE,4,TRUE,30.70587809,28.36861685,1178,6/25/2023,0.052932612,0.146341463,4,40,17,19449,506.9597818,720,1922,3551,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
MT,MT_wave_14,12/1/2024,1/26/2025,12/28/2025,FALSE,5,TRUE,99.08417763,91.92724204,3858,10/6/2024,1.329371632,0.046860643,23,57,8,47331,1216.435132,964,4191,9842,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PA,PA_wave_01,1/25/2015,2/1/2015,2/15/2015,FALSE,NA,NA,0.012297992,0.004099331,1,1/18/2015,0,NA,NA,4,1,1,0.012297992,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; too few nonzero renewal infectiousness contributions; one week contains >=80% of early-window cases (backlog screen)
PA,PA_wave_02,5/31/2015,6/7/2015,6/28/2015,FALSE,NA,NA,0.012297992,0.008198661,1,2/15/2015,0,0,15,5,1,2,0.024595983,2,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
