state,wave_id,onset_week,peak_week,end_week,major_epidemic_primary,qc_duration_gt104,qc_peak_late_gt52,qc_multiple_peaks,qc_no_meaningful_fall,reporting_anomaly_flag,early_peak_flag,n_candidate_peaks_in_segment
PI,PI_wave_11,2025-01-05,2025-05-11,2025-08-24,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
PR,PR_wave_01,2016-01-03,2016-05-22,2016-06-19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PR,PR_wave_02,2016-07-03,2016-07-17,2016-08-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
PR,PR_wave_03,2016-10-02,2017-04-02,2017-10-08,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7
PR,PR_wave_04,2017-10-29,2018-03-04,2018-06-10,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4
PR,PR_wave_05,2018-07-01,2018-07-08,2018-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PR,PR_wave_06,2018-09-23,2018-09-30,2018-11-11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
PR,PR_wave_07,2018-12-30,2019-04-21,2019-07-21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
PR,PR_wave_08,2019-08-04,2019-08-18,2019-09-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
PR,PR_wave_09,2020-01-12,2020-04-26,2020-05-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
PR,PR_wave_11,2020-10-25,2020-11-15,2020-12-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
PR,PR_wave_12,2021-02-21,2021-03-28,2021-06-06,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PR,PR_wave_13,2021-06-27,2021-07-04,2021-09-19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2
PR,PR_wave_14,2022-01-02,2022-02-27,2022-05-15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
PR,PR_wave_15,2022-06-12,2022-06-26,2022-09-25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3
PR,PR_wave_16,2022-11-06,2022-11-13,2022-11-27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
PR,PR_wave_17,2023-01-22,2023-03-26,2023-11-05,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
PR,PR_wave_18,2023-12-24,2024-05-05,2024-09-22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
PR,PR_wave_19,2024-12-01,2025-03-23,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
RJ,RJ_wave_01,2015-02-08,2015-02-15,2015-03-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1
RJ,RJ_wave_02,2015-04-05,2015-04-12,2015-05-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
RJ,RJ_wave_03,2015-07-05,2015-07-12,2015-08-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
RJ,RJ_wave_04,2015-12-06,2016-04-17,2016-09-11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
RJ,RJ_wave_05,2016-12-04,2017-01-29,2017-10-29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
RJ,RJ_wave_06,2017-12-31,2018-05-06,2018-09-09,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
RJ,RJ_wave_07,2018-12-30,2019-05-05,2020-12-20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9
RJ,RJ_wave_08,2020-12-27,2021-05-09,2021-08-29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
RJ,RJ_wave_09,2021-09-05,2022-05-01,2022-10-23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
RJ,RJ_wave_10,2023-01-29,2024-04-07,2024-10-20,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,7
RJ,RJ_wave_11,2024-11-03,2025-02-09,2025-12-28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
