"muni6","municipality_name","health_region_22","official_macroregion_5","final_model_unit","source_reference","unit_index"
"230890","Morrinhos","12ª Região Acaraú","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230900","Mucambo","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230910","Mulungu","4ª Região Baturité","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230920","Nova Olinda","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230930","Nova Russas","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230940","Novo Oriente","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"230945","Ocara","22ª Região Cascavel","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230950","Orós","17ª Região Icó","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"230960","Pacajus","22ª Região Cascavel","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230970","Pacatuba","3ª Região Maracanaú","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230980","Pacoti","4ª Região Baturité","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"230990","Pacujá","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231000","Palhano","9ª Região Russas","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231010","Palmácia","3ª Região Maracanaú","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231020","Paracuru","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231025","Paraipaba","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231030","Parambu","14ª Região Tauá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231040","Paramoti","5ª Região Canindé","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231050","Pedra Branca","8ª Região Quixadá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231060","Penaforte","19ª Região Brejo Santo","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231070","Pentecoste","2ª Região Caucaia","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231080","Pereiro","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231085","Pindoretama","22ª Região Cascavel","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231090","Piquet Carneiro","18ª Região Iguatú","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231095","Pires Ferreira","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231100","Poranga","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231110","Porteiras","19ª Região Brejo Santo","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231120","Potengi","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231123","Potiretama","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231126","Quiterianópolis","15ª Região Crateús","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231130","Quixadá","8ª Região Quixadá","Sertao_Central","Quixada","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",7
"231135","Quixelô","18ª Região Iguatú","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231140","Quixeramobim","8ª Região Quixadá","Sertao_Central","Sertao_Central_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",6
"231150","Quixeré","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231160","Redenção","3ª Região Maracanaú","Fortaleza","Fortaleza_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",2
"231170","Reriutaba","11ª Região Sobral","Norte_Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",3
"231180","Russas","9ª Região Russas","Litoral_Leste_Jaguaribe","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",8
"231190","Saboeiro","18ª Região Iguatú","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
"231195","Salitre","20ª Região Crato","Cariri","Cariri_remainder","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)",4
