state,calendar_year,wave_id,wave_order,is_recurrence,onset_week,peak_week,end_week,total_cases,cumulative_incidence_per_100k,weeks_since_previous_wave,previous_wave_total_cases,preceding_trough_ratio,re6_prefit_eligible,re6_fit_status,re6_fit_pass,re6_analysis_usable,Re_early_4_median,Re_early_4_q025,Re_early_4_q975,Re_early_6_median,Re_early_6_q025,Re_early_6_q975,Re_early_8_median,Re_early_8_q025,Re_early_8_q975,susceptibility_timing_status,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,usable,n_major_waves,event_status,map_Re
CE,2022,CE_wave_06,5,TRUE,2022-01-23,2022-05-15,2023-12-17,52761,575.7274326,399,1119,0.090909091,TRUE,fitted,TRUE,TRUE,2.529381222078893,1.761397858158703,3.79006274778034,2.404426179398206,1.7235641397104933,3.4800158165489123,2.247258715369899,1.653200154182753,3.151634713877502,retrospective_smoothed,0.8816516453589923,0.9081283929693852,0.9192633898532871,0.9284816327045602,0.9447454934248588,TRUE,1,recurrent_usable,2.404426179398206
CE,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
CE,2024,CE_wave_07,6,TRUE,2024-01-07,2024-04-07,2024-12-15,882,9.552012767,21,52761,0.067756049,TRUE,fitted,TRUE,TRUE,1.7651811295201152,1.1221497227957575,2.8283843465952847,1.7160978478078874,1.1629213475499542,2.616985139099283,1.7560322419421803,1.251022020840861,2.5568061478701196,retrospective_smoothed,0.8540932621881849,0.8824602859943926,0.8947803464831516,0.9064638699556792,0.9243975596737184,TRUE,1,recurrent_usable,1.7160978478078874
CE,2025,CE_wave_08,7,TRUE,2025-01-19,2025-05-04,2025-12-28,676,7.293256672,35,882,0.046688836,TRUE,fitted,TRUE,TRUE,1.513582106490489,0.9029825133505844,2.5013571633051543,1.3070673248567606,0.8334308999551633,2.0819756199966752,1.3290131764444348,0.8982818127778192,2.011157748565933,retrospective_smoothed,0.8489210454369766,0.8754886350242839,0.8879148348756793,0.899582578226193,0.9172360199313024,TRUE,1,recurrent_usable,1.3070673248567606
DF,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
DF,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
DF,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
DF,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
DF,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
DF,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no_major_wave,NA
DF,2021,DF_wave_12,1,FALSE,2021-11-07,2022-05-01,2022-11-06,471,15.95447657,NA,NA,0.03030303,FALSE,not_attempted,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,retrospective_smoothed,0.8863084912010214,0.924115313507151,0.9414860150146378,0.9571104040223348,0.976824369130326,FALSE,1,major_re_unavailable,NA
