state,year,S_end_weekly_minus_annual_q025,S_end_weekly_minus_annual_median,S_end_weekly_minus_annual_q975,max_abs_discrepancy_prop,weekly_timing_unidentified
PI,2016,-824.0332852784894,-364.01893857773393,-86.52533839683745,5.286145893695153e-4,FALSE
PI,2017,-1606.3931901861333,-595.7532441748772,-205.85500731026985,9.427522491756131e-4,FALSE
PI,2018,-677.5026438961388,-304.10947132646106,-60.20188804271155,4.4573054269132913e-4,FALSE
PI,2019,-707.0129334043712,-316.9539348089602,-74.17006344411054,3.76791776531503e-4,FALSE
PI,2020,-566.6252397638862,-240.87967345188372,-46.04388353161047,3.1984947365713124e-4,FALSE
PI,2021,-666.078876248945,-281.5797788526397,-55.63273891400312,4.297575342291038e-4,FALSE
PI,2022,-2324.133901124529,-816.766967177391,-273.01069139121097,9.78188294318187e-4,FALSE
PI,2023,-1138.0927695235819,-462.968858289998,-172.82658397018673,5.694995572050137e-4,FALSE
PI,2024,-625.6074859607731,-288.27595300460234,-73.57552285626296,3.328549120916413e-4,FALSE
PI,2025,-603.0111074661371,-274.4647345962003,-68.46949411809909,3.3922017442625566e-4,FALSE
PR,2015,NA,NA,NA,NA,TRUE
PR,2016,-1487.191067705443,-430.9663708806038,-37.74252673801962,3.277949992385577e-4,FALSE
PR,2017,-1563.7658043588046,-490.6215896839276,-49.43589328383092,2.7516098785751724e-4,FALSE
PR,2018,-1428.1361283618955,-451.6863020490855,-45.267585425497955,3.8324334952093153e-4,FALSE
PR,2019,-1354.8607141643295,-396.542955272831,-43.80452177315017,3.0999746281250117e-4,FALSE
PR,2020,-1331.1784962580075,-375.9600105211139,-36.31518182451837,2.8916595087641615e-4,FALSE
PR,2021,-1796.9514551516156,-609.9406293760985,-74.82813374018295,3.98212294324627e-4,FALSE
PR,2022,-1540.6030445257668,-477.6606287015602,-51.76920214756391,3.30512105989052e-4,FALSE
PR,2023,-3231.773073207261,-1159.4579837033525,-331.5699716093949,5.350537389829028e-4,FALSE
PR,2024,-1915.2702456069178,-705.3608918506652,-121.49402721598744,4.7353604505512894e-4,FALSE
PR,2025,-8753.999922846444,-3734.5771881118417,-573.7106239838057,0.0010472806339348979,FALSE
RJ,2015,-3439.405112819234,-1024.4850153848529,-83.05958681702612,3.0246923940240955e-4,FALSE
RJ,2016,-3056.058125157328,-1197.9577422589064,-148.10895631173608,3.284816498572875e-4,FALSE
RJ,2017,-3775.716724522505,-1572.7698193034157,-245.16837614290398,4.1608596605092595e-4,FALSE
RJ,2018,-8391.02435075934,-2961.1740097021684,-1053.9452817918727,9.255182734882222e-4,FALSE
RJ,2019,-16218.975966179138,-5497.958702429198,-1373.3172502943778,0.0012858805856104456,FALSE
RJ,2020,-3718.5254781942813,-1526.565465436317,-303.7682857799344,4.904844779141454e-4,FALSE
RJ,2021,-3334.569989205059,-1255.890655606985,-222.49901262293568,4.3419068287875467e-4,FALSE
RJ,2022,-3102.375068207737,-1192.9792024223134,-207.99452359373677,4.0551864320507904e-4,FALSE
RJ,2023,-3057.579949395312,-1233.016957046464,-223.731722366344,3.96616065066413e-4,FALSE
RJ,2024,-3308.1238271337465,-1438.070581435226,-296.5417858938219,3.4124562569110483e-4,FALSE
RJ,2025,-2852.6398317530284,-1229.8426365964115,-237.0381891953293,4.3047338291135715e-4,FALSE
RN,2015,-541.2561153302668,-201.6941283380147,-41.12879574821562,2.495624844920547e-4,FALSE
RN,2016,-749.1096267815329,-345.4441011645831,-134.5929008752805,3.577229516866337e-4,FALSE
RN,2017,-530.9082507153274,-270.136132823769,-82.70299528181783,2.869898311768962e-4,FALSE
RN,2018,-598.0164358855226,-304.42352667590603,-95.06580234431893,3.1063303721854773e-4,FALSE
RN,2019,-1179.7133705128683,-466.1425586724654,-198.50260286562838,6.049785786793236e-4,FALSE
RN,2020,-760.0079131840728,-350.2484358653892,-141.84699811579182,4.6584131579772834e-4,FALSE
RN,2021,-827.4199972931993,-391.5698471763171,-164.65943484592714,4.1318476963368955e-4,FALSE
RN,2022,-971.1830658946535,-419.40935310325585,-177.3558482283026,5.2395983415411e-4,FALSE
RN,2023,-484.82560788596743,-247.47012759116478,-77.497062679776,2.3489491052743763e-4,FALSE
RN,2024,-517.5478371916339,-256.2941499615554,-89.44664133373875,2.846014239314886e-4,FALSE
RN,2025,-526.8017338777194,-260.04924096004106,-91.45643933869432,2.8427015473672586e-4,FALSE
RS,2015,NA,NA,NA,NA,TRUE
RS,2016,-2869.7228107076603,-1135.9683820297942,-199.9990281363948,4.677704640062102e-4,FALSE
RS,2017,-2529.2953691931907,-992.1530476445332,-157.33417474580924,4.327498264998645e-4,FALSE
RS,2018,-2518.243005995033,-985.1063427440822,-182.40273092864084,5.462852518976133e-4,FALSE
RS,2019,-2403.873458666168,-894.2055936083198,-148.74422342786553,5.33176872959178e-4,FALSE
RS,2020,-2251.6433830966707,-872.0388791551813,-160.30240887799297,4.539561939667798e-4,FALSE
RS,2021,-7363.823028537724,-2787.9987289085984,-914.0932996196206,0.0011517770575219563,FALSE
RS,2022,-3464.7986339723693,-1412.211773966439,-373.0672893126029,8.156223858031098e-4,FALSE
RS,2023,-2936.3481828476765,-1212.968366721645,-302.7042340165004,4.896573790051013e-4,FALSE
RS,2024,-2019.77284526024,-815.4939105212688,-158.28957195314575,5.872865275632961e-4,FALSE
RS,2025,-8852.162137978848,-3458.6523977266625,-876.4799102602991,0.001261019286246674,FALSE
SC,2015,NA,NA,NA,NA,TRUE
SC,2016,42.70309616674204,247.3966920049861,685.2359411849874,2.0468323615213855e-4,FALSE
SC,2017,43.650051569822246,247.4250083034858,705.0032076382316,2.4234624088945934e-4,FALSE
SC,2018,44.84347851753701,234.10544732678682,719.4819723878524,1.8715603564763942e-4,FALSE
SC,2019,67.74601609860547,341.68388472497463,946.3666470956061,3.2333209758396935e-4,FALSE
SC,2020,33.02351482904051,174.85164387663826,649.1912658802933,1.9375778041870071e-4,FALSE
SC,2021,42.402373135881504,228.1090954602696,639.384085398936,1.7893549529779775e-4,FALSE
SC,2022,41.61656712186523,208.79062942927703,591.877980159456,1.61259224619063e-4,FALSE
SC,2023,72.30994723006151,315.71624502539635,784.6972574909684,2.2673992148697456e-4,FALSE
SC,2024,61.61065241470933,274.1667384994216,718.8445129544012,1.677762239818069e-4,FALSE
SC,2025,304.5731560407439,2248.840011292137,3852.197475130367,6.336867492039545e-4,FALSE
SE,2015,-426.9773065289133,-200.04069530637935,-33.09584172891918,3.1855271222744363e-4,FALSE
SE,2016,-649.9270330538741,-236.4279352966696,-92.54033511625599,5.484337353760467e-4,FALSE
SE,2017,-317.43819138992114,-155.04005993693136,-32.118390194687514,2.204281050682157e-4,FALSE
SE,2018,-280.98830132170116,-127.23343983385712,-22.12477707561337,2.48160171425603e-4,FALSE
SE,2019,-311.1262727774098,-150.84855321608484,-32.151421825354916,2.327492244045389e-4,FALSE
SE,2020,-684.687298379495,-253.59109253180213,-108.6127663558406,6.445172913973607e-4,FALSE
SE,2021,-643.2197230380028,-259.1302200194914,-100.78801325210365,4.688421636798877e-4,FALSE
SE,2022,-688.0449637614423,-251.75027779315133,-106.34562290188623,5.054988370839594e-4,FALSE
SE,2023,-439.75587784990205,-199.5524365521269,-67.86830344844492,4.2971435642245073e-4,FALSE
SE,2024,-303.2440596954489,-155.0700563597493,-43.07019411796354,3.656156677252143e-4,FALSE
SE,2025,-282.98198123821055,-145.4336426742375,-36.02594083799048,2.1082260785141015e-4,FALSE
SP,2015,-10722.460407808796,-4260.964072983712,-551.475811388716,4.262557849141869e-4,FALSE
SP,2016,-7923.197888942808,-3572.4306712038815,-650.7448134344071,3.551567154560219e-4,FALSE
SP,2017,-8191.231650508009,-3926.9135357141495,-716.7988545756787,3.4993059474907283e-4,FALSE
SP,2018,-8195.448628947512,-3843.3337351717055,-660.7910014767194,4.677850024227222e-4,FALSE
SP,2019,-8102.590101539902,-3700.5581126213074,-582.0439205156638,3.3636666908205696e-4,FALSE
SP,2020,-8209.268291077577,-3685.4790102243423,-539.8546819848939,3.399475675029835e-4,FALSE
SP,2021,-30670.308830502814,-9401.61681349948,-3502.401552415452,0.0011797480351052267,FALSE
SP,2022,-9692.682541214674,-4657.636220823973,-1018.0191507929934,4.4596051798061854e-4,FALSE
SP,2023,-11596.712397017702,-5168.134123194963,-1700.393029271996,4.998879495046457e-4,FALSE
SP,2024,-21308.90396114029,-6851.7412266545,-2731.7085879020383,7.289544081908997e-4,FALSE
SP,2025,-16547.075423125738,-6009.3387646228075,-2481.435542782768,6.787836192395633e-4,FALSE
TO,2015,-216.74658790676037,-74.59194600873161,-8.071544772904598,2.5291329390909873e-4,FALSE
TO,2016,-160.5594182028086,-67.93025538511574,-12.242077062907628,2.5913428490966867e-4,FALSE
TO,2017,-342.099650934682,-116.74012412200682,-36.84792904721107,5.24275216766302e-4,FALSE
TO,2018,-167.36264180332657,-69.69669988541864,-11.391758552228554,2.3435222114043583e-4,FALSE
TO,2019,-146.52179428493838,-61.97476435918361,-10.217562542925586,1.8368886381991395e-4,FALSE
TO,2020,-143.7872544120706,-59.39170255756471,-8.989348893862912,1.5160475525196202e-4,FALSE
TO,2021,-190.92099148585112,-82.28669722774066,-15.143068720097649,2.5851247575903646e-4,FALSE
TO,2022,-468.8736243074178,-143.90141566516832,-51.983519586385206,5.2528683700979e-4,FALSE
TO,2023,-497.42330946984004,-148.8640050459653,-54.32503101519541,5.557059562958604e-4,FALSE
TO,2024,-208.14553292842464,-84.56308974279091,-23.38609346571029,2.4232680495231158e-4,FALSE
TO,2025,-178.52050033498088,-78.83698380133137,-19.784608607762486,2.4160600388353518e-4,FALSE
