state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
RJ,RJ_wave_04,0.988281270063937,0.9928466532728998,0.9965928006879983,0.9988097363478281,0.9998599278658009,4000
RJ,RJ_wave_05,0.9377177468208574,0.9584745898294151,0.9746623992887886,0.9885319926976055,0.9964443371973686,4000
RJ,RJ_wave_06,0.9067002358876809,0.9347792201171843,0.9554188454432561,0.976240625012756,0.9906092791563729,4000
RJ,RJ_wave_07,0.8638390793522862,0.9016498240583855,0.9173507436661382,0.9324199003158905,0.9598179096408281,4000
RJ,RJ_wave_10,0.7265343162095907,0.7870522514729873,0.8109728024921071,0.8333413648392081,0.8687904337519747,4000
RJ,RJ_wave_11,0.7078080109012733,0.7637155000831483,0.7869713524720516,0.8085285683008735,0.8435612624836333,4000
RN,RN_wave_03,0.9736091087327303,0.983698773710142,0.9899961581237224,0.9939441715352642,0.9978333915585385,4000
RN,RN_wave_04,0.9365541828382787,0.9551788512073194,0.9630693921904765,0.9710506557254004,0.9842732350811514,4000
RN,RN_wave_05,0.9145443750068842,0.9357024125970745,0.9460496156758151,0.9562211924101269,0.9735156033290766,4000
RN,RN_wave_06,0.8914099744947757,0.9160294554333062,0.9283884064028858,0.940383177450977,0.9612909341058029,4000
RN,RN_wave_07,0.852779748106627,0.8839858007443884,0.8969911426215719,0.9092257451253591,0.9316072239813993,4000
RN,RN_wave_08,0.8280140326027531,0.8597304622559914,0.8751109881016754,0.8887861878815816,0.9124320886978153,4000
RN,RN_wave_09,0.80559313950855,0.8393656064095645,0.8544855038031105,0.8693629270020973,0.8947899290436276,4000
RN,RN_wave_10,0.7727579049802672,0.8114093099897897,0.8292958248896244,0.8451136935245709,0.8727180382868057,4000
RN,RN_wave_11,0.763202492070749,0.8005822674481771,0.8188581036711702,0.8346719773278466,0.8631218667908863,4000
RN,RN_wave_12,0.745794976444671,0.7839957836099101,0.8028865429139089,0.8191870005241713,0.8487655167502719,4000
SC,SC_wave_19,0.7133330574659037,0.8052485924689606,0.864192136065247,0.8938696300964227,0.9279680547405329,4000
SE,SE_wave_02,1.0001930118263476,1.0005391226280154,1.000744755170612,1.0009451693091127,1.001153587603285,4000
SE,SE_wave_03,0.9690483809440409,0.9793881077089821,0.9852919766638017,0.9910626540607,0.9969975463989573,4000
SE,SE_wave_04,0.912824851948519,0.942189323739856,0.9523836843358955,0.9610235583694958,0.9765764766937151,4000
SE,SE_wave_07,0.887715864888547,0.9149076804798981,0.9286408118100554,0.9414645860351234,0.9632194871450087,4000
SE,SE_wave_08,0.8676440550728158,0.8985086965757569,0.9144873677158507,0.9300926159988684,0.9548284588119784,4000
SE,SE_wave_09,0.836562637013379,0.8718719986207528,0.8885348288228454,0.9046371688830629,0.9311720357627443,4000
SE,SE_wave_10,0.8091479793797609,0.8472608905909288,0.8647051151563141,0.8815587540956054,0.9080726510785209,4000
SE,SE_wave_11,0.7542536966323843,0.80334406074762,0.8245435884999756,0.8431655314053024,0.8725113698244711,4000
SE,SE_wave_12,0.7426186079750625,0.7898591817419822,0.8115834037586234,0.8308670626396663,0.861496019499166,4000
SP,SP_wave_06,0.7904464281340176,0.8439268149255902,0.8787275892875244,0.9220836558633327,0.9640607185375372,4000
SP,SP_wave_09,0.7054296416490645,0.7636393916102824,0.7921643155910134,0.820452774416396,0.8708426200101227,4000
SP,SP_wave_10,0.6685371335013988,0.7253378772221895,0.753792728929163,0.7796407399554866,0.8234546290263145,4000
TO,TO_wave_03,0.9775995223256044,0.9868702654332567,0.9921646902546799,0.9962191001643408,0.9991048633483073,4000
TO,TO_wave_04,0.9555069877966447,0.9712862639314762,0.9794859085210237,0.9877306229741066,0.995602115063249,4000
TO,TO_wave_09,0.8773386104094036,0.9137669843136107,0.9305310703663583,0.9470256156586987,0.9713813223561888,4000
TO,TO_wave_10,0.8636262372479847,0.9039565875883349,0.9225416611534023,0.9410168791557829,0.9673307379047442,4000
TO,TO_wave_11,0.8328480473724548,0.8773370141974821,0.8965711418017341,0.9146449792689071,0.9425626074907674,4000
TO,TO_wave_12,0.8019597265103057,0.8504273096189696,0.8724959044658875,0.8912228255160735,0.9196230475871857,4000
TO,TO_wave_13,0.7881758967409156,0.8379915995467687,0.8620005377389002,0.8812229106967763,0.9114953425315228,4000
