state,anchor_week,temperature_summary,precipitation_summary,S_week,climate_in_training_support,R_climate_hat,R_climate_lower,R_climate_upper,S_pre_median,S_pre_lower,S_pre_upper,first_wave_end,R_pred_median,opportunity_id,state_name,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k,outcome_status_8w
BA,2017-08-20,22.027467685903087,61.3286591830774,2017-07-09,TRUE,2.0151099101989156,1.5960382699151583,2.544217157397947,0.993399143959768,0.9870316972292509,0.9965733050978848,2016-08-28,2.0018084597764476,BA_20170820,Bahia,2017-08-27,2017-10-01,2017-10-15,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-08-27,22.02184168089012,44.98726626883171,2017-07-16,TRUE,1.9856565432099382,1.5651213792082384,2.5191860260621044,0.9933568646367537,0.9869529492820421,0.9965515690866262,2016-08-28,1.972465558008479,BA_20170827,Bahia,2017-09-03,2017-10-08,2017-10-22,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-09-03,21.96969162330271,52.25566470517759,2017-07-23,TRUE,1.9973059286537016,1.5744140850417971,2.533787655062372,0.9933156658366444,0.9868835567725069,0.9965326743922809,2016-08-28,1.9839552684001291,BA_20170903,Bahia,2017-09-10,2017-10-15,2017-10-29,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-09-10,22.018139972771653,41.54309782828727,2017-07-30,TRUE,1.9794402535489024,1.5584020397169336,2.514231640816793,0.9932798794380202,0.9868131946696845,0.9965140074085249,2016-08-28,1.966138176399818,BA_20170910,Bahia,2017-09-17,2017-10-22,2017-11-05,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-09-17,22.01565000592263,50.37308134515271,2017-08-06,TRUE,1.995110496994653,1.574659848181641,2.527825866529045,0.9932509678866488,0.9867470258869352,0.9964969429893179,2016-08-28,1.981645432180752,BA_20170917,Bahia,2017-09-24,2017-10-29,2017-11-12,TRUE,FALSE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-09-24,22.552583210299606,56.740927086287996,2017-08-13,TRUE,2.0203700097811765,1.6302812941273819,2.50379795874923,0.9932269121715966,0.9867016343121471,0.9964822417025584,2016-08-28,2.0066858662590565,BA_20170924,Bahia,2017-10-01,2017-11-05,2017-11-19,TRUE,FALSE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-10-01,23.24023981765734,67.99272024567179,2017-08-20,TRUE,2.058896101283777,1.7072963436897077,2.4829041376146495,0.9932077108255013,0.9866591419436386,0.9964695976312591,2016-08-28,2.04491148358361,BA_20171001,Bahia,2017-10-08,2017-11-12,2017-11-26,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-10-08,23.79032455827628,60.42546767092088,2017-08-27,TRUE,2.0594212718060643,1.7320804411044932,2.448625291365116,0.9931912102273499,0.98661505971795,0.9964607186188648,2016-08-28,2.045399105313013,BA_20171008,Bahia,2017-10-15,2017-11-19,2017-12-03,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-10-15,24.173486129835965,59.11447023362955,2017-09-03,TRUE,2.0671137283338084,1.7547893295078218,2.435026868475753,0.9931779461566418,0.9865773702580676,0.9964543725419553,2016-08-28,2.05301176717877,BA_20171015,Bahia,2017-10-22,2017-11-26,2017-12-10,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-10-22,24.493814466935415,46.9398584963766,2017-09-10,TRUE,2.0530712715663717,1.7466801185994205,2.4132075479916995,0.9931652443500292,0.9865499415675901,0.9964489699857695,2016-08-28,2.0390390310932407,BA_20171022,Bahia,2017-10-29,2017-12-03,2017-12-17,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
