draw,pop_conservation_max_err_A,pop_conservation_max_err_B,pop_conservation_max_err_C,R0_identical_A_B,max_diff_lambda_A_C_before_vax
993,6.705522537231445e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
750,6.891787052154541e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
51,6.332993507385254e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
692,6.705522537231445e-8,6.332993507385254e-8,6.705522537231445e-8,0,NA
1028,6.891787052154541e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1509,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1584,6.705522537231445e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
1136,6.332993507385254e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1400,6.705522537231445e-8,6.891787052154541e-8,6.332993507385254e-8,0,NA
1508,6.332993507385254e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
480,6.705522537231445e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1185,6.332993507385254e-8,6.891787052154541e-8,6.51925802230835e-8,0,NA
1157,6.51925802230835e-8,6.51925802230835e-8,6.51925802230835e-8,0,NA
687,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
1394,6.51925802230835e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
847,6.51925802230835e-8,6.705522537231445e-8,6.891787052154541e-8,0,NA
1526,6.332993507385254e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
671,6.705522537231445e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
94,6.51925802230835e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
478,6.51925802230835e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
760,6.332993507385254e-8,6.891787052154541e-8,6.705522537231445e-8,0,NA
911,6.332993507385254e-8,6.705522537231445e-8,6.51925802230835e-8,0,NA
643,6.332993507385254e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
408,6.51925802230835e-8,7.078051567077637e-8,6.705522537231445e-8,0,NA
1249,6.891787052154541e-8,6.51925802230835e-8,6.332993507385254e-8,0,NA
651,6.51925802230835e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1370,6.705522537231445e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
80,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
936,6.51925802230835e-8,6.332993507385254e-8,6.705522537231445e-8,0,NA
853,6.332993507385254e-8,6.146728992462158e-8,6.146728992462158e-8,0,NA
1512,6.51925802230835e-8,6.705522537231445e-8,6.332993507385254e-8,0,NA
1274,6.332993507385254e-8,6.891787052154541e-8,6.332993507385254e-8,0,NA
1484,6.705522537231445e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
8,6.332993507385254e-8,6.51925802230835e-8,6.891787052154541e-8,0,NA
188,6.51925802230835e-8,6.51925802230835e-8,6.705522537231445e-8,0,NA
1049,6.51925802230835e-8,6.705522537231445e-8,6.705522537231445e-8,0,NA
1199,6.51925802230835e-8,6.705522537231445e-8,5.960464477539063e-8,0,NA
673,6.146728992462158e-8,6.705522537231445e-8,6.891787052154541e-8,0,NA
1268,6.332993507385254e-8,6.332993507385254e-8,6.51925802230835e-8,0,NA
1348,6.705522537231445e-8,5.960464477539063e-8,6.705522537231445e-8,0,NA
