state,ensemble_id,foi_pwmean_grid,foi_equiv_grid,foi_pwmean_existing,foi_equiv_existing,pwmean_difference,equivalent_difference,pwmean_abs_difference,equivalent_abs_difference,max_temporal_weight_mean_deviation,aggregation_status
AC,65,0.006511600682757261,0.006506451440617832,0.00651160068275724,0.00650645144061783,2.0816681711721685e-17,1.734723475976807e-18,2.0816681711721685e-17,1.734723475976807e-18,8.881784197001252e-16,NA
AC,66,0.004934301125089799,0.004931800298434356,0.0049343011250898,0.00493180029843436,-8.673617379884035e-19,-3.469446951953614e-18,8.673617379884035e-19,3.469446951953614e-18,8.881784197001252e-16,NA
AC,67,0.009933609350096417,0.009929475938144753,0.00993360935009642,0.00992947593814474,-3.469446951953614e-18,1.214306433183765e-17,3.469446951953614e-18,1.214306433183765e-17,8.881784197001252e-16,NA
AC,68,0.008508833398585533,0.00850681242270327,0.00850883339858553,0.00850681242270326,3.469446951953614e-18,1.0408340855860843e-17,3.469446951953614e-18,1.0408340855860843e-17,8.881784197001252e-16,NA
AC,69,0.005759875505231505,0.005758374801807109,0.0057598755052315,0.0057583748018071,5.204170427930421e-18,8.673617379884035e-18,5.204170427930421e-18,8.673617379884035e-18,8.881784197001252e-16,NA
AC,70,0.007033684438915014,0.0070305817835676,0.00703368443891501,0.00703058178356759,3.469446951953614e-18,9.540979117872439e-18,3.469446951953614e-18,9.540979117872439e-18,8.881784197001252e-16,NA
AC,71,0.0049277327955719276,0.004926409593314335,0.00492773279557192,0.00492640959331433,7.806255641895632e-18,5.204170427930421e-18,7.806255641895632e-18,5.204170427930421e-18,8.881784197001252e-16,NA
AC,72,0.006075521304779324,0.006072819947541329,0.0060755213047793,0.00607281994754133,2.3418766925686896e-17,-8.673617379884035e-19,2.3418766925686896e-17,8.673617379884035e-19,8.881784197001252e-16,NA
AC,73,0.00879571581884664,0.00879296749381348,0.00879571581884663,0.00879296749381345,1.0408340855860843e-17,2.949029909160572e-17,1.0408340855860843e-17,2.949029909160572e-17,8.881784197001252e-16,NA
AC,74,0.007640584215250319,0.007637714134215662,0.0076405842152503,0.00763771413421565,1.9081958235744878e-17,1.214306433183765e-17,1.9081958235744878e-17,1.214306433183765e-17,8.881784197001252e-16,NA
AC,75,0.007339126088851668,0.0073367453796848205,0.00733912608885166,0.00733674537968479,7.806255641895632e-18,3.0357660829594124e-17,7.806255641895632e-18,3.0357660829594124e-17,8.881784197001252e-16,NA
AC,76,0.00896586542171703,0.00896238826821622,0.00896586542171702,0.00896238826821621,8.673617379884035e-18,1.0408340855860843e-17,8.673617379884035e-18,1.0408340855860843e-17,8.881784197001252e-16,NA
AC,77,0.0081971795593121545,0.00819339042880991,0.00819717955931213,0.00819339042880989,2.42861286636753e-17,1.9081958235744878e-17,2.42861286636753e-17,1.9081958235744878e-17,8.881784197001252e-16,NA
AC,78,0.007237411040753455,0.007234303384317833,0.00723741104075345,0.00723430338431782,5.204170427930421e-18,1.3010426069826053e-17,5.204170427930421e-18,1.3010426069826053e-17,8.881784197001252e-16,NA
AC,79,0.007480755683520869,0.007479678706344083,0.00748075568352087,0.00747967870634408,-8.673617379884035e-19,3.469446951953614e-18,8.673617379884035e-19,3.469446951953614e-18,8.881784197001252e-16,NA
AC,80,0.007535330987949681,0.007529112122590224,0.00753533098794969,0.0075291121225902,-8.673617379884035e-18,2.3418766925686896e-17,8.673617379884035e-18,2.3418766925686896e-17,8.881784197001252e-16,NA
AC,81,0.007363117496823223,0.007360184081023858,0.00736311749682323,0.00736018408102384,-6.938893903907228e-18,1.8214596497756474e-17,6.938893903907228e-18,1.8214596497756474e-17,8.881784197001252e-16,NA
AC,82,0.008563892492786726,0.008562073302280175,0.00856389249278671,0.00856207330228015,1.5612511283791264e-17,2.42861286636753e-17,1.5612511283791264e-17,2.42861286636753e-17,8.881784197001252e-16,NA
AC,83,0.007185402630091083,0.0071828862564010595,0.00718540263009108,0.00718288625640103,3.469446951953614e-18,2.949029909160572e-17,3.469446951953614e-18,2.949029909160572e-17,8.881784197001252e-16,NA
AC,84,0.007563974534421945,0.007556777297263127,0.00756397453442193,0.0075567772972631,1.5612511283791264e-17,2.688821387764051e-17,1.5612511283791264e-17,2.688821387764051e-17,8.881784197001252e-16,NA
AC,85,0.008161037749612876,0.008157818716031351,0.00816103774961287,0.00815781871603132,6.938893903907228e-18,3.122502256758253e-17,6.938893903907228e-18,3.122502256758253e-17,8.881784197001252e-16,NA
AC,86,0.006294107745696781,0.00629049700492352,0.00629410774569678,0.00629049700492352,1.734723475976807e-18,0,1.734723475976807e-18,0,8.881784197001252e-16,NA
AC,87,0.009319810063947854,0.009316845393616529,0.00931981006394785,0.00931684539361652,3.469446951953614e-18,8.673617379884035e-18,3.469446951953614e-18,8.673617379884035e-18,8.881784197001252e-16,NA
AC,88,0.007846465889800182,0.00783870298419937,0.00784646588980016,0.00783870298419936,2.2551405187698492e-17,1.0408340855860843e-17,2.2551405187698492e-17,1.0408340855860843e-17,8.881784197001252e-16,NA
AC,89,0.007928298747990817,0.007923033468128136,0.00792829874799081,0.00792303346812812,6.938893903907228e-18,1.5612511283791264e-17,6.938893903907228e-18,1.5612511283791264e-17,8.881784197001252e-16,NA
AC,90,0.007788246735716249,0.0077836748257864435,0.00778824673571626,0.00778367482578644,-1.1275702593849246e-17,3.469446951953614e-18,1.1275702593849246e-17,3.469446951953614e-18,8.881784197001252e-16,NA
AC,91,0.009518709343881578,0.009510960861279576,0.00951870934388159,0.00951096086127956,-1.214306433183765e-17,1.5612511283791264e-17,1.214306433183765e-17,1.5612511283791264e-17,8.881784197001252e-16,NA
AC,92,0.0073986355648234916,0.0073967393522404125,0.00739863556482348,0.0073967393522404,1.1275702593849246e-17,1.214306433183765e-17,1.1275702593849246e-17,1.214306433183765e-17,8.881784197001252e-16,NA
AC,93,0.007569929474759774,0.007561627429705869,0.00756992947475975,0.00756162742970587,2.3418766925686896e-17,-8.673617379884035e-19,2.3418766925686896e-17,8.673617379884035e-19,8.881784197001252e-16,NA
AC,94,0.005319765267496802,0.005318762799811734,0.00531976526749676,0.00531876279981173,4.2500725161431774e-17,3.469446951953614e-18,4.2500725161431774e-17,3.469446951953614e-18,8.881784197001252e-16,NA
AC,95,0.0064965578030991775,0.006494942665798561,0.00649655780309917,0.00649494266579855,7.806255641895632e-18,1.1275702593849246e-17,7.806255641895632e-18,1.1275702593849246e-17,8.881784197001252e-16,NA
AC,96,0.006629574630302341,0.006628301236137464,0.00662957463030234,0.00662830123613746,8.673617379884035e-19,4.336808689942018e-18,8.673617379884035e-19,4.336808689942018e-18,8.881784197001252e-16,NA
AC,97,0.007735348816352039,0.007730529014170812,0.00773534881635203,0.00773052901417082,9.540979117872439e-18,-7.806255641895632e-18,9.540979117872439e-18,7.806255641895632e-18,8.881784197001252e-16,NA
AC,98,0.004935182637206908,0.0049345128022440475,0.00493518263720691,0.00493451280224404,-2.6020852139652106e-18,7.806255641895632e-18,2.6020852139652106e-18,7.806255641895632e-18,8.881784197001252e-16,NA
