state,year,within_state_S_q10,within_state_S_q10_q025,within_state_S_q10_q975,within_state_S_q25,within_state_S_q25_q025,within_state_S_q25_q975,within_state_S_q50,within_state_S_q50_q025,within_state_S_q50_q975,within_state_S_q75,within_state_S_q75_q025,within_state_S_q75_q975,within_state_S_q90,within_state_S_q90_q025,within_state_S_q90_q975,within_state_S_weighted_sd,within_state_S_weighted_sd_q025,within_state_S_weighted_sd_q975,within_state_S_weighted_iqr,within_state_S_weighted_iqr_q025,within_state_S_weighted_iqr_q975,prop_population_S_lt_025,prop_population_S_lt_025_q025,prop_population_S_lt_025_q975,prop_population_S_lt_050,prop_population_S_lt_050_q025,prop_population_S_lt_050_q975,prop_population_S_lt_075,prop_population_S_lt_075_q025,prop_population_S_lt_075_q975,prop_population_S_ge_090,prop_population_S_ge_090_q025,prop_population_S_ge_090_q975
CE,2023,0.8533379367781473,0.8091328612228741,0.8900337200318573,0.8802434038964704,0.8353087888237508,0.9086032601002989,0.9000992705371682,0.8643850448155317,0.9284901345764516,0.9178647906868146,0.8867633465366886,0.9394737264526849,0.9317701524659949,0.8999496122282441,0.9522701611466913,0.03275791627174275,0.021675232573340787,0.04786231469369642,0.03672552186555994,0.022034860898350783,0.07203723574184243,0,0,0,0,0,0,1.4356961935356965e-4,0,0.01581867813845859,0.5006874027179391,0.09965736341313212,0.8265938414738344
CE,2024,0.8468207004087864,0.7982021555813059,0.8805414293031524,0.8708385710407068,0.826132973579572,0.9021055205645344,0.8919134713940693,0.8567215803921214,0.9212509514594361,0.9118887599400574,0.8773006694016734,0.9368151593814866,0.9287559183210694,0.8903565446780178,0.9478899233449455,0.034457957488248404,0.024096899114881668,0.04955085620365231,0.0390333483751541,0.023914582217919537,0.07354838723619297,0,0,0,0,0,0,3.5470546007682513e-4,0,0.028722313667895745,0.42953878602248374,0.05493590949777685,0.7634498609564611
CE,2025,0.8380826609954066,0.7842067656068654,0.8710751578960012,0.8650928143968051,0.8142631033821093,0.8975415050344169,0.8863348071720294,0.8484814175432813,0.9195178991852295,0.9060643519536029,0.8675328210013129,0.9347709370728349,0.9248170274681495,0.8820136247237373,0.9454549506905334,0.03561549834194219,0.02650737333511132,0.05079138446895423,0.04104215574588016,0.0259996365967589,0.07554049105984201,0,0,0,0,0,0,0.0016573728377065407,0,0.03496109705430067,0.3171998082240067,0.04466997150574168,0.7191023591663241
DF,2015,0.995666632154812,0.9818478435893225,0.9994028420005198,0.9958354429455016,0.9825852686065046,0.9994211005903456,0.996440589625015,0.9837193720414572,0.9995292454410791,0.9967883954533159,0.9852523184639574,0.9995948259245565,0.9968512027634091,0.9860110882250395,0.9996083131588906,3.8544667516729784e-4,4.5520853710569574e-5,0.002276795577164088,6.243041349630607e-4,5.883172151363858e-5,0.003452094820379832,0,0,0,0,0,0,0,0,0,1,1,1
DF,2016,0.982529151585296,0.9621752968366335,0.9964435215194036,0.9842295188748243,0.963702796853262,0.9967433796669345,0.9864858525341488,0.9656468036930081,0.9970281394323576,0.9880485850337927,0.967921796148024,0.9972809122786063,0.9884784913835352,0.9690993798818237,0.9974516705978274,0.0016585797314718374,3.1698511849619006e-4,0.004711931493915489,0.002569760010490696,3.181132634344608e-4,0.007623139385360198,0,0,0,0,0,0,0,0,0,1,1,1
DF,2017,0.973041912789336,0.942788385252004,0.993463041108441,0.9752357096878234,0.9458324178554995,0.9938552442411447,0.979771232451655,0.9506250713961218,0.9949037244920231,0.9812479599760715,0.9532977042226904,0.9954550323640755,0.9817385071747664,0.9545292947629904,0.9957377719353927,0.002354441953487968,4.7397680331131924e-4,0.008057002778187692,0.003852064332064198,6.491726276651371e-4,0.014154611925654734,0,0,0,0,0,0,0,0,0,1,1,1
DF,2018,0.965885829228937,0.919432983681317,0.9886179266192856,0.9692061085249835,0.9247382638445182,0.9888287458255673,0.9721612983178204,0.9316420026034495,0.9906495629052106,0.9751213507834013,0.9366756962950817,0.991977093734927,0.9761897801939649,0.9389503032364219,0.9923189657981109,0.003198990462021905,8.480282995736409e-4,0.009576517812805177,0.005082047235299869,0.001040141570913436,0.018745560001765492,0,0,0,0,0,0,0,0,0,1,1,1
DF,2019,0.9573338141380587,0.898219355859991,0.9840625308181157,0.9592885119465027,0.9089733123431976,0.9850367700830498,0.9642941660245068,0.9168761827646605,0.9861576796429403,0.9683118538978226,0.9202975204936313,0.988024527135926,0.9698243417604067,0.9224360302916446,0.9882933969516012,0.004083195343784633,0.001213668948840385,0.012075973424403745,0.007153833108210106,0.001415260301489113,0.0218862582400055,0,0,0,0,0,0,0,0,0,1,0.9270551044704078,1
DF,2020,0.9458426572802741,0.8844627292038492,0.9776587551554603,0.9499068528700194,0.8915154095562086,0.9787853246603555,0.9564091228294428,0.8951172949303396,0.981028390524848,0.9597666413302626,0.8996423013344271,0.9831113192427245,0.9617518885045552,0.9021941441278971,0.9842183773948158,0.005296695766005407,0.0014785867511193608,0.01366618452281825,0.0084093786877813,0.0018002916173859768,0.027320742442364918,0,0,0,0,0,0,0,0,0,1,0.21616044528266626,1
DF,2021,0.9355472989061265,0.8669637911315898,0.9726426619465192,0.9399078541315682,0.8746300972253285,0.9732661822029877,0.9455387000384766,0.8785204985972439,0.9761469151228014,0.951736603868556,0.8836824484368029,0.9799749128038866,0.9536512498184238,0.8869993431471721,0.9812750461150754,0.006609079665395665,0.001858617335964827,0.015547291008813701,0.010133202113162765,0.002174448033635537,0.031070985874014214,0,0,0,0,0,0,0,0,0,1,1.9920234106101737e-4,1
