uf,ensemble_id,population_valid_member
AP,61,809802.386247158
TO,61,1694476.827267029
MA,61,6976988.781082074
PI,61,3445902.713711337
CE,61,9231781.187078971
RN,61,3507821.7576041836
PB,61,3955894.870931454
PE,61,8629317.96753044
AL,61,3240735.70037111
SE,61,2355418.1888673343
BA,61,11954097.590811327
MG,61,21621219.42816297
ES,61,3526464.369977629
RJ,61,14734392.121075094
SP,61,44800008.41187476
PR,61,11565177.68314045
SC,61,6731200.931452617
RS,61,11148654.159974465
MS,61,3016644.6672508125
MT,61,3856895.956432085
GO,61,7355714.437435157
DF,61,3202296.1569077363
RO,62,1847002.224805989
AC,62,1043746.7574866614
AM,62,4421603.470109693
RR,62,642204.9111020697
PA,62,9101773.136145487
AP,62,809802.386247158
TO,62,1694476.827267029
MA,62,6976988.781082074
PI,62,3445902.713711337
CE,62,9231781.187078971
RN,62,3507821.7576041836
PB,62,3955894.870931454
PE,62,8629317.96753044
AL,62,3240735.70037111
SE,62,2355418.1888673343
BA,62,11954097.590811327
MG,62,21621219.42816297
ES,62,3526464.369977629
RJ,62,14734392.121075094
SP,62,44800008.41187476
PR,62,11565177.68314045
SC,62,6731200.931452617
RS,62,11148654.159974465
MS,62,3016644.6672508125
MT,62,3856895.956432085
GO,62,7355714.437435157
DF,62,3202296.1569077363
RO,63,1847002.224805989
AC,63,1043746.7574866614
AM,63,4421603.470109693
RR,63,642204.9111020697
PA,63,9101773.136145487
AP,63,809802.386247158
TO,63,1694476.827267029
MA,63,6976988.781082074
PI,63,3445902.713711337
CE,63,9231781.187078971
RN,63,3507821.7576041836
PB,63,3955894.870931454
PE,63,8629317.96753044
AL,63,3240735.70037111
SE,63,2355418.1888673343
BA,63,11954097.590811327
MG,63,21621219.42816297
ES,63,3526464.369977629
RJ,63,14734392.121075094
SP,63,44800008.41187476
PR,63,11565177.68314045
SC,63,6731200.931452617
RS,63,11148654.159974465
MS,63,3016644.6672508125
MT,63,3856895.956432085
GO,63,7355714.437435157
DF,63,3202296.1569077363
RO,64,1847002.224805989
AC,64,1043746.7574866614
AM,64,4421603.470109693
RR,64,642204.9111020697
PA,64,9101773.136145487
AP,64,809802.386247158
TO,64,1694476.827267029
MA,64,6976988.781082074
PI,64,3445902.713711337
CE,64,9231781.187078971
RN,64,3507821.7576041836
PB,64,3955894.870931454
PE,64,8629317.96753044
AL,64,3240735.70037111
SE,64,2355418.1888673343
BA,64,11954097.590811327
MG,64,21621219.42816297
ES,64,3526464.369977629
RJ,64,14734392.121075094
SP,64,44800008.41187476
PR,64,11565177.68314045
SC,64,6731200.931452617
RS,64,11148654.159974465
MS,64,3016644.6672508125
