muni6,cumulative_confirmed,mean_population,incidence_per_capita,ratio_to_state,percentile_rank
230310,77,18680.376288659794,0.0041219726417793855,0.26521698442384534,50.81967213114754
230050,46,11416.061855670103,0.004029410542931915,0.2592613309390443,50.27322404371585
230526,52,13224.154639175258,0.003932198421663575,0.25300648456017444,49.72677595628415
230910,50,12719.056701030928,0.003931109136100267,0.25293639747872493,49.18032786885246
230435,88,23866.28350515464,0.003687210033392663,0.23724338101661943,48.63387978142077
230837,49,13536.242268041236,0.0036199115699700425,0.2329132466182502,48.08743169398907
230015,58,16227.541237113403,0.00357417055070243,0.2299701666298803,47.540983606557376
230428,183,52083.701030927834,0.0035135751948835725,0.22607132524081425,46.99453551912568
230700,114,33672.4381443299,0.0033855582275142274,0.21783442582604112,46.448087431693985
230810,156,46428.85051546392,0.00335997980281768,0.2161886524903398,45.90163934426229
230960,228,70109.4587628866,0.0032520576256494355,0.20924469704267296,45.355191256830594
230590,118,38004.113402061856,0.0031049270575431473,0.1997779855962641,44.80874316939891
230130,63,21382.221649484534,0.0029463729743685802,0.18957625951457585,44.26229508196722
230393,38,13364.690721649484,0.0028433130845627232,0.18294515456440716,43.715846994535525
230870,169,61788.30412371134,0.0027351454680101185,0.17598540699509468,43.169398907103826
230260,165,62856.34020618557,0.002625033520226535,0.16890055678425214,42.622950819672134
230850,114,43748.34020618557,0.0026058131454294938,0.1676638746696016,42.07650273224044
231050,109,42861.91237113402,0.0025430503206713573,0.1636255734573234,41.53005464480874
230420,323,129968.39175257731,0.002485219641825681,0.15990461759867095,40.98360655737705
230570,29,12347.783505154639,0.0023485996485032167,0.15111418015769165,40.43715846994536
230670,42,18000.46907216495,0.002333272529266849,0.15012799885639622,39.89071038251366
230760,123,58682.8969072165,0.0020960110438050673,0.1348620616067662,39.34426229508197
230820,30,14852.443298969072,0.002019869687170079,0.12996295558359894,38.79781420765027
231135,30,14919.221649484536,0.002010828762037764,0.12938124213996985,38.25136612021858
230185,36,18001.139175257733,0.001999873432981475,0.12867635164500876,37.704918032786885
230900,28,14388.896907216495,0.0019459448615520415,0.1252064661479944,37.158469945355186
230180,12,6224.216494845361,0.001927953503856735,0.12404886175603994,36.612021857923494
230060,14,7432.221649484536,0.0018836897848668135,0.12120083458795478,36.065573770491795
231040,21,11582.283505154639,0.0018131139676087235,0.11665982787754661,35.5191256830601
231025,58,32335.386597938144,0.0017937005275730443,0.11541072351150373,34.97267759562842
230655,73,40933.237113402065,0.001783391814279425,0.11474743772806303,34.42622950819673
230990,11,6196.587628865979,0.0017751705710991584,0.114218464463567,33.879781420765035
231350,92,54948.5824742268,0.001674292508694867,0.10772774319234645,33.333333333333336
230205,24,14879.051546391753,0.0016130060390724384,0.10378443398779348,32.786885245901644
231370,12,7679.319587628866,0.0015626384425166532,0.1005436696178884,32.240437158469945
230495,38,26158.96907216495,0.0014526566354801332,0.09346719295521959,31.693989071038253
231400,58,40336.134020618556,0.0014379166821082117,0.09251879122537174,31.147540983606557
230950,28,21366.484536082473,0.001310463588556893,0.08431817271942772,30.601092896174865
231126,27,20817.288659793816,0.0012969988763304886,0.08345182287114723,30.05464480874317
230380,32,25077.154639175256,0.0012760618363779578,0.08210468666197174,29.508196721311474
230426,12,9501.654639175258,0.001262937925624457,0.08126026474645204,28.96174863387978
230690,43,34545.757731958765,0.0012447259178286919,0.08008846323109522,28.415300546448087
231195,19,16281.60824742268,0.0011669608868649466,0.07508488635220352,27.86885245901639
230020,68,61865.510309278354,0.001099158475539183,0.07072232681305977,27.322404371584696
230490,12,10957.08762886598,0.0010951815305726416,0.07046644123522867,26.775956284153
230890,22,22118.345360824744,9.94649447827397e-4,0.06399798107290397,26.22950819672131
230430,18,18807.077319587628,9.570865102603127e-4,0.06158109724241288,25.683060109289613
230600,13,14121.938144329897,9.205535293482101e-4,0.059230483138060376,25.136612021857918
230725,17,19288.082474226805,8.813732532881796e-4,0.05670953611376151,24.590163934426236
230880,7,8598.865979381444,8.140608327638503e-4,0.052378503684097986,24.04371584699454
230150,6,7785.505154639175,7.70662902512467e-4,0.049586183309419406,23.497267759562845
230730,196,268905.6546391753,7.288801727245118e-4,0.04689778856292391,22.95081967213115
231310,22,30435.731958762888,7.228345955276387e-4,0.046508802537882254,22.404371584699454
230230,23,32306.582474226805,7.119292180888737e-4,0.04580712604226521,21.857923497267763
230750,22,31400.75257731959,7.006201506103505e-4,0.045079475222146,21.311475409836067
230720,5,7840.917525773196,6.376804734350204e-4,0.041029794927847536,20.76502732240437
231410,38,59642.0618556701,6.37134244150672e-4,0.040994649307973564,20.21857923497268
231123,4,6348.690721649485,6.300511672996949e-4,0.04053890822327593,19.672131147540984
230075,23,42618.963917525776,5.396658643440635e-4,0.034723314678778254,19.12568306010929
230330,10,18833.536082474227,5.309677352255491e-4,0.03416365750115424,18.579234972677593
231095,5,10752.278350515464,4.650177234074581e-4,0.02992028550983495,18.032786885245898
230425,11,23886.659793814433,4.6050808672916686e-4,0.02963012534997827,17.486338797814206
230840,16,35387.530927835054,4.5213665888779915e-4,0.029091488866828073,16.93989071038251
230740,11,24582.144329896906,4.474792700090754e-4,0.02879182199830392,16.393442622950815
231030,13,31248.422680412372,4.1602099833822537e-4,0.026767726092580664,15.846994535519121
230320,10,26916.092783505155,3.7152494904937487e-4,0.023904750270870846,15.300546448087427
231340,27,74291.31443298969,3.634341403981193e-4,0.023384169457139378,14.754098360655743
230200,8,22403.231958762888,3.570913346219606e-4,0.02297605907724788,14.207650273224049
230565,4,11515.329896907217,3.473630400353809e-4,0.022350118737982136,13.661202185792353
231210,5,17505.26288659794,2.856283868680435e-4,0.018377972396800887,13.11475409836066
231120,3,10879.030927835052,2.757598558088671e-4,0.01774300892768917,12.568306010928964
231110,4,14980.48969072165,2.670139683402639e-4,0.01718027887047755,12.02185792349727
230465,4,15323.09793814433,2.6104381869430324e-4,0.016796146023594496,11.475409836065575
230860,4,17051.350515463917,2.345855242593476e-4,0.01509375989130616,10.928961748633881
230835,3,13169.061855670103,2.278066602525914e-4,0.014657592544762317,10.382513661202186
230340,4,17584.649484536083,2.2747112494437804e-4,0.014636003448874078,9.836065573770492
231360,7,34150.45360824742,2.0497531541746437e-4,0.01318857250175219,9.289617486338797
230530,5,24785.41237113402,2.0173156391875002e-4,0.012979862239585584,8.743169398907103
230010,2,11515.309278350516,1.7368183100041629e-4,0.011175079378318622,8.196721311475407
230427,1,7148.015463917526,1.398989698676368e-4,0.009001414161807744,7.650273224043714
231230,6,46510.81958762887,1.2900224191267324e-4,0.008300294193419286,7.103825136612018
231325,1,8884.737113402061,1.1255257046284054e-4,0.007241885359632282,6.5573770491803245
230423,2,17837.082474226805,1.1212596022302662e-4,0.007214436297942504,6.010928961748629
230710,2,27112.96907216495,7.376543655830244e-5,0.004746233985254223,5.464480874316935
230170,1,24576.567010309278,4.0689165398101536e-5,0.0026180323557288515,4.918032786885251
230500,1,39375.81443298969,2.5396300099438296e-5,0.0016340550297753588,4.371584699453557
230040,0,17134.67525773196,0,0,3.825136612021862
230070,0,16957.81443298969,0,0,3.2786885245901676
230365,0,10349.850515463917,0,0,2.732240437158473
230480,0,4461.128865979382,0,0,2.1857923497267784
230920,0,15347.329896907217,0,0,1.6393442622950838
231060,0,8909.819587628866,0,0,1.0928961748633892
231100,0,12252.283505154639,0,0,0.5464480874316946
231250,0,7674.443298969072,0,0,0
